Source,Target
URS,EUA
EUA,AUS
EUA,USA
USA,GBR
USA,USA
USA,USA
AUS,FRA
FRA,HUN
ITA,USA
USA,FRA
URS,AUS
AUS,GBR
POL,URS
URS,URS
USA,EUA
EUA,RSA
USA,USA
USA,USA
EUA,URS
URS,GBR
USA,EUA
EUA,BWI
NZL,EUA
EUA,POL
GBR,SWE
SWE,ITA
NZL,BEL
BEL,BWI
USA,TPE
TPE,URS
USA,USA
USA,USA
URS,HUN
HUN,POL
URS,URS
URS,USA
URS,EUA
EUA,HUN
USA,USA
USA,URS
ETH,MAR
MAR,NZL
USA,USA
USA,FIN
USA,USA
USA,USA
POL,URS
URS,URS
USA,URS
URS,BRA
ITA,RSA
RSA,TCH
RSA,EUA
HUN,URS
URS,EGY
URS,JPN
URS,ITA
ITA,POL
ITA,AUS
ITA,POL
POL,FIN
POL,RSA
POL,ITA
ITA,ARG
ITA,GBR
TCH,GHA
GHA,USA
GHA,POL
ITA,URS
URS,POL
URS,GBR
USA,ITA
ITA,GBR
ITA,URS
USA,POL
POL,URS
POL,ROU
USA,POL
POL,AUS
POL,ITA
HUN,URS
URS,ROU
URS,ITA
ITA,HUN
DEN,HUN
HUN,SWE
EUA,HUN
HUN,DEN
SWE,HUN
HUN,POL
ITA,EUA
EUA,URS
URS,ITA
ITA,BEL
ITA,EUA
EUA,URS
ITA,EUA
EUA,URS
ITA,BEL
BEL,ITA
ITA,EUA
EUA,URS
USA,USA
USA,GBR
USA,USA
USA,MEX
URS,SUI
SUI,EUA
AUS,AUS
AUS,SUI
AUS,SUI
SUI,FRA
URS,ITA
ITA,EUA
URS,URS
URS,USA
HUN,POL
POL,ITA
HUN,HUN
HUN,ITA
ITA,GBR
GBR,URS
ITA,GBR
GBR,URS
YUG,DEN
DEN,HUN
JPN,URS
URS,ITA
JPN,URS
URS,ITA
JPN,JPN
JPN,URS
URS,JPN
JPN,URS
URS,ITA
ITA,JPN
URS,URS
URS,BUL
URS,JPN
PAK,IND
IND,ESP
ITA,ITA
ITA,GBR
EUA,USA
USA,ITA
HUN,HUN
HUN,USA
HUN,URS
URS,USA
EUA,FRA
FRA,ITA
EUA,URS
URS,USA
USA,ITA
ITA,URS
URS,AUT
AUT,FIN
TCH,URS
URS,SUI
EUA,CAN
CAN,TCH
URS,EUA
EUA,POL
USA,DEN
DEN,SUI
DEN,URS
URS,BEL
URS,POR
POR,USA
GRE,ARG
ARG,ITA
NOR,DEN
DEN,EUA
USA,FIN
FIN,URS
AUT,SUI
SUI,URS
URS,URS
URS,JPN
URS,URS
URS,EUA
EUA,USA
USA,VEN
ROU,ITA
ITA,URS
AUS,USA
USA,USA
AUS,USA
USA,BRA
AUS,AUS
AUS,USA
USA,JPN
JPN,NED
USA,AUS
AUS,USA
AUS,JPN
JPN,AUS
USA,AUS
AUS,JPN
USA,JPN
JPN,AUS
ITA,URS
URS,HUN
URS,USA
USA,USA
USA,JPN
JPN,IRI
URS,USA
USA,ITA
URS,SGP
SGP,IRQ
URS,USA
USA,HUN
POL,USA
USA,POL
URS,URS
URS,GBR
EUA,TUR
TUR,URS
TUR,JPN
JPN,IRI
USA,BUL
BUL,POL
TUR,BUL
BUL,URS
USA,URS
URS,BUL
USA,TUR
TUR,PAK
TUR,URS
URS,SWE
TUR,IRI
IRI,URS
URS,EUA
EUA,TCH
ROU,EGY
EGY,IRI
URS,ROU
ROU,BUL
TUR,HUN
HUN,URS
URS,YUG
YUG,SWE
TUR,EUA
EUA,FRA
BUL,EUA
EUA,ROU
TUR,BUL
BUL,URS
USA,GBR
GBR,ITA
USA,EUA
EUA,GBR
USA,EUA
EUA,POL
URS,AUS
AUS,EUA
URS,GBR
GBR,EUA
URS,URS
URS,ROU
ROU,POL
ROU,GBR
URS,TCH
TCH,URS
URS,POL
POL,EUA
URS,EUA
EUA,USA
URS,EUA
EUA,POL
URS,EUA
EUA,HUN
EUA,USA
USA,URS
EUA,USA
USA,GBR
URS,HUN
HUN,ITA
EUA,URS
URS,ROU
URS,TCH
TCH,ROU
TCH,URS
URS,URS
URS,URS
URS,URS
URS,URS
URS,URS
URS,URS
URS,URS
URS,URS
URS,URS
USA,GBR
GBR,JPN
USA,NED
NED,AUS
AUS,USA
USA,GBR
GBR,EUA
EUA,EUA
USA,SWE
SWE,NED
USA,AUS
AUS,EUA
USA,AUS
AUS,EUA
