Source,Target
AUT,EUA
AUT,USA
EUA,USA
ITA,SUI
ITA,USA
SUI,USA
EUA,CAN
EUA,USA
CAN,USA
URS,URS
URS,URS
URS,URS
FIN,SWE
FIN,URS
SWE,URS
USA,USA
USA,NED
USA,NED
USA,CAN
USA,EUA
CAN,EUA
URS,URS
URS,EUA
URS,EUA
POL,URS
POL,POL
URS,POL
FIN,URS
FIN,URS
URS,URS
USA,EUA
USA,URS
EUA,URS
FRA,FRA
FRA,EUA
FRA,EUA
AUT,SUI
AUT,AUT
SUI,AUT
FRA,AUT
FRA,AUT
AUT,AUT
URS,SWE
URS,FIN
SWE,FIN
FIN,NOR
FIN,SWE
NOR,SWE
URS,SWE
URS,SWE
SWE,SWE
URS,FIN
URS,NOR
FIN,NOR
SWE,FIN
SWE,FIN
FIN,FIN
CAN,USA
CAN,TCH
USA,TCH
USA,CAN
USA,EUA
CAN,EUA
URS,USA
URS,CAN
USA,CAN
URS,EUA
URS,NOR
EUA,NOR
AUT,EUA
AUT,FIN
EUA,FIN
SWE,NOR
SWE,URS
NOR,URS
URS,NOR
URS,URS
NOR,URS
NED,URS
NED,NOR
URS,NOR
URS,URS
URS,USA
URS,USA
