Source,Target
AUS,USA
AUS,TUN
USA,TUN
CAN,USA
CAN,CUB
USA,CUB
URS,USA
URS,USA
USA,USA
NZL,NZL
NZL,TCH
NZL,TCH
TTO,USA
TTO,USA
USA,USA
URS,GBR
URS,EUA
GBR,EUA
URS,BEL
URS,GBR
BEL,GBR
POL,USA
POL,TTO
USA,TTO
ITA,USA
ITA,GBR
USA,GBR
FRA,USA
FRA,POL
USA,POL
TTO,USA
TTO,GBR
USA,GBR
USA,USA
USA,EUA
USA,EUA
SWE,ITA
SWE,GBR
ITA,GBR
KEN,NZL
KEN,CAN
NZL,CAN
EUA,EUA
EUA,URS
EUA,URS
USA,USA
USA,TCH
USA,TCH
EUA,URS
EUA,HUN
URS,HUN
USA,URS
USA,USA
URS,USA
URS,FIN
URS,HUN
FIN,HUN
URS,GBR
URS,USA
GBR,USA
JPN,ETH
JPN,GBR
ETH,GBR
EUA,USA
EUA,EUA
USA,EUA
HUN,USA
HUN,USA
USA,USA
URS,POL
URS,URS
POL,URS
BRA,USA
BRA,URS
USA,URS
ITA,URS
ITA,USA
ITA,EUA
URS,USA
URS,EUA
USA,EUA
USA,URS
USA,ITA
USA,POL
URS,ITA
URS,POL
ITA,POL
MEX,URU
MEX,JPN
MEX,KOR
URU,JPN
URU,KOR
JPN,KOR
USA,EUA
USA,URS
USA,PHI
EUA,URS
EUA,PHI
URS,PHI
USA,IRL
USA,POL
USA,URS
IRL,POL
IRL,URS
POL,URS
GHA,TUN
GHA,POL
GHA,URS
TUN,POL
TUN,URS
POL,URS
ITA,FIN
ITA,POL
ITA,URS
FIN,POL
FIN,URS
POL,URS
POL,NGR
POL,URS
POL,FRA
NGR,URS
NGR,FRA
URS,FRA
ITA,POL
ITA,URS
ITA,EUA
POL,URS
POL,EUA
URS,EUA
BUL,POL
BUL,ITA
BUL,URS
POL,ITA
POL,URS
ITA,URS
URS,EUA
URS,ROU
EUA,ROU
DEN,URS
DEN,FRA
URS,FRA
ROU,SWE
ROU,HUN
SWE,HUN
EUA,SWE
EUA,NED
SWE,NED
ROU,URS
ROU,EUA
URS,EUA
SWE,NED
SWE,ITA
NED,ITA
BEL,ITA
BEL,DEN
ITA,DEN
FRA,BEL
FRA,ITA
BEL,ITA
EUA,ITA
EUA,URS
ITA,URS
DEN,TCH
DEN,ITA
TCH,ITA
FRA,ITA
FRA,ITA
ITA,ITA
NED,EUA
NED,ITA
EUA,ITA
USA,USA
USA,ITA
USA,ITA
USA,USA
USA,USA
USA,USA
URS,SUI
URS,EUA
SUI,EUA
URS,EUA
URS,SUI
EUA,SUI
EUA,ITA
EUA,ARG
ITA,ARG
EUA,ITA
EUA,USA
ITA,USA
FRA,URS
FRA,POL
URS,POL
FRA,POL
FRA,FRA
POL,FRA
POL,URS
POL,ITA
URS,ITA
URS,HUN
URS,FRA
HUN,FRA
FRA,HUN
FRA,ITA
HUN,ITA
URS,URS
URS,GBR
URS,GBR
EUA,HUN
EUA,TCH
HUN,TCH
EUA,JPN
EUA,URS
JPN,URS
ITA,JPN
ITA,URS
JPN,URS
YUG,URS
YUG,URS
URS,URS
JPN,URS
JPN,JPN
URS,JPN
ITA,JPN
ITA,JPN
JPN,JPN
URS,YUG
URS,JPN
YUG,JPN
URS,JPN
