Source,Target
AUT,AUT
AUT,FRA
AUT,FRA
SUI,CAN
SUI,FRA
CAN,FRA
FRA,FRA
FRA,CAN
FRA,CAN
NOR,SWE
NOR,NOR
SWE,NOR
URS,NOR
URS,SWE
NOR,SWE
URS,SWE
URS,URS
SWE,URS
TCH,USA
TCH,GDR
USA,GDR
FRG,URS
FRG,URS
URS,URS
FRG,ITA
FRG,FRG
ITA,FRG
USA,NED
USA,URS
NED,URS
NED,FIN
NED,NED
FIN,NED
NED,NED
NED,FIN
NED,FIN
URS,USA
SUI,FRA
SUI,FRA
FRA,FRA
AUT,FRA
AUT,SUI
FRA,SUI
AUT,FRA
AUT,AUT
FRA,AUT
URS,NOR
URS,URS
NOR,URS
SWE,URS
SWE,NOR
URS,NOR
SUI,ITA
SUI,AUT
ITA,AUT
ROU,ITA
ROU,FRG
ITA,FRG
SWE,NOR
SWE,FIN
NOR,FIN
FIN,ITA
FIN,NOR
ITA,NOR
FIN,NOR
FIN,SWE
NOR,SWE
SUI,NOR
SUI,URS
NOR,URS
FRA,AUT
FRA,USA
AUT,USA
FRG,URS
FRG,URS
URS,URS
CAN,URS
CAN,TCH
URS,TCH
FRG,GDR
FRG,AUT
GDR,AUT
GDR,AUT
GDR,GDR
AUT,GDR
GDR,FRG
GDR,SUI
FRG,SUI
NOR,URS
NOR,TCH
URS,TCH
AUT,TCH
AUT,AUT
TCH,AUT
SWE,SWE
SWE,NOR
SWE,NOR
NED,NED
NED,NOR
NED,NOR
NED,NOR
NED,NED
NOR,NED
FRG,NOR
FRG,USA
NOR,USA
