Source,Target
TUN,KEN
TUN,ETH
KEN,ETH
USA,USA
USA,JAM
USA,JAM
ITA,USA
ITA,USA
USA,USA
FRG,KEN
FRG,USA
KEN,USA
USA,USA
USA,AUS
USA,AUS
URS,URS
URS,MEX
URS,MEX
USA,KEN
USA,KEN
KEN,KEN
USA,USA
USA,USA
USA,USA
GBR,GBR
GBR,FRG
GBR,FRG
FRA,USA
FRA,CUB
USA,CUB
FRG,USA
FRG,KEN
USA,KEN
KEN,TUN
KEN,KEN
TUN,KEN
USA,GDR
USA,HUN
GDR,HUN
USA,AUS
USA,KEN
AUS,KEN
FRG,USA
FRG,FRG
USA,FRG
TCH,USA
TCH,GDR
USA,GDR
HUN,HUN
HUN,URS
HUN,URS
URS,USA
URS,USA
USA,USA
HUN,URS
HUN,FIN
URS,FIN
USA,USA
USA,GDR
USA,GDR
NZL,ETH
NZL,JPN
ETH,JPN
GDR,USA
GDR,FRG
USA,FRG
URS,USA
URS,USA
USA,USA
ITA,URS
ITA,BRA
URS,BRA
URS,USA
URS,YUG
USA,YUG
ITA,MEX
ITA,USA
ITA,URS
MEX,USA
MEX,URS
USA,URS
USA,POL
USA,VEN
USA,KOR
POL,VEN
POL,KOR
VEN,KOR
BRA,UGA
BRA,MEX
BRA,POL
UGA,MEX
UGA,POL
MEX,POL
KOR,JPN
KOR,URS
KOR,UGA
JPN,URS
JPN,UGA
URS,UGA
BUL,KEN
BUL,MEX
BUL,USA
KEN,MEX
KEN,USA
MEX,USA
ROU,YUG
ROU,USA
ROU,POL
YUG,USA
YUG,POL
USA,POL
FIN,USA
FIN,POL
FIN,CUB
USA,POL
USA,CUB
POL,CUB
ARG,URS
ARG,GDR
ARG,CMR
URS,GDR
URS,CMR
GDR,CMR
USA,FRG
USA,URS
USA,CUB
FRG,URS
FRG,CUB
URS,CUB
USA,MEX
USA,GBR
USA,URS
MEX,GBR
MEX,URS
GBR,URS
POL,BUL
POL,URS
POL,ROU
BUL,URS
BUL,ROU
URS,ROU
URS,HUN
URS,FRG
HUN,FRG
URS,ROU
URS,HUN
ROU,HUN
DEN,HUN
DEN,URS
HUN,URS
AUT,URS
AUT,HUN
URS,HUN
HUN,NOR
HUN,ROU
NOR,ROU
ITA,NED
ITA,SWE
NED,SWE
SWE,ITA
SWE,DEN
ITA,DEN
POL,FRA
POL,DEN
FRA,DEN
BEL,FRA
BEL,NED
FRA,NED
SUI,FRA
SUI,DEN
FRA,DEN
FRA,FRA
FRA,ITA
FRA,ITA
ITA,DEN
ITA,FRG
DEN,FRG
USA,ITA
USA,MEX
ITA,MEX
USA,USA
USA,ITA
USA,ITA
FRG,URS
FRG,FRG
URS,FRG
SUI,FRG
SUI,URS
FRG,URS
USA,FRA
USA,GBR
FRA,GBR
AUS,GBR
AUS,USA
GBR,USA
POL,FRA
POL,URS
FRA,URS
FRA,ROU
FRA,HUN
ROU,HUN
HUN,URS
HUN,ITA
URS,ITA
HUN,POL
HUN,URS
POL,URS
POL,HUN
POL,URS
HUN,URS
ITA,HUN
ITA,URS
HUN,URS
JPN,HUN
JPN,BUL
HUN,BUL
GDR,JPN
GDR,URS
JPN,URS
JPN,JPN
JPN,JPN
JPN,JPN
JPN,JPN
JPN,URS
JPN,URS
JPN,JPN
JPN,URS
JPN,URS
URS,JPN
URS,URS
JPN,URS
URS,YUG
URS,FIN
YUG,FIN
JPN,JPN
JPN,URS
JPN,URS
URS,URS
URS,JPN
URS,JPN
IND,PAK
IND,AUS
PAK,AUS
GBR,USA
FRG,CAN
FRG,FRA
CAN,FRA
URS,SWE
URS,HUN
SWE,HUN
FRA,HUN
FRA,URS
HUN,URS
SUI,NZL
SUI,GDR
NZL,GDR
DEN,ITA
DEN,NED
ITA,NED
ITA,GDR
ITA,HUN
GDR,HUN
DEN,GDR
DEN,USA
GDR,USA
USA,URS
USA,NED
URS,NED
URS,FRG
URS,AUS
FRG,AUS
ARG,NED
ARG,FRG
NED,FRG
GBR,SWE
GBR,SUI
SWE,SUI
ITA,URS
ITA,AUT
URS,AUT
ITA,USA
ITA,NOR
USA,NOR
GDR,USA
GDR,DEN
USA,DEN
BRA,GBR
BRA,FRG
GBR,FRG
URS,POL
URS,ROU
POL,ROU
SUI,USA
SUI,URS
USA,URS
GDR,URS
GDR,FRG
URS,FRG
URS,FRG
URS,USA
FRG,USA
NZL,TCH
NZL,HUN
TCH,HUN
FRG,URS
FRG,ITA
URS,ITA
GDR,GBR
GDR,USA
GBR,USA
USA,GDR
USA,USA
GDR,USA
URS,USA
URS,URS
USA,URS
USA,USA
USA,USA
USA,USA
USA,AUS
USA,USA
AUS,USA
AUS,USA
AUS,USA
USA,USA
USA,GDR
USA,USA
GDR,USA
USA,MEX
USA,URS
MEX,URS
USA,USA
USA,GBR
USA,GBR
USA,AUS
USA,USA
AUS,USA
USA,USA
USA,USA
USA,USA
FRA,USA
FRA,CAN
USA,CAN
FRG,USA
FRG,USA
USA,USA
AUS,USA
AUS,URS
USA,URS
URS,USA
URS,GDR
USA,GDR
URS,USA
URS,AUS
USA,AUS
TCH,URS
TCH,JPN
URS,JPN
HUN,YUG
HUN,URS
YUG,URS
USA,URS
USA,BEL
URS,BEL
POL,IRI
POL,HUN
IRI,HUN
JPN,JPN
JPN,URS
JPN,URS
POL,POL
POL,IRI
POL,IRI
HUN,URS
HUN,JPN
URS,JPN
POL,URS
POL,URS
URS,URS
POL,FIN
POL,URS
FIN,URS
FRG,URS
FRG,BUL
URS,BUL
MGL,JPN
MGL,USA
