Source,Target
FIN,USA
FIN,SWE
USA,SWE
ETH,FIN
ETH,BEL
FIN,BEL
JAM,URS
JAM,USA
URS,USA
USA,USA
USA,FRA
USA,FRA
NZL,FIN
NZL,KEN
FIN,KEN
ITA,URS
ITA,USA
URS,USA
GDR,GDR
GDR,URS
GDR,URS
FIN,KEN
FIN,KEN
KEN,KEN
KEN,USA
KEN,USA
USA,USA
GBR,UGA
GBR,USA
UGA,USA
FRG,USA
FRG,URS
USA,URS
FRA,KEN
FRA,GBR
KEN,GBR
GBR,FIN
GBR,TUN
FIN,TUN
USA,FRG
USA,URS
FRG,URS
KEN,USA
KEN,URS
USA,URS
POL,URS
POL,URS
URS,URS
SWE,TCH
SWE,USA
TCH,USA
URS,URS
URS,GDR
URS,GDR
USA,URS
USA,GDR
URS,GDR
USA,FRG
USA,URS
FRG,URS
USA,USA
USA,FRG
USA,FRG
ETH,USA
ETH,BEL
USA,BEL
USA,GDR
USA,USA
GDR,USA
GDR,POL
GDR,USA
POL,USA
BRA,URS
BRA,GDR
URS,GDR
CUB,URS
CUB,USA
URS,USA
FRG,SWE
FRG,CUB
FRG,ROU
SWE,CUB
SWE,ROU
CUB,ROU
GBR,ESP
GBR,HUN
GBR,PRK
ESP,HUN
ESP,PRK
HUN,PRK
POL,CUB
POL,BUL
POL,UGA
CUB,BUL
CUB,UGA
BUL,UGA
USA,GBR
USA,CUB
USA,MEX
GBR,CUB
GBR,MEX
CUB,MEX
HUN,COL
HUN,URS
HUN,KEN
COL,URS
COL,KEN
URS,KEN
KEN,COL
KEN,POL
KEN,HUN
COL,POL
COL,HUN
POL,HUN
NIG,YUG
NIG,USA
NIG,BUL
YUG,USA
YUG,BUL
USA,BUL
KEN,USA
KEN,CUB
KEN,HUN
USA,CUB
USA,HUN
CUB,HUN
GBR,GDR
GBR,FRG
GBR,POL
GDR,FRG
GDR,POL
FRG,POL
GHA,USA
GHA,URS
GHA,FIN
USA,URS
USA,FIN
URS,FIN
POL,NGR
POL,YUG
POL,CUB
NGR,YUG
NGR,CUB
YUG,CUB
USA,GDR
USA,FRG
GDR,FRG
FRA,GDR
FRA,FRG
GDR,FRG
GDR,GDR
GDR,AUT
GDR,AUT
FRG,ROU
FRG,HUN
ROU,HUN
BUL,URS
BUL,ROU
URS,ROU
HUN,URS
HUN,SWE
URS,SWE
POL,URS
POL,HUN
URS,HUN
NOR,URS
NOR,ROU
URS,ROU
URS,POL
NED,AUS
GDR,DEN
GDR,AUS
DEN,AUS
POL,URS
POL,GDR
URS,GDR
FRG,NOR
FRG,SUI
NOR,SUI
URS,FRA
URS,AUS
FRA,AUS
GBR,FRG
GBR,GDR
FRG,GDR
ITA,ITA
ITA,USA
ITA,USA
USA,URS
USA,ITA
URS,ITA
URS,FRG
SWE,GBR
SWE,ITA
GBR,ITA
FRG,GBR
FRG,USA
GBR,USA
FRA,POL
FRA,URS
POL,URS
FRA,POL
FRA,HUN
POL,HUN
HUN,ITA
HUN,URS
ITA,URS
URS,URS
URS,HUN
URS,HUN
URS,HUN
URS,SUI
HUN,SUI
HUN,HUN
HUN,FRA
HUN,FRA
URS,GDR
URS,POL
URS,HUN
GDR,POL
GDR,HUN
POL,HUN
GDR,JPN
GDR,URS
JPN,URS
JPN,URS
JPN,JPN
URS,JPN
JPN,JPN
JPN,JPN
JPN,JPN
JPN,JPN
JPN,JPN
JPN,JPN
JPN,JPN
JPN,JPN
JPN,JPN
JPN,URS
JPN,JPN
URS,JPN
JPN,JPN
JPN,URS
JPN,URS
URS,GDR
URS,URS
GDR,URS
ROU,YUG
ROU,TCH
YUG,TCH
IND,FRG
IND,PAK
FRG,PAK
JPN,URS
JPN,NED
JPN,FRG
URS,NED
URS,FRG
NED,FRG
PRK,FRA
PRK,JPN
FRA,JPN
GDR,URS
GDR,JPN
GDR,POL
URS,JPN
URS,POL
JPN,POL
FRA,GBR
FRA,JPN
FRA,KOR
GBR,JPN
GBR,KOR
JPN,KOR
FRG,BRA
FRG,URS
FRG,GBR
BRA,URS
BRA,GBR
URS,GBR
FRA,GBR
FRA,NED
FRA,URS
GBR,NED
GBR,URS
NED,URS
USA,ITA
ITA,FRG
ITA,USA
FRG,USA
URS,HUN
URS,URS
HUN,URS
FIN,URS
FIN,HUN
URS,HUN
TCH,FRG
TCH,GDR
FRG,GDR
ROU,GDR
ROU,TCH
GDR,TCH
FRG,GDR
FRG,NZL
GDR,NZL
NED,GDR
NED,SUI
GDR,SUI
GDR,URS
GDR,NOR
URS,NOR
GDR,NZL
GDR,USA
NZL,USA
GDR,URS
GDR,ARG
URS,ARG
URS,FRA
URS,GRE
FRA,GRE
CAN,USA
CAN,SWE
USA,SWE
FRG,AUS
FRG,SWE
AUS,SWE
USA,AUS
USA,GDR
AUS,GDR
FRG,GBR
FRG,FRA
GBR,FRA
USA,URS
USA,GBR
URS,GBR
URS,POL
URS,TCH
POL,TCH
HUN,USA
HUN,URS
USA,URS
AUT,SWE
AUT,ROU
SWE,ROU
GDR,USA
GDR,USA
USA,USA
ROU,PRK
ROU,USA
PRK,USA
GBR,URS
GBR,COL
URS,COL
GDR,FRG
GDR,URS
FRG,URS
ITA,ITA
ITA,FRA
ITA,FRA
USA,GDR
USA,USA
GDR,USA
USA,JPN
USA,USA
JPN,USA
USA,USA
USA,CAN
USA,CAN
URS,USA
URS,USA
USA,USA
USA,USA
USA,AUS
USA,AUS
USA,GDR
USA,USA
GDR,USA
JPN,USA
JPN,GBR
USA,GBR
USA,USA
USA,USA
USA,USA
FRG,USA
FRG,USA
USA,USA
USA,SWE
USA,USA
SWE,USA
USA,AUS
USA,USA
AUS,USA
HUN,SWE
HUN,USA
SWE,USA
GDR,USA
GDR,URS
USA,URS
CAN,USA
CAN,GDR
USA,GDR
URS,USA
URS,FRG
USA,FRG
URS,JPN
URS,GDR
JPN,GDR
USA,URS
USA,HUN
URS,HUN
GDR,URS
GDR,FRG
URS,FRG
HUN,POL
HUN,HUN
POL,HUN
URS,HUN
URS,IRI
HUN,IRI
HUN,BUL
HUN,URS
BUL,URS
POL,URS
POL,BUL
URS,BUL
ITA,BUL
ITA,LBN
BUL,LBN
HUN,NOR
HUN,POL
NOR,POL
SWE,BUL
SWE,BUL
BUL,BUL
GDR,URS
GDR,BUL
URS,BUL
USA,URS
USA,BUL
URS,BUL
IRI,URS
IRI,BUL
URS,BUL
PRK,JPN
PRK,URS
JPN,URS
HUN,JPN
HUN,USA
JPN,USA
BUL,URS
BUL,TUR
URS,TUR
URS,USA
URS,JPN
USA,JPN
FRG,USA
FRG,SWE
USA,SWE
ROU,URS
ROU,USA
URS,USA
HUN,USA
HUN,URS
USA,URS
HUN,URS
HUN,MGL
URS,MGL
ROU,URS
ROU,BUL
URS,BUL
BUL,ROU
BUL,IRI
ROU,IRI
ITA,BUL
ITA,JPN
BUL,JPN
