Source,Target
USA,SUI
USA,AUT
SUI,AUT
AUT,SUI
AUT,AUT
SUI,AUT
FRA,USA
FRA,FRA
USA,FRA
FIN,URS
FIN,URS
URS,URS
NOR,URS
NOR,FIN
URS,FIN
TCH,URS
TCH,FIN
URS,FIN
USA,AUT
USA,CAN
AUT,CAN
GDR,URS
GDR,URS
URS,URS
GDR,GDR
GDR,GDR
GDR,GDR
USA,FRG
USA,NED
FRG,NED
NED,USA
NED,NED
USA,NED
NED,NED
NED,USA
NED,USA
URS,USA
URS,URS
USA,URS
AUT,SUI
AUT,SUI
SUI,SUI
SUI,ITA
SUI,SUI
ITA,SUI
ITA,ESP
ITA,ITA
ESP,ITA
SWE,NOR
SWE,GDR
NOR,GDR
GDR,URS
GDR,FIN
URS,FIN
FRG,SUI
FRG,ITA
SUI,ITA
SUI,FRG
SUI,FRG
FRG,FRG
NOR,SWE
NOR,URS
SWE,URS
NOR,URS
NOR,NOR
URS,NOR
SUI,URS
SUI,NOR
URS,NOR
URS,NOR
URS,NOR
NOR,NOR
FRA,TCH
FRA,URS
TCH,URS
GDR,URS
GDR,URS
URS,URS
TCH,URS
TCH,USA
URS,USA
GDR,GDR
GDR,ITA
GDR,ITA
GDR,GDR
GDR,GDR
GDR,GDR
GDR,GDR
GDR,FIN
GDR,FIN
GDR,POL
GDR,SUI
POL,SUI
JPN,JPN
JPN,JPN
JPN,JPN
NOR,NED
NOR,NED
NED,NED
SWE,NED
SWE,NOR
NED,NOR
NOR,NED
NOR,NOR
NED,NOR
URS,FRG
URS,SWE
FRG,SWE
