Source,Target
USA,FRG
USA,AUT
FRG,AUT
FRA,CAN
FRA,FRG
CAN,FRG
LIE,FRG
LIE,ITA
FRG,ITA
URS,URS
URS,FIN
URS,FIN
GDR,URS
GDR,FIN
URS,FIN
URS,FIN
URS,URS
FIN,URS
USA,URS
USA,URS
URS,URS
GDR,USA
GDR,NED
USA,NED
GDR,URS
GDR,GDR
URS,GDR
FRG,GDR
FRG,GDR
GDR,GDR
USA,URS
USA,USA
URS,USA
URS,URS
URS,USA
URS,USA
NOR,URS
NOR,GDR
URS,GDR
URS,USA
URS,CAN
USA,CAN
ITA,AUT
ITA,SUI
AUT,SUI
SWE,SUI
SWE,SUI
SUI,SUI
LIE,ITA
LIE,ITA
ITA,ITA
URS,URS
URS,FIN
URS,FIN
GDR,URS
GDR,FIN
URS,FIN
FRG,GDR
FRG,SUI
GDR,SUI
SUI,GDR
SUI,FRG
GDR,FRG
FIN,URS
FIN,URS
URS,URS
URS,URS
URS,USA
URS,USA
URS,FIN
URS,NOR
FIN,NOR
SWE,NOR
SWE,GDR
NOR,GDR
USA,URS
USA,URS
URS,URS
CAN,GBR
CAN,URS
GBR,URS
GDR,URS
GDR,GDR
URS,GDR
FRG,URS
FRG,TCH
URS,TCH
AUT,GDR
AUT,FRG
GDR,FRG
GDR,GDR
GDR,FRG
GDR,FRG
GDR,GDR
GDR,FRG
GDR,FRG
GDR,AUT
GDR,AUT
AUT,AUT
AUT,GDR
AUT,GDR
GDR,GDR
NED,NED
NED,NOR
NED,NOR
URS,USA
URS,NOR
USA,NOR
NED,NOR
NED,URS
NOR,URS
NED,NOR
NED,NED
NOR,NED
USA,URS
USA,URS
URS,URS
