Source,Target
AUS,AUS
AUS,URS
AUS,EUA
URS,AUS
URS,URS
URS,EUA
EUA,AUS
EUA,URS
EUA,EUA
AUS,AUS
AUS,URS
AUS,EUA
URS,AUS
URS,URS
URS,EUA
EUA,AUS
EUA,URS
EUA,EUA
AUS,AUS
AUS,URS
AUS,EUA
URS,AUS
URS,URS
URS,EUA
EUA,AUS
EUA,URS
EUA,EUA
GBR,GBR
GBR,EUA
GBR,USA
EUA,GBR
EUA,EUA
EUA,USA
USA,GBR
USA,EUA
USA,USA
GBR,GBR
GBR,EUA
GBR,USA
EUA,GBR
EUA,EUA
EUA,USA
USA,GBR
USA,EUA
USA,USA
GBR,GBR
GBR,EUA
GBR,USA
EUA,GBR
EUA,EUA
EUA,USA
USA,GBR
USA,EUA
USA,USA
USA,USA
USA,USA
USA,USA
USA,USA
USA,USA
USA,USA
USA,USA
USA,USA
USA,USA
USA,USA
USA,USA
USA,USA
USA,USA
USA,USA
USA,USA
USA,USA
USA,USA
USA,USA
USA,USA
USA,USA
USA,USA
USA,USA
USA,USA
USA,USA
USA,USA
USA,USA
USA,USA
HUN,HUN
HUN,AUS
HUN,FRA
AUS,HUN
AUS,AUS
AUS,FRA
FRA,HUN
FRA,AUS
FRA,FRA
HUN,HUN
HUN,AUS
HUN,FRA
AUS,HUN
AUS,AUS
AUS,FRA
FRA,HUN
FRA,AUS
FRA,FRA
HUN,HUN
HUN,AUS
HUN,FRA
AUS,HUN
AUS,AUS
AUS,FRA
FRA,HUN
FRA,AUS
FRA,FRA
FRA,FRA
FRA,ITA
FRA,USA
ITA,FRA
ITA,ITA
ITA,USA
USA,FRA
USA,ITA
USA,USA
FRA,FRA
FRA,ITA
FRA,USA
ITA,FRA
ITA,ITA
ITA,USA
USA,FRA
USA,ITA
USA,USA
FRA,FRA
FRA,ITA
FRA,USA
ITA,FRA
ITA,ITA
ITA,USA
USA,FRA
USA,ITA
USA,USA
GBR,GBR
GBR,URS
GBR,AUS
URS,GBR
URS,URS
URS,AUS
AUS,GBR
AUS,URS
AUS,AUS
GBR,GBR
GBR,URS
GBR,AUS
URS,GBR
URS,URS
URS,AUS
AUS,GBR
AUS,URS
AUS,AUS
GBR,GBR
GBR,URS
GBR,AUS
URS,GBR
URS,URS
URS,AUS
AUS,GBR
AUS,URS
AUS,AUS
URS,URS
URS,POL
URS,URS
POL,URS
POL,POL
POL,URS
URS,URS
URS,POL
URS,URS
URS,URS
URS,POL
URS,URS
POL,URS
POL,POL
POL,URS
URS,URS
URS,POL
URS,URS
URS,URS
URS,POL
URS,URS
POL,URS
POL,POL
POL,URS
URS,URS
URS,POL
URS,URS
RSA,RSA
RSA,USA
RSA,EUA
USA,RSA
USA,USA
USA,EUA
EUA,RSA
EUA,USA
EUA,EUA
RSA,RSA
RSA,USA
RSA,EUA
USA,RSA
USA,USA
USA,EUA
EUA,RSA
EUA,USA
EUA,EUA
RSA,RSA
RSA,USA
RSA,EUA
USA,RSA
USA,USA
USA,EUA
EUA,RSA
EUA,USA
EUA,EUA
USA,USA
USA,USA
USA,USA
USA,USA
USA,USA
USA,USA
USA,USA
USA,USA
USA,USA
USA,USA
