Source,Target
ITA,USA
ITA,JPN
USA,JPN
GBR,FIN
GBR,POR
FIN,POR
URS,TTO
URS,JAM
TTO,JAM
USA,FRA
USA,CUB
FRA,CUB
FRG,NZL
FRG,BEL
NZL,BEL
USA,JAM
USA,USA
JAM,USA
GDR,MEX
GDR,GDR
MEX,GDR
GDR,SWE
GDR,POL
SWE,POL
USA,CUB
USA,USA
CUB,USA
URS,USA
URS,USA
USA,USA
URS,USA
URS,GDR
USA,GDR
FRG,USA
FRG,POL
USA,POL
FRG,FIN
FRG,NZL
FIN,NZL
USA,CUB
USA,BEL
CUB,BEL
URS,USA
URS,FRG
USA,FRG
USA,USA
USA,GDR
USA,GDR
URS,URS
URS,URS
URS,URS
USA,POL
USA,CAN
POL,CAN
ROU,HUN
ROU,FIN
HUN,FIN
GDR,USA
GDR,USA
USA,USA
BEL,GDR
BEL,USA
GDR,USA
USA,POL
USA,FIN
POL,FIN
URS,GDR
URS,URS
GDR,URS
BRA,URS
BRA,USA
URS,USA
URS,USA
URS,YUG
USA,YUG
BER,USA
BER,CUB
BER,ROU
USA,CUB
USA,ROU
CUB,ROU
PUR,THA
PUR,CUB
PUR,PRK
THA,CUB
THA,PRK
CUB,PRK
POL,URS
POL,USA
POL,CUB
URS,USA
URS,CUB
USA,CUB
GBR,URS
GBR,PRK
GBR,USA
URS,PRK
URS,USA
PRK,USA
POL,MEX
POL,CUB
POL,GDR
MEX,CUB
MEX,GDR
CUB,GDR
YUG,URS
YUG,USA
YUG,ROU
URS,USA
URS,ROU
USA,ROU
BUL,POL
BUL,USA
BUL,CUB
POL,USA
POL,CUB
USA,CUB
FRG,ROU
FRG,GDR
FRG,VEN
ROU,GDR
ROU,VEN
GDR,VEN
CUB,URS
CUB,POL
CUB,YUG
URS,POL
URS,YUG
POL,YUG
CUB,ROU
CUB,USA
CUB,URS
ROU,USA
ROU,URS
USA,URS
ROU,POL
ROU,USA
ROU,CUB
POL,USA
POL,CUB
USA,CUB
HUN,YUG
HUN,URS
YUG,URS
YUG,URS
YUG,CAN
URS,CAN
HUN,URS
HUN,ROU
URS,ROU
HUN,URS
HUN,POL
URS,POL
ROU,GDR
ROU,HUN
GDR,HUN
GDR,ROU
GDR,HUN
ROU,HUN
HUN,URS
HUN,GDR
URS,GDR
ROU,GDR
ROU,URS
GDR,URS
GDR,URS
GDR,ESP
URS,ESP
DEN,URS
DEN,POL
URS,POL
POL,SWE
POL,ITA
SWE,ITA
DEN,GDR
DEN,BEL
GDR,BEL
GDR,FRG
GDR,NED
FRG,NED
GDR,TCH
GDR,FRA
TCH,FRA
GBR,FRG
GBR,URS
FRG,URS
URS,ITA
URS,USA
ITA,USA
URS,USA
URS,ITA
USA,ITA
FRG,FRG
FRG,SUI
FRG,USA
FRG,USA
USA,USA
AUS,USA
AUS,FRG
USA,FRG
FRA,FRG
FRA,ITA
FRG,ITA
FRA,ITA
FRA,URS
ITA,URS
ROU,URS
ROU,ITA
URS,ITA
URS,URS
URS,URS
URS,URS
SUI,SWE
SUI,FRG
SWE,FRG
HUN,FRG
HUN,FRG
FRG,FRG
URS,GDR
URS,POL
GDR,POL
GDR,JPN
GDR,URS
JPN,URS
USA,URS
USA,URS
URS,URS
FRA,FRG
FRA,JPN
FRA,JPN
FRG,JPN
FRG,JPN
JPN,JPN
JPN,URS
JPN,JPN
URS,JPN
JPN,JPN
JPN,URS
JPN,URS
URS,GDR
URS,HUN
URS,JPN
GDR,HUN
GDR,JPN
HUN,JPN
ROU,URS
ROU,URS
URS,URS
JPN,URS
JPN,JPN
URS,JPN
POL,URS
POL,ROU
URS,ROU
PAK,NZL
PAK,AUS
NZL,AUS
USA,JPN
USA,URS
USA,FRG
JPN,URS
JPN,FRG
URS,FRG
ITA,HUN
ITA,CUB
ITA,KOR
HUN,CUB
HUN,KOR
CUB,KOR
POL,FRA
POL,URS
POL,JPN
FRA,URS
FRA,JPN
URS,JPN
YUG,KOR
YUG,JPN
YUG,URS
KOR,JPN
KOR,URS
JPN,URS
SUI,GBR
SUI,JPN
SUI,URS
GBR,JPN
GBR,URS
JPN,URS
KOR,URS
KOR,JPN
KOR,GBR
URS,JPN
URS,GBR
JPN,GBR
BEL,FRG
BEL,CAN
FRG,CAN
BEL,FRA
BEL,FRG
FRA,FRG
TCH,POL
TCH,URS
POL,URS
HUN,GBR
HUN,TCH
GBR,TCH
FRG,URS
FRG,GDR
URS,GDR
TCH,GDR
TCH,URS
GDR,URS
URS,GDR
URS,NOR
GDR,NOR
FRG,GDR
FRG,USA
GDR,USA
GDR,NOR
GDR,GBR
NOR,GBR
NZL,GDR
NZL,GBR
GDR,GBR
TCH,GDR
TCH,URS
GDR,URS
GDR,FIN
GDR,FRG
FIN,FRG
AUS,FRG
AUS,ESP
FRG,ESP
AUS,GDR
AUS,URS
GDR,URS
GDR,DEN
GDR,USA
DEN,USA
FRG,GBR
FRG,USA
GBR,USA
BRA,FRG
BRA,GBR
FRG,GBR
USA,SWE
USA,URS
SWE,URS
ITA,GDR
ITA,GDR
GDR,GDR
AUT,GDR
AUT,GDR
GDR,GDR
FRG,USA
URS,FRG
URS,FRG
FRG,FRG
POL,URS
POL,URS
URS,URS
POL,TCH
POL,NED
TCH,NED
ITA,USA
ITA,POR
USA,POR
GDR,USA
GDR,USA
USA,USA
