Source,Target
SUI,AUT
SUI,LIE
AUT,LIE
FRA,LIE
FRA,FRG
LIE,FRG
SUI,LIE
SUI,FRG
LIE,FRG
FIN,GDR
FIN,FIN
GDR,FIN
NOR,GDR
NOR,URS
GDR,URS
TCH,URS
TCH,FIN
URS,FIN
URS,URS
URS,HUN
URS,HUN
FRG,GDR
FRG,USA
GDR,USA
GDR,URS
GDR,URS
URS,URS
URS,URS
URS,GDR
URS,GDR
GDR,URS
GDR,USA
URS,USA
GDR,NED
GDR,NED
NED,NED
USA,NOR
USA,GDR
NOR,GDR
URS,GDR
URS,USA
GDR,USA
CAN,AUT
CAN,AUT
AUT,AUT
AUT,SWE
AUT,LIE
SWE,LIE
SUI,SWE
SUI,USA
SWE,USA
URS,GDR
URS,URS
GDR,URS
GDR,URS
GDR,GDR
URS,GDR
FRG,URS
FRG,GDR
URS,GDR
GDR,GDR
GDR,SUI
GDR,SUI
GDR,SUI
GDR,GDR
SUI,GDR
NOR,SWE
NOR,FIN
SWE,FIN
BUL,URS
BUL,URS
URS,URS
FIN,URS
FIN,NOR
URS,NOR
URS,URS
URS,FIN
URS,FIN
URS,URS
URS,HUN
URS,HUN
USA,GBR
USA,GDR
GBR,GDR
GDR,URS
GDR,URS
URS,URS
SWE,USA
SWE,URS
USA,URS
AUT,GDR
AUT,ITA
GDR,ITA
FRG,GDR
FRG,ITA
GDR,ITA
GDR,GDR
GDR,FIN
GDR,FIN
FIN,FIN
FIN,AUT
FIN,AUT
AUT,GDR
AUT,JPN
GDR,JPN
NOR,USA
NOR,NED
USA,NED
NOR,URS
NOR,USA
NOR,CAN
URS,USA
URS,CAN
USA,CAN
NOR,USA
NOR,NOR
USA,NOR
NOR,USA
NOR,NOR
USA,NOR
NED,USA
NED,URS
USA,URS
