Source,Target
ITA,FIN
ITA,URS
FIN,URS
ETH,ETH
ETH,FIN
ETH,FIN
BUL,GBR
BUL,CUB
GBR,CUB
URS,GDR
URS,CUB
GDR,CUB
GBR,GBR
GBR,GDR
GBR,GDR
JAM,ITA
JAM,GBR
ITA,GBR
GDR,ITA
GDR,URS
ITA,URS
ETH,POL
ETH,TAN
POL,TAN
GDR,URS
GDR,AUS
URS,AUS
GBR,GDR
GBR,URS
GDR,URS
FRA,URS
FRA,POL
URS,POL
ITA,URS
ITA,GDR
URS,GDR
FIN,ETH
FIN,TAN
ETH,TAN
URS,GDR
URS,ESP
GDR,ESP
URS,GBR
URS,GBR
GBR,GBR
URS,GBR
URS,URS
GBR,URS
CUB,URS
CUB,TCH
URS,TCH
URS,URS
URS,URS
URS,URS
GDR,GDR
GDR,POL
GDR,POL
GDR,URS
GDR,URS
URS,URS
URS,GDR
URS,GDR
GDR,GDR
URS,GDR
URS,NED
GDR,NED
POL,POL
POL,URS
POL,URS
GDR,URS
GDR,URS
URS,URS
BRA,URS
BRA,URS
URS,URS
URS,YUG
URS,ITA
YUG,ITA
GDR,HUN
GDR,CUB
GDR,URS
HUN,CUB
HUN,URS
CUB,URS
BUL,PRK
BUL,URS
BUL,CUB
PRK,URS
PRK,CUB
URS,CUB
IRL,HUN
IRL,BUL
IRL,URS
HUN,BUL
HUN,URS
BUL,URS
GUY,ROU
GUY,CUB
GUY,VEN
ROU,CUB
ROU,VEN
CUB,VEN
POL,URS
POL,GDR
POL,CUB
URS,GDR
URS,CUB
GDR,CUB
POL,GDR
POL,CUB
POL,URS
GDR,CUB
GDR,URS
CUB,URS
CUB,GBR
CUB,ITA
CUB,URS
GBR,ITA
GBR,URS
ITA,URS
GDR,POL
GDR,CUB
GDR,UGA
POL,CUB
POL,UGA
CUB,UGA
TCH,GDR
TCH,CUB
TCH,URS
GDR,CUB
GDR,URS
CUB,URS
POL,ROU
POL,CUB
POL,URS
ROU,CUB
ROU,URS
CUB,URS
GDR,CUB
GDR,YUG
GDR,POL
CUB,YUG
CUB,POL
YUG,POL
GDR,BUL
GDR,URS
BUL,URS
GDR,URS
GDR,BUL
URS,BUL
URS,ROU
URS,GDR
ROU,GDR
BUL,HUN
BUL,ROU
HUN,ROU
ROU,GDR
ROU,FRA
GDR,FRA
ROU,URS
ROU,AUS
URS,AUS
ESP,URS
ESP,HUN
URS,HUN
GDR,URS
GDR,ESP
URS,ESP
BUL,GDR
BUL,ROU
GDR,ROU
TCH,URS
TCH,GDR
URS,GDR
URS,URS
URS,POL
URS,POL
JAM,GDR
JAM,URS
GDR,URS
DEN,SUI
DEN,FRA
SUI,FRA
URS,GDR
URS,FRA
GDR,FRA
TCH,URS
TCH,GDR
URS,GDR
URS,GDR
URS,URS
GDR,URS
ITA,URS
ITA,MEX
URS,MEX
URS,URS
ROU,URS
ROU,BUL
URS,BUL
URS,ITA
URS,URS
ITA,URS
MEX,URS
MEX,ITA
URS,ITA
POL,FRA
POL,URS
FRA,URS
URS,URS
URS,FRA
URS,FRA
HUN,URS
HUN,ITA
URS,ITA
HUN,URS
HUN,URS
URS,URS
