Source,Target
JPN,USA
JPN,USA
USA,USA
KEN,ITA
KEN,GBR
ITA,GBR
CAN,USA
CAN,USA
USA,USA
FIN,USA
FIN,USA
USA,USA
ESP,GBR
ESP,GBR
GBR,GBR
USA,USA
USA,USA
USA,USA
ITA,MEX
ITA,MEX
MEX,MEX
USA,KEN
USA,FRA
KEN,FRA
USA,USA
USA,CIV
USA,CIV
FRG,USA
FRG,USA
USA,USA
CAN,USA
CAN,JAM
USA,JAM
NGR,USA
NGR,GBR
USA,GBR
POR,MAR
POR,SUI
MAR,SUI
ITA,MEX
ITA,SWE
MEX,SWE
USA,BRA
USA,GBR
BRA,GBR
FRG,GBR
FRG,FRG
GBR,FRG
USA,FRG
USA,USA
FRG,USA
FRG,FIN
FRG,FRG
FIN,FRG
CHN,FRG
CHN,SWE
FRG,SWE
SWE,FIN
SWE,GBR
FIN,GBR
ITA,USA
ITA,AUS
USA,AUS
GBR,POR
GBR,IRL
POR,IRL
USA,FRA
USA,FRA
USA,USA
FRA,FRA
FRA,USA
FRA,USA
USA,ITA
USA,USA
ITA,USA
GBR,USA
GBR,USA
USA,USA
YUG,USA
YUG,ESP
USA,ESP
YUG,GBR
YUG,USA
YUG,ITA
GBR,USA
GBR,ITA
USA,ITA
VEN,ZAM
VEN,USA
VEN,ITA
ZAM,USA
ZAM,ITA
USA,ITA
KEN,TUR
KEN,USA
KEN,YUG
TUR,USA
TUR,YUG
USA,YUG
DOM,CAN
DOM,ITA
DOM,MEX
CAN,ITA
CAN,MEX
ITA,MEX
TUR,VEN
TUR,USA
TUR,NGR
VEN,USA
VEN,NGR
USA,NGR
KOR,CMR
KOR,USA
KOR,PUR
CMR,USA
CMR,PUR
USA,PUR
ROU,YUG
ROU,USA
ROU,THA
YUG,USA
YUG,THA
USA,THA
ITA,FIN
ITA,USA
ITA,KOR
FIN,USA
FIN,KOR
USA,KOR
FRA,FRG
FRA,USA
FRA,CAN
FRG,USA
FRG,CAN
USA,CAN
PUR,ALG
PUR,KOR
PUR,USA
ALG,KOR
