Source,Target
TCH,SUI
TCH,SUI
SUI,SUI
FRA,USA
FRA,USA
USA,USA
LIE,ITA
LIE,FRA
ITA,FRA
NOR,FIN
NOR,URS
FIN,URS
NOR,FIN
NOR,URS
FIN,URS
FIN,NOR
FIN,TCH
NOR,TCH
TCH,FIN
TCH,NOR
FIN,NOR
URS,GBR
URS,URS
GBR,URS
URS,GDR
URS,USA
GDR,USA
URS,URS
URS,USA
URS,USA
GDR,GDR
GDR,GDR
GDR,GDR
URS,GDR
URS,GDR
GDR,GDR
URS,GDR
URS,GDR
GDR,GDR
GDR,GDR
GDR,GDR
GDR,GDR
URS,GDR
URS,GDR
GDR,GDR
AUT,USA
AUT,SUI
USA,SUI
LIE,SUI
LIE,YUG
SUI,YUG
FRA,USA
FRA,USA
USA,USA
GDR,NOR
GDR,FRG
NOR,FRG
NOR,FRG
NOR,GDR
FRG,GDR
FRG,URS
FRG,NOR
URS,NOR
SUI,GDR
SUI,GDR
GDR,GDR
URS,GDR
URS,GDR
GDR,GDR
FIN,SWE
FIN,FIN
SWE,FIN
SWE,URS
SWE,URS
URS,URS
FIN,SWE
FIN,URS
SWE,URS
FIN,SWE
FIN,SWE
SWE,SWE
URS,GBR
URS,URS
GBR,URS
TCH,USA
TCH,CAN
USA,CAN
URS,URS
URS,USA
URS,USA
SWE,URS
SWE,TCH
URS,TCH
GDR,FRG
GDR,URS
FRG,URS
URS,ITA
URS,URS
ITA,URS
FIN,NOR
FIN,FIN
NOR,FIN
TCH,FIN
TCH,GDR
FIN,GDR
FIN,GDR
FIN,FIN
GDR,FIN
GDR,URS
GDR,SWE
URS,SWE
NOR,CAN
NOR,URS
CAN,URS
URS,CAN
URS,URS
CAN,URS
GDR,SWE
GDR,URS
SWE,URS
CAN,URS
CAN,JPN
URS,JPN
