Source,Target
SUI,AUT
SUI,SUI
AUT,SUI
CAN,FRG
CAN,SUI
FRG,SUI
SUI,SUI
SUI,FRG
SUI,FRG
FRG,SUI
FRG,YUG
SUI,YUG
CAN,AUT
CAN,SUI
AUT,SUI
FIN,URS
FIN,URS
URS,URS
URS,URS
URS,URS
URS,URS
FIN,URS
FIN,NOR
URS,NOR
URS,FIN
URS,URS
FIN,URS
CAN,URS
CAN,URS
URS,URS
USA,GDR
USA,CAN
GDR,CAN
USA,URS
USA,URS
URS,URS
GDR,GDR
GDR,GDR
GDR,GDR
USA,GDR
USA,GDR
GDR,GDR
GDR,NED
GDR,GDR
NED,GDR
GDR,NED
GDR,GDR
NED,GDR
GDR,NED
GDR,GDR
NED,GDR
GDR,USA
GDR,GDR
USA,GDR
SUI,AUT
SUI,AUT
AUT,AUT
FRA,SUI
FRA,SUI
SUI,SUI
SUI,ITA
SUI,AUT
ITA,AUT
LIE,ITA
LIE,FRG
ITA,FRG
SWE,FRA
SWE,AUT
FRA,AUT
URS,GDR
URS,URS
GDR,URS
ITA,GDR
ITA,URS
GDR,URS
ITA,URS
ITA,FRG
URS,FRG
URS,SUI
URS,GDR
SUI,GDR
GDR,URS
GDR,GDR
URS,GDR
URS,URS
URS,NOR
URS,NOR
NOR,URS
NOR,URS
URS,URS
TCH,SWE
TCH,URS
SWE,URS
SUI,SWE
SUI,ITA
SWE,ITA
CAN,URS
CAN,URS
URS,URS
URS,USA
URS,CAN
USA,CAN
USA,URS
USA,URS
URS,URS
SWE,URS
SWE,FIN
URS,FIN
FRG,GDR
FRG,GDR
GDR,GDR
URS,GDR
URS,FRG
GDR,FRG
AUT,FRG
AUT,SUI
FRG,SUI
URS,SUI
URS,AUT
SUI,AUT
YUG,FIN
YUG,NOR
FIN,NOR
NOR,FIN
NOR,YUG
FIN,YUG
TCH,FIN
TCH,TCH
FIN,TCH
NED,SWE
NED,AUT
SWE,AUT
URS,URS
URS,GDR
URS,GDR
AUT,GDR
AUT,USA
GDR,USA
NED,SWE
NED,NED
SWE,NED
JPN,GDR
JPN,NED
GDR,NED
