Source,Target
URS,USA
URS,KOR
USA,KOR
GBR,KOR
GBR,USA
KOR,USA
KEN,MAR
KEN,ITA
MAR,ITA
USA,USA
USA,GBR
USA,GBR
USA,USA
USA,GBR
USA,GBR
GDR,KEN
GDR,GBR
KEN,GBR
BRA,USA
BRA,USA
USA,USA
ITA,TCH
ITA,GDR
TCH,GDR
GBR,KEN
GBR,KEN
KEN,KEN
USA,USA
USA,USA
USA,USA
USA,USA
USA,SEN
USA,SEN
FRA,URS
FRA,GBR
URS,GBR
FRG,USA
FRG,JAM
USA,JAM
GDR,KEN
GDR,FRG
KEN,FRG
GDR,URS
GDR,GDR
URS,GDR
MAR,KEN
MAR,BRA
KEN,BRA
CAN,GDR
CAN,GDR
GDR,GDR
FRG,GDR
FRG,URS
GDR,URS
URS,URS
URS,URS
URS,URS
URS,SWE
URS,URS
URS,USA
SWE,URS
SWE,USA
URS,USA
FIN,FIN
FIN,TCH
FIN,TCH
USA,USA
USA,USA
USA,USA
DJI,ITA
DJI,KEN
ITA,KEN
URS,URS
URS,URS
URS,URS
SUI,GDR
SUI,USA
GDR,USA
URS,BUL
URS,URS
BUL,URS
USA,URS
USA,YUG
URS,YUG
URS,POL
URS,CAN
URS,USA
POL,CAN
POL,USA
CAN,USA
HUN,PHI
HUN,BUL
HUN,USA
PHI,BUL
PHI,USA
BUL,USA
MEX,URS
MEX,KOR
MEX,GDR
URS,KOR
URS,GDR
KOR,GDR
COL,THA
COL,USA
COL,BUL
THA,USA
THA,BUL
USA,BUL
MAR,KOR
MAR,ITA
MAR,ROU
KOR,ITA
KOR,ROU
ITA,ROU
USA,MGL
USA,GDR
USA,SWE
MGL,GDR
MGL,SWE
GDR,SWE
FRG,SWE
FRG,URS
FRG,AUS
SWE,URS
SWE,AUS
URS,AUS
POL,USA
POL,KEN
POL,FRA
USA,KEN
USA,FRA
KEN,FRA
CAN,GBR
CAN,KOR
CAN,USA
GBR,KOR
GBR,USA
KOR,USA
KEN,PAK
KEN,GDR
KEN,CAN
PAK,GDR
PAK,CAN
GDR,CAN
POL,YUG
POL,USA
POL,URS
YUG,USA
YUG,URS
USA,URS
POL,NED
POL,USA
POL,KOR
NED,USA
NED,KOR
USA,KOR
BUL,URS
BUL,GDR
URS,GDR
BUL,GDR
BUL,URS
GDR,URS
POL,URS
POL,GDR
URS,GDR
FRA,URS
FRA,POL
URS,POL
GDR,USA
GDR,AUS
USA,AUS
NZL,HUN
NZL,GDR
HUN,GDR
AUS,USA
AUS,NZL
USA,NZL
HUN,NZL
HUN,URS
NZL,URS
GDR,HUN
GDR,URS
HUN,URS
SWE,GDR
SWE,POL
GDR,POL
FRG,GDR
FRG,FRG
GDR,FRG
FRG,URS
FRG,AUS
URS,AUS
GDR,URS
GDR,AUS
URS,AUS
URS,DEN
URS,NED
DEN,NED
AUS,GDR
AUS,URS
GDR,URS
AUS,URS
AUS,GDR
URS,GDR
MEX,USA
MEX,CHN
USA,CHN
CHN,USA
CHN,CHN
USA,CHN
CAN,FRG
CAN,SUI
FRG,SUI
NZL,GBR
NZL,FRG
NZL,GBR
FRG,GBR
HUN,URS
HUN,FRG
URS,FRG
URS,ITA
URS,GDR
ITA,GDR
ITA,HUN
ITA,URS
HUN,URS
ITA,FRA
ITA,POL
FRA,POL
URS,FRA
URS,FRG
FRA,FRG
URS,FRG
URS,FRA
FRG,FRA
FRG,URS
FRG,BRA
URS,BRA
JPN,URS
JPN,GDR
URS,GDR
JPN,CHN
JPN,URS
JPN,URS
CHN,URS
CHN,URS
URS,URS
GDR,ROU
GDR,URS
ROU,URS
URS,URS
URS,URS
URS,URS
GDR,URS
GDR,URS
URS,URS
URS,HUN
URS,BUL
HUN,BUL
GDR,GDR
GDR,URS
GDR,URS
KOR,CHN
KOR,GDR
CHN,GDR
YUG,URS
YUG,KOR
URS,KOR
NED,GBR
NED,FRG
GBR,FRG
KOR,URS
KOR,JPN
KOR,GDR
URS,JPN
URS,GDR
JPN,GDR
JPN,URS
JPN,KOR
JPN,USA
URS,KOR
URS,USA
KOR,USA
FRA,JPN
FRA,KOR
FRA,POL
JPN,KOR
JPN,POL
KOR,POL
USA,URS
USA,FRA
USA,GDR
URS,FRA
URS,GDR
FRA,GDR
GDR,URS
GDR,POL
GDR,FRG
URS,POL
URS,FRG
POL,FRG
JPN,NED
JPN,AUT
JPN,URS
NED,AUT
NED,URS
AUT,URS
GBR,BEL
GBR,BRA
GBR,FRG
BEL,BRA
BEL,FRG
BRA,FRG
FRG,FRA
FRG,USA
FRA,USA
FRA,FRG
FRA,USA
FRG,USA
URS,HUN
URS,ITA
HUN,ITA
GBR,HUN
GBR,ITA
HUN,ITA
NZL,GDR
NZL,ROU
GDR,ROU
GBR,ITA
GBR,GDR
ITA,GDR
FRG,GDR
FRG,USA
GDR,USA
YUG,GBR
YUG,ROU
GBR,ROU
URS,NED
URS,SUI
NED,SUI
USA,FRG
USA,URS
FRG,URS
GDR,ITA
GDR,NOR
ITA,NOR
NZL,GDR
NZL,FRG
GDR,FRG
USA,FRA
USA,URS
FRA,URS
USA,NZL
USA,AHO
NZL,AHO
NZL,ESP
NZL,ISV
ESP,ISV
DEN,GDR
DEN,USA
GDR,USA
BRA,GBR
BRA,USA
GBR,USA
BRA,FRA
BRA,NZL
FRA,NZL
CAN,DEN
CAN,NOR
DEN,NOR
CHN,BUL
CHN,USA
BUL,USA
FRG,YUG
FRG,FRA
YUG,FRA
HUN,URS
HUN,GDR
URS,GDR
URS,ROU
URS,SWE
ROU,SWE
URS,GBR
URS,GBR
GBR,GBR
HUN,TCH
HUN,KOR
TCH,KOR
URS,NOR
URS,CHN
NOR,CHN
ESP,GDR
ESP,CHI
GDR,CHI
BEL,URS
BEL,TCH
URS,TCH
URS,JPN
URS,USA
JPN,USA
ESP,URS
ESP,GBR
ESP,HUN
ESP,GBR
ESP,HUN
URS,GBR
URS,HUN
URS,GBR
URS,HUN
GBR,HUN
GBR,GBR
GBR,HUN
HUN,GBR
HUN,HUN
GBR,HUN
GBR,SUR
GBR,USA
SUR,USA
FRA,USA
FRA,USA
USA,USA
GDR,URS
GDR,FRG
URS,FRG
NZL,URS
NZL,GDR
URS,GDR
NZL,FRG
NZL,DEN
FRG,DEN
USA,AUS
USA,SWE
AUS,SWE
URS,HUN
URS,GDR
HUN,GDR
POL,GDR
POL,AUS
GDR,AUS
ITA,HUN
ITA,USA
HUN,USA
GDR,USA
GDR,URS
USA,URS
URS,USA
URS,CAN
USA,CAN
FRG,USA
FRG,GDR
USA,GDR
URS,USA
URS,USA
USA,USA
KOR,CHN
KOR,YUG
CHN,YUG
SWE,KOR
SWE,KOR
KOR,KOR
SWE,TCH
SWE,USA
SWE,ESP
TCH,USA
TCH,ESP
USA,ESP
SWE,USA
SWE,TCH
SWE,USA
USA,TCH
USA,USA
TCH,USA
ARG,USA
ARG,URS
USA,URS
URS,YUG
