Source,Target
FRA,AUT
FRA,AUT
AUT,AUT
AUT,CAN
AUT,USA
CAN,USA
SWE,AUT
SWE,USA
AUT,USA
ESP,AUT
ESP,NZL
AUT,NZL
GER,ITA
GER,FRA
ITA,FRA
CAN,GER
CAN,EUN
GER,EUN
EUN,FRA
EUN,GER
FRA,GER
EUN,EUN
EUN,GER
EUN,GER
EUN,EUN
EUN,FIN
EUN,FIN
EUN,ITA
EUN,EUN
ITA,EUN
ITA,EUN
ITA,NOR
EUN,NOR
EUN,FIN
EUN,EUN
FIN,EUN
EUN,EUN
EUN,ITA
EUN,ITA
EUN,EUN
EUN,FRA
EUN,FRA
USA,USA
USA,JPN
USA,JPN
CAN,EUN
CAN,EUN
EUN,EUN
NOR,USA
NOR,EUN
USA,EUN
GER,AUT
GER,AUT
AUT,AUT
EUN,CAN
EUN,USA
CAN,USA
PRK,USA
PRK,CHN
USA,CHN
GER,USA
GER,CHN
USA,CHN
JPN,GER
JPN,GER
GER,GER
AUT,GER
AUT,GER
GER,GER
GER,GER
GER,GER
GER,GER
GER,USA
GER,CHN
USA,CHN
SUI,ITA
SUI,ITA
ITA,ITA
AUT,AUT
AUT,FRA
AUT,FRA
NOR,ITA
NOR,LUX
ITA,LUX
AUT,NOR
AUT,ITA
NOR,ITA
NOR,NOR
NOR,LUX
NOR,LUX
FIN,GER
FIN,GER
GER,GER
SWE,EUN
SWE,GER
EUN,GER
SWE,GER
SWE,EUN
GER,EUN
SUI,AUT
SUI,GER
AUT,GER
GER,SUI
GER,GER
SUI,GER
SWE,NOR
SWE,ITA
NOR,ITA
NOR,NOR
NOR,NOR
NOR,NOR
FIN,NOR
FIN,ITA
NOR,ITA
ITA,NOR
ITA,ITA
NOR,ITA
ITA,NOR
ITA,NOR
NOR,NOR
EUN,EUN
EUN,FRA
EUN,FRA
TCH,EUN
TCH,USA
EUN,USA
CAN,EUN
CAN,EUN
EUN,EUN
USA,FRA
USA,FRA
FRA,FRA
TCH,EUN
TCH,CAN
EUN,CAN
ITA,GER
ITA,GER
GER,GER
AUT,GER
AUT,AUT
GER,AUT
AUT,JPN
AUT,NOR
JPN,NOR
AUT,FRA
AUT,FRA
FRA,FRA
KOR,KOR
KOR,CAN
KOR,CAN
JPN,KOR
JPN,CAN
KOR,CAN
AUT,FIN
AUT,AUT
FIN,AUT
TCH,FIN
TCH,AUT
FIN,AUT
FIN,AUT
FIN,AUT
AUT,AUT
NOR,NED
NOR,NOR
NED,NOR
JPN,GER
JPN,KOR
GER,KOR
NED,NOR
NED,NOR
NOR,NOR
NED,NOR
NED,NED
NOR,NED
JPN,GER
JPN,JPN
GER,JPN
