Source,Target
GBR,FRA
GBR,KOR
FRA,KOR
GBR,ESP
GBR,FIN
ESP,FIN
ETH,MAR
ETH,KEN
MAR,KEN
USA,GBR
USA,NAM
GBR,NAM
USA,CAN
USA,USA
CAN,USA
QAT,ESP
QAT,MAR
ESP,MAR
USA,USA
USA,NAM
USA,NAM
ITA,ESP
ITA,CAN
ESP,CAN
KEN,KEN
KEN,KEN
KEN,KEN
KEN,USA
KEN,USA
USA,USA
GBR,USA
GBR,JAM
USA,JAM
CUB,USA
CUB,NGR
USA,NGR
GBR,USA
GBR,CUB
USA,CUB
ETH,GER
ETH,KEN
GER,KEN
GER,EUN
GER,MEX
EUN,MEX
USA,KEN
USA,KEN
KEN,KEN
USA,TCH
USA,ESP
TCH,ESP
CUB,LTU
CUB,GER
LTU,GER
EUN,EUN
EUN,EUN
EUN,EUN
USA,AUS
USA,POL
USA,CUB
USA,SWE
AUS,POL
AUS,CUB
AUS,SWE
POL,CUB
POL,SWE
CUB,SWE
GBR,TCH
GBR,FIN
TCH,FIN
USA,USA
USA,USA
USA,USA
GER,KOR
GER,JPN
KOR,JPN
ESP,EUN
ESP,EUN
EUN,EUN
EUN,USA
EUN,USA
USA,USA
BAH,USA
BAH,USA
USA,USA
CHN,MAS
CHN,KOR
CHN,INA
MAS,KOR
MAS,INA
KOR,INA
DEN,INA
DEN,INA
DEN,INA
INA,INA
INA,INA
INA,INA
JPN,CUB
JPN,TPE
CUB,TPE
LTU,USA
LTU,CRO
USA,CRO
DEN,BUL
DEN,CUB
DEN,NGR
BUL,CUB
BUL,NGR
CUB,NGR
GER,PHI
GER,CUB
GER,BUL
PHI,CUB
PHI,BUL
CUB,BUL
USA,HUN
USA,PRK
USA,CUB
HUN,PRK
HUN,CUB
PRK,CUB
MAR,PRK
MAR,CUB
MAR,IRL
PRK,CUB
PRK,IRL
CUB,IRL
EUN,ALG
EUN,GER
EUN,ESP
ALG,GER
ALG,ESP
GER,ESP
MGL,KOR
MGL,USA
MGL,GER
KOR,USA
KOR,GER
USA,GER
ROU,FIN
ROU,CUB
ROU,CAN
FIN,CUB
FIN,CAN
CUB,CAN
PUR,THA
PUR,IRL
PUR,CUB
THA,IRL
THA,CUB
IRL,CUB
HUN,GBR
HUN,CUB
HUN,NED
GBR,CUB
GBR,NED
CUB,NED
CAN,KOR
CAN,CUB
CAN,USA
KOR,CUB
KOR,USA
CUB,USA
POL,HUN
POL,GER
POL,EUN
HUN,GER
HUN,EUN
GER,EUN
NZL,NED
NZL,CUB
NZL,NGR
NED,CUB
NED,NGR
CUB,NGR
FRA,TCH
FRA,GBR
TCH,GBR
FRA,USA
FRA,TCH
USA,TCH
GER,ITA
GER,FRA
ITA,FRA
HUN,BUL
