Source,Target
SLO,SWE
SLO,SUI
SWE,SUI
ITA,GER
ITA,USA
GER,USA
SUI,ITA
SUI,GER
ITA,GER
SLO,SUI
SLO,AUT
SUI,AUT
ITA,USA
ITA,RUS
USA,RUS
GER,CAN
GER,FRA
CAN,FRA
FRA,RUS
FRA,GER
RUS,GER
UKR,CAN
UKR,BLR
CAN,BLR
RUS,ITA
RUS,RUS
ITA,RUS
FIN,ITA
FIN,NOR
ITA,NOR
ITA,RUS
ITA,NOR
RUS,NOR
FIN,RUS
FIN,ITA
RUS,ITA
ITA,RUS
ITA,ITA
RUS,ITA
GBR,RUS
GBR,RUS
RUS,RUS
CHN,UKR
CHN,USA
UKR,USA
CAN,RUS
CAN,RUS
RUS,RUS
NOR,UZB
NOR,SWE
UZB,SWE
RUS,NOR
RUS,USA
NOR,USA
AUT,ITA
AUT,GER
ITA,GER
KOR,KOR
KOR,CAN
KOR,CAN
USA,KOR
USA,CAN
KOR,CAN
USA,USA
USA,CHN
USA,CHN
CHN,USA
CHN,GER
USA,GER
GER,AUT
GER,RUS
AUT,RUS
GER,RUS
GER,AUT
RUS,AUT
JPN,GER
JPN,GER
GER,GER
GER,USA
GER,CAN
USA,CAN
NOR,NOR
NOR,NOR
NOR,NOR
CAN,USA
CAN,NOR
USA,NOR
AUT,GER
AUT,SUI
GER,SUI
SLO,AUT
SLO,ITA
AUT,ITA
NOR,GER
NOR,USA
GER,USA
RUS,RUS
RUS,GER
RUS,GER
GER,RUS
GER,GER
RUS,GER
FRA,GER
FRA,RUS
GER,RUS
GER,GER
GER,SUI
GER,SUI
ITA,SUI
ITA,SUI
SUI,SUI
ITA,NOR
ITA,KAZ
NOR,KAZ
FIN,NOR
FIN,NOR
NOR,NOR
FIN,ITA
FIN,NOR
ITA,NOR
NOR,KAZ
NOR,FIN
KAZ,FIN
ITA,NOR
ITA,KAZ
NOR,KAZ
GBR,RUS
GBR,RUS
RUS,RUS
FRA,RUS
FRA,CAN
RUS,CAN
CAN,RUS
CAN,RUS
RUS,RUS
CAN,SUI
CAN,CAN
SUI,CAN
FRA,CAN
FRA,RUS
CAN,RUS
FIN,SWE
FIN,CAN
SWE,CAN
GER,ITA
GER,ITA
ITA,ITA
ITA,GER
ITA,AUT
GER,AUT
SUI,JPN
SUI,NOR
JPN,NOR
NOR,NOR
NOR,JPN
NOR,JPN
CAN,KOR
CAN,KOR
KOR,KOR
AUS,ITA
AUS,USA
ITA,USA
GBR,KOR
GBR,ITA
KOR,ITA
AUT,GER
AUT,NOR
GER,NOR
AUT,GER
AUT,JPN
GER,JPN
GER,NOR
GER,NOR
NOR,NOR
NED,NOR
NED,NOR
NOR,NOR
RUS,USA
RUS,BLR
USA,BLR
NED,NOR
NED,NED
NOR,NED
NED,NOR
NED,NOR
NOR,NOR
JPN,RUS
JPN,RUS
RUS,RUS
