Source,Target
KOR,USA
KOR,SWE
USA,SWE
ITA,USA
ITA,KOR
USA,KOR
MAR,ETH
MAR,KEN
ETH,KEN
TTO,CAN
TTO,NAM
CAN,NAM
GER,USA
GER,USA
USA,USA
KEN,ALG
KEN,ESP
ALG,ESP
TTO,USA
TTO,NAM
USA,NAM
MEX,ECU
MEX,RUS
ECU,RUS
ITA,KEN
ITA,KEN
KEN,KEN
UGA,USA
UGA,GBR
USA,GBR
USA,USA
USA,ZAM
USA,ZAM
BRA,CAN
BRA,USA
CAN,USA
JAM,USA
JAM,GBR
USA,GBR
MAR,BDI
MAR,KEN
BDI,KEN
ESP,POL
ESP,RUS
POL,RUS
KEN,NOR
KEN,RSA
NOR,RSA
CZE,USA
CZE,GER
USA,GER
BLR,GER
BLR,BLR
GER,BLR
UKR,HUN
UKR,USA
HUN,USA
GBR,USA
GBR,POL
USA,POL
FIN,CZE
FIN,GBR
CZE,GBR
USA,USA
USA,JAM
USA,JAM
KEN,RSA
KEN,KOR
RSA,KOR
GER,FRA
GER,RUS
FRA,RUS
UKR,USA
UKR,USA
USA,USA
CUB,USA
CUB,GBR
USA,GBR
INA,CHN
INA,INA
INA,KOR
INA,MAS
INA,KOR
CHN,INA
CHN,KOR
CHN,MAS
CHN,KOR
INA,KOR
INA,MAS
INA,KOR
KOR,MAS
KOR,KOR
MAS,KOR
MAS,DEN
MAS,CHN
DEN,CHN
USA,CUB
USA,JPN
CUB,JPN
LTU,USA
LTU,YUG
USA,YUG
CAN,USA
CAN,USA
USA,USA
NGR,RUS
NGR,UKR
NGR,TGA
RUS,UKR
RUS,TGA
UKR,TGA
UKR,ESP
UKR,BUL
UKR,PHI
ESP,BUL
ESP,PHI
BUL,PHI
GER,RUS
GER,CUB
GER,KAZ
RUS,CUB
RUS,KAZ
CUB,KAZ
THA,RUS
THA,HUN
THA,CUB
RUS,HUN
RUS,CUB
HUN,CUB
ARG,USA
ARG,THA
ARG,BUL
USA,THA
USA,BUL
THA,BUL
USA,ROU
USA,ALG
USA,BUL
ROU,ALG
ROU,BUL
ALG,BUL
TUN,KAZ
TUN,CUB
TUN,GER
KAZ,CUB
KAZ,GER
CUB,GER
PUR,ROU
PUR,RUS
PUR,CUB
ROU,RUS
ROU,CUB
RUS,CUB
KAZ,UZB
KAZ,USA
KAZ,CUB
UZB,USA
UZB,CUB
USA,CUB
ALG,USA
ALG,CUB
ALG,TUR
USA,CUB
USA,TUR
CUB,TUR
USA,GER
USA,KAZ
USA,KOR
GER,KAZ
GER,KOR
KAZ,KOR
USA,GER
USA,CUB
USA,CAN
GER,CUB
GER,CAN
CUB,CAN
FRA,SVK
FRA,CZE
SVK,CZE
GER,FRA
GER,CZE
FRA,CZE
GER,GER
GER,SLO
GER,SLO
HUN,CZE
HUN,LAT
CZE,LAT
HUN,CZE
HUN,SVK
CZE,SVK
HUN,GER
HUN,ROU
GER,ROU
ROU,HUN
ROU,MDA
HUN,MDA
AUS,NOR
AUS,ITA
NOR,ITA
POL,ITA
POL,NOR
ITA,NOR
BUL,ITA
BUL,GER
ITA,GER
AUS,GER
AUS,ITA
GER,ITA
RUS,GER
RUS,HUN
GER,HUN
GBR,SUI
GBR,DEN
SUI,DEN
GBR,ESP
GBR,ESP
ESP,ESP
JPN,FRA
JPN,USA
FRA,USA
AUS,ITA
AUS,FRA
ITA,FRA
AUS,ITA
AUS,CAN
ITA,CAN
CAN,GER
CAN,USA
GER,USA
AUS,FRA
AUS,RUS
FRA,RUS
CHN,RUS
CHN,GER
RUS,GER
USA,CHN
USA,CHN
CHN,CHN
USA,GER
USA,NED
GER,NED
NZL,AUS
NZL,USA
AUS,USA
CUB,RUS
CUB,POL
RUS,POL
FRA,ITA
FRA,FRA
ITA,FRA
ITA,RUS
ITA,HUN
RUS,HUN
FRA,RUS
FRA,RUS
RUS,RUS
FRA,ITA
FRA,RUS
ITA,RUS
HUN,RUS
HUN,CUB
RUS,CUB
