Source,Target
GER,GER
GER,GER
GER,GER
FRA,GER
FRA,SWE
GER,SWE
GER,ITA
GER,AUT
ITA,AUT
AUS,GER
AUS,ITA
GER,ITA
AUT,USA
AUT,AUT
USA,AUT
GER,BUL
GER,UKR
BUL,UKR
NOR,GER
NOR,RUS
GER,RUS
GER,RUS
GER,GER
RUS,GER
NOR,RUS
NOR,RUS
RUS,RUS
RUS,RUS
RUS,ITA
RUS,ITA
ITA,RUS
ITA,NOR
RUS,NOR
NOR,RUS
NOR,CZE
RUS,CZE
CZE,RUS
CZE,RUS
RUS,RUS
SWE,CAN
SWE,DEN
CAN,DEN
FRA,RUS
FRA,RUS
RUS,RUS
CHN,USA
CHN,USA
USA,USA
GER,RUS
GER,RUS
RUS,RUS
SUI,USA
SUI,CHN
USA,CHN
NOR,JPN
NOR,GER
JPN,GER
FIN,USA
FIN,CAN
USA,CAN
AUT,GER
AUT,GER
GER,GER
KOR,KOR
KOR,CHN
KOR,CHN
CAN,KOR
CAN,CHN
KOR,CHN
KOR,CAN
KOR,CHN
CAN,CHN
USA,GER
USA,NOR
GER,NOR
AUT,FRA
AUT,GER
FRA,GER
CAN,NED
CAN,USA
NED,USA
USA,NED
USA,GER
NED,GER
GER,GER
GER,GER
GER,GER
KAZ,GER
KAZ,GER
GER,GER
JPN,CAN
JPN,CAN
CAN,CAN
AUT,AUT
AUT,NOR
AUT,NOR
AUT,FRA
AUT,NOR
FRA,NOR
SUI,AUT
SUI,AUT
AUT,AUT
AUT,NOR
AUT,NOR
NOR,NOR
AUT,AUT
AUT,SUI
AUT,SUI
FIN,NOR
FIN,NOR
NOR,NOR
BLR,NOR
BLR,ITA
NOR,ITA
RUS,GER
RUS,NOR
GER,NOR
FRA,GBR
FRA,GER
FRA,SUI
GBR,GER
GBR,SUI
GER,SUI
GER,CAN
GER,ITA
CAN,ITA
FIN,NOR
FIN,AUT
NOR,AUT
ITA,FIN
ITA,NOR
FIN,NOR
FIN,NOR
FIN,ITA
NOR,ITA
AUT,NOR
AUT,SWE
NOR,SWE
KAZ,NOR
KAZ,NOR
NOR,NOR
NOR,SUI
NOR,CAN
SUI,CAN
FRA,RUS
FRA,RUS
RUS,RUS
FRA,RUS
FRA,CAN
RUS,CAN
GER,RUS
GER,RUS
RUS,RUS
BLR,USA
BLR,FRA
USA,FRA
FIN,USA
FIN,FIN
USA,FIN
FIN,CZE
FIN,RUS
CZE,RUS
USA,GER
USA,USA
GER,USA
GER,GER
GER,ITA
GER,ITA
FRA,NOR
FRA,FIN
NOR,FIN
RUS,NOR
RUS,FIN
NOR,FIN
CAN,KOR
CAN,CHN
KOR,CHN
CHN,CAN
CHN,KOR
CAN,KOR
JPN,JPN
JPN,CHN
JPN,CHN
JPN,JPN
JPN,FIN
JPN,FIN
AUT,JPN
AUT,GER
JPN,GER
AUT,FIN
AUT,JPN
FIN,JPN
USA,SUI
USA,NOR
SUI,NOR
SUI,CAN
SUI,ITA
CAN,ITA
NED,NED
NED,NED
NED,NED
JPN,NED
JPN,NED
NED,NED
NED,NOR
NED,NED
NOR,NED
BEL,NED
BEL,NED
NED,NED
CAN,JPN
CAN,CAN
JPN,CAN
