Source,Target
NED,AUS
NED,USA
AUS,USA
USA,KOR
USA,ITA
KOR,ITA
ETH,ETH
ETH,KEN
ETH,KEN
BAR,USA
BAR,TTO
USA,TTO
USA,CUB
USA,USA
CUB,USA
KEN,KEN
KEN,MAR
KEN,MAR
TTO,GRE
TTO,GBR
GRE,GBR
RUS,POL
RUS,MEX
POL,MEX
MAR,KEN
MAR,KEN
KEN,KEN
JAM,USA
JAM,USA
USA,USA
RSA,USA
RSA,KSA
USA,KSA
CUB,USA
CUB,BRA
USA,BRA
BAH,NGR
BAH,JAM
NGR,JAM
MAR,ETH
MAR,ALG
ETH,ALG
MEX,POL
MEX,LAT
POL,LAT
ALG,GER
ALG,DEN
GER,DEN
USA,EST
USA,CZE
EST,CZE
RSA,LTU
RSA,GER
LTU,GER
BLR,POL
BLR,ITA
POL,ITA
ALG,RUS
ALG,CUB
RUS,CUB
RUS,CZE
RUS,GBR
CZE,GBR
UKR,CUB
UKR,AUS
CUB,AUS
ETH,KEN
ETH,ETH
ETH,KEN
KEN,ETH
KEN,KEN
ETH,KEN
RUS,USA
RUS,USA
USA,USA
USA,FIN
USA,USA
FIN,USA
RUS,GBR
RUS,CUB
GBR,CUB
KOR,GBR
KOR,INA
KOR,CHN
KOR,KOR
KOR,INA
GBR,INA
GBR,CHN
GBR,KOR
GBR,INA
INA,CHN
INA,KOR
INA,INA
CHN,KOR
CHN,INA
KOR,INA
CHN,CHN
CHN,INA
CHN,INA
KOR,USA
KOR,CUB
USA,CUB
LTU,USA
LTU,FRA
USA,FRA
GER,USA
GER,BRA
USA,BRA
UZB,ITA
UZB,GBR
UZB,KAZ
ITA,GBR
ITA,KAZ
GBR,KAZ
PRK,CUB
PRK,FRA
PRK,ESP
CUB,FRA
CUB,ESP
FRA,ESP
UKR,FRA
UKR,THA
UKR,KAZ
FRA,THA
FRA,KAZ
THA,KAZ
UKR,USA
UKR,CUB
UKR,RUS
USA,CUB
USA,RUS
CUB,RUS
RUS,MAR
