Source,Target
GER,CRO
GER,AUT
CRO,AUT
AUT,FRA
AUT,ITA
FRA,ITA
SUI,CRO
SUI,SWE
CRO,SWE
SWE,CRO
SWE,FRA
CRO,FRA
ITA,ITA
ITA,CRO
ITA,CRO
BUL,RUS
BUL,GER
RUS,GER
SWE,GER
SWE,NOR
GER,NOR
RUS,GER
RUS,NOR
GER,NOR
SWE,GER
SWE,GER
GER,GER
GER,USA
GER,GER
USA,GER
ITA,NOR
ITA,RUS
NOR,RUS
RUS,ITA
RUS,CZE
ITA,CZE
NOR,ITA
NOR,ITA
ITA,ITA
SUI,GER
SUI,NOR
GER,NOR
GER,CAN
GER,CZE
CAN,CZE
NOR,RUS
NOR,GER
RUS,GER
CAN,GBR
CAN,SUI
GBR,SUI
ITA,FRA
ITA,RUS
FRA,RUS
USA,USA
USA,RUS
USA,RUS
CHN,CAN
CHN,RUS
CAN,RUS
CAN,AUS
CAN,CAN
AUS,CAN
JPN,NOR
JPN,USA
NOR,USA
SWE,CAN
SWE,USA
CAN,USA
GER,GER
GER,GER
GER,GER
CHN,CHN
CHN,KOR
CHN,KOR
BUL,KOR
BUL,KOR
KOR,KOR
CAN,KOR
CAN,CHN
KOR,CHN
CHN,CHN
CHN,BUL
CHN,BUL
GBR,USA
GBR,USA
USA,USA
ITA,FRA
ITA,FRA
FRA,FRA
SUI,USA
SUI,FRA
USA,FRA
USA,USA
USA,GER
USA,GER
USA,GER
USA,GER
GER,GER
CAN,GER
CAN,NED
GER,NED
CAN,GER
CAN,NED
GER,NED
GER,CAN
GER,GER
CAN,GER
AUT,NOR
AUT,USA
NOR,USA
AUT,AUT
AUT,NOR
AUT,NOR
NOR,AUT
NOR,USA
AUT,USA
AUT,FRA
AUT,FRA
FRA,FRA
AUT,NOR
AUT,AUT
NOR,AUT
AUT,NOR
AUT,GER
NOR,GER
GER,NOR
GER,FRA
NOR,FRA
RUS,NOR
RUS,GER
NOR,GER
FRA,NOR
FRA,GER
NOR,GER
USA,GER
USA,USA
GER,USA
SUI,GER
SUI,SUI
GER,SUI
SWE,NOR
EST,EST
EST,NOR
EST,NOR
NOR,AUT
NOR,AUT
AUT,AUT
GER,NOR
GER,ITA
NOR,ITA
NOR,RUS
NOR,EST
RUS,EST
ITA,NOR
ITA,GER
NOR,GER
SUI,NOR
SUI,CAN
NOR,CAN
ITA,FRA
ITA,RUS
FRA,RUS
USA,RUS
USA,RUS
RUS,RUS
CHN,CAN
CHN,RUS
CAN,RUS
BLR,CZE
BLR,USA
CZE,USA
FRA,FIN
FRA,USA
FIN,USA
RUS,CAN
RUS,USA
CAN,USA
USA,GER
USA,USA
GER,USA
AUT,ITA
AUT,GER
ITA,GER
AUT,FIN
AUT,GER
FIN,GER
AUT,FIN
AUT,FIN
FIN,FIN
AUT,FIN
AUT,GER
FIN,GER
CAN,AUS
CAN,USA
AUS,USA
CAN,USA
CAN,CHN
USA,CHN
CHN,CAN
CHN,ITA
CAN,ITA
USA,CAN
USA,CAN
CAN,CAN
SUI,USA
SUI,AUT
USA,AUT
FIN,SUI
FIN,POL
SUI,POL
SLO,GER
SLO,FIN
GER,FIN
POL,SUI
POL,GER
SUI,GER
USA,SUI
USA,SWE
SUI,SWE
USA,USA
USA,USA
USA,USA
NOR,NED
NOR,NED
NED,NED
USA,NED
USA,NED
NED,NED
NOR,USA
NOR,NED
USA,NED
GER,NED
GER,USA
NED,USA
USA,USA
USA,JPN
USA,JPN
