Source,Target
AUS,ITA
AUS,JPN
ITA,JPN
UKR,KOR
UKR,TPE
KOR,TPE
ERI,ETH
ERI,ETH
ETH,ETH
USA,USA
USA,POR
USA,POR
CUB,CHN
CUB,USA
CHN,USA
POR,MAR
POR,KEN
MAR,KEN
USA,USA
USA,USA
USA,USA
AUS,ITA
AUS,ESP
ITA,ESP
KEN,KEN
KEN,KEN
KEN,KEN
USA,USA
USA,USA
USA,USA
FRA,DOM
FRA,JAM
DOM,JAM
NGR,GBR
NGR,USA
GBR,USA
NGR,USA
NGR,AUS
USA,AUS
KEN,MAR
KEN,ETH
MAR,ETH
RUS,POL
RUS,RUS
POL,RUS
DEN,RUS
DEN,RSA
RUS,RSA
KAZ,CZE
KAZ,USA
CZE,USA
EST,LTU
EST,HUN
LTU,HUN
TUR,JPN
CZE,SWE
CZE,USA
SWE,USA
RUS,NOR
RUS,LAT
NOR,LAT
ESP,USA
ESP,USA
USA,USA
BRA,ITA
BRA,USA
ITA,USA
ITA,USA
ITA,USA
USA,USA
ESP,USA
ESP,DEN
USA,DEN
RUS,SWE
RUS,ROU
SWE,ROU
INA,DEN
INA,KOR
INA,CHN
INA,KOR
INA,GBR
DEN,KOR
DEN,CHN
DEN,KOR
DEN,GBR
KOR,CHN
KOR,KOR
KOR,GBR
CHN,KOR
CHN,GBR
KOR,GBR
INA,INA
INA,KOR
INA,KOR
JPN,CUB
JPN,AUS
CUB,AUS
USA,ARG
USA,ITA
ARG,ITA
SUI,BRA
SUI,ESP
BRA,ESP
ITA,CUB
ITA,RUS
ITA,EGY
CUB,RUS
CUB,EGY
RUS,EGY
RUS,CHN
RUS,CUB
RUS,TUR
CHN,CUB
CHN,TUR
CUB,TUR
AZE,GER
AZE,CUB
AZE,FRA
GER,CUB
GER,FRA
CUB,FRA
AZE,UZB
AZE,CUB
AZE,THA
UZB,CUB
UZB,THA
CUB,THA
KOR,GER
KOR,RUS
KOR,PRK
GER,RUS
GER,PRK
RUS,PRK
RUS,KAZ
RUS,CUB
RUS,GBR
KAZ,CUB
KAZ,GBR
CUB,GBR
BUL,ROU
BUL,THA
BUL,CUB
ROU,THA
ROU,CUB
THA,CUB
KOR,RUS
KOR,KAZ
KOR,CUB
RUS,KAZ
RUS,CUB
KAZ,CUB
USA,THA
USA,RUS
USA,KAZ
THA,RUS
THA,KAZ
RUS,KAZ
UZB,EGY
UZB,USA
UZB,BLR
EGY,USA
EGY,BLR
USA,BLR
SYR,EGY
SYR,CUB
SYR,BLR
EGY,CUB
EGY,BLR
CUB,BLR
GER,FRA
GER,SVK
FRA,SVK
CZE,SVK
CZE,GER
SVK,GER
FRA,FRA
FRA,GBR
FRA,GBR
HUN,ESP
HUN,GER
ESP,GER
RUS,GER
RUS,ESP
GER,ESP
HUN,GER
HUN,RUS
GER,RUS
RUS,CHN
RUS,CUB
CHN,CUB
CAN,NOR
CAN,NZL
NOR,NZL
GBR,CAN
GBR,AUS
CAN,AUS
NOR,SWE
NOR,ITA
SWE,ITA
BLR,GER
BLR,AUS
GER,AUS
SVK,HUN
SVK,GER
HUN,GER
BEL,ITA
BEL,POR
ITA,POR
AUS,RUS
AUS,USA
RUS,USA
GER,GBR
GER,FRA
GBR,FRA
ESP,GBR
ESP,AUS
GBR,AUS
AUS,AUS
AUS,ESP
AUS,ESP
GBR,AUS
GBR,SUI
AUS,SUI
GER,RUS
GER,ESP
RUS,ESP
GER,AUS
GER,NED
AUS,NED
ESP,AUS
ESP,GBR
AUS,GBR
FRA,GER
FRA,JPN
GER,JPN
CHN,CHN
CHN,AUS
CHN,AUS
RUS,CHN
RUS,CAN
CHN,CAN
AUS,CHN
AUS,GBR
CHN,GBR
AUS,GRE
AUS,GER
GRE,GER
USA,GER
USA,ESP
GER,ESP
USA,FRA
USA,GBR
FRA,GBR
RUS,ITA
RUS,CHN
ITA,CHN
ITA,FRA
ITA,ITA
FRA,ITA
RUS,FRA
RUS,ITA
FRA,ITA
UKR,ITA
UKR,HUN
ITA,HUN
GER,FRA
GER,HUN
FRA,HUN
RUS,SUI
RUS,CHN
SUI,CHN
ITA,ARG
ITA,PAR
ARG,PAR
ROU,JPN
ROU,USA
JPN,USA
BUL,CAN
BUL,ROU
CAN,ROU
JPN,ITA
JPN,USA
ITA,USA
KOR,USA
KOR,KOR
USA,KOR
CHN,UKR
CHN,JPN
UKR,JPN
JPN,CHN
JPN,ROU
CHN,ROU
ITA,GRE
ITA,BUL
GRE,BUL
ROU,ESP
ROU,LAT
ESP,LAT
RUS,CRO
RUS,GER
CRO,GER
GER,AUS
GER,NED
AUS,NED
EST,NED
EST,JPN
EST,RUS
NED,JPN
NED,RUS
JPN,RUS
KOR,MGL
KOR,JPN
KOR,GEO
MGL,JPN
MGL,GEO
JPN,GEO
CUB,BUL
CUB,JPN
CUB,SVK
BUL,JPN
BUL,SVK
JPN,SVK
BRA,USA
BRA,KOR
BRA,RUS
USA,KOR
USA,RUS
KOR,RUS
BRA,RUS
BRA,GRE
BRA,UKR
RUS,GRE
