Source,Target
SWE,CRO
SWE,AUT
CRO,AUT
SWE,AUT
SWE,SUI
AUT,SUI
SWE,USA
SWE,FIN
USA,FIN
AUT,SWE
AUT,AUT
SWE,AUT
AUT,AUT
AUT,CRO
AUT,CRO
RUS,GER
RUS,GER
GER,GER
GER,SWE
GER,GER
SWE,GER
RUS,RUS
RUS,GER
RUS,GER
FRA,RUS
FRA,GER
RUS,GER
UKR,FRA
UKR,SWE
FRA,SWE
ITA,GER
ITA,USA
GER,USA
NOR,EST
NOR,NOR
EST,NOR
POL,CZE
POL,RUS
CZE,RUS
ITA,RUS
ITA,GER
RUS,GER
RUS,EST
RUS,CZE
EST,CZE
FIN,SWE
FIN,CAN
SWE,CAN
RUS,CAN
RUS,GER
CAN,GER
CAN,SWE
CAN,SUI
SWE,SUI
UKR,RUS
UKR,USA
RUS,USA
RUS,JPN
RUS,USA
JPN,USA
CHN,RUS
CHN,CHN
RUS,CHN
AUS,SUI
AUS,CHN
SUI,CHN
FRA,CAN
FRA,NOR
CAN,NOR
USA,CAN
USA,SWE
CAN,SWE
GER,GER
GER,GER
GER,GER
CHN,KOR
CHN,CHN
KOR,CHN
CHN,KOR
CHN,KOR
KOR,KOR
ITA,KOR
ITA,CAN
KOR,CAN
CAN,CHN
CAN,BUL
CHN,BUL
CAN,SUI
CAN,GBR
SUI,GBR
USA,SUI
USA,GER
SUI,GER
NOR,USA
NOR,USA
USA,USA
CAN,SUI
CAN,USA
SUI,USA
GER,NED
GER,CAN
NED,CAN
NED,CAN
NED,CAN
CAN,CAN
CAN,NED
CAN,NED
NED,NED
CAN,CAN
CAN,GER
CAN,GER
CHN,RUS
CHN,CHN
RUS,CHN
RUS,GER
RUS,CAN
GER,CAN
AUT,USA
AUT,CRO
USA,CRO
SUI,FRA
SUI,AUT
FRA,AUT
AUT,AUT
AUT,FRA
AUT,FRA
AUT,AUT
AUT,AUT
AUT,AUT
SUI,NOR
SUI,AUT
NOR,AUT
NOR,GER
NOR,NOR
GER,NOR
GER,FRA
GER,NOR
FRA,NOR
NOR,GER
NOR,POL
GER,POL
NOR,GER
NOR,NOR
GER,NOR
FRA,GER
FRA,RUS
GER,RUS
SUI,GER
SUI,RUS
GER,RUS
SUI,GER
SUI,CAN
GER,CAN
GER,EST
GER,CZE
EST,CZE
SWE,ITA
SWE,GER
ITA,GER
AUT,ITA
AUT,RUS
ITA,RUS
ITA,RUS
ITA,NOR
RUS,NOR
SWE,SWE
SWE,FRA
SWE,FRA
RUS,SWE
RUS,NOR
SWE,NOR
USA,CAN
USA,FIN
CAN,FIN
UKR,RUS
UKR,USA
RUS,USA
CAN,RUS
CAN,SUI
RUS,SUI
CHN,RUS
CHN,CHN
RUS,CHN
RUS,CHN
RUS,BLR
CHN,BLR
USA,AUS
USA,FIN
AUS,FIN
CZE,SWE
CZE,FIN
SWE,FIN
ITA,AUT
ITA,GER
AUT,GER
LAT,ITA
LAT,RUS
ITA,RUS
NOR,GER
NOR,AUT
GER,AUT
GER,AUT
GER,NOR
AUT,NOR
FIN,AUT
FIN,GER
AUT,GER
USA,KOR
USA,KOR
KOR,KOR
CHN,KOR
CHN,KOR
KOR,KOR
USA,KOR
USA,CAN
KOR,CAN
KOR,USA
KOR,CAN
USA,CAN
SUI,CAN
SUI,CAN
CAN,CAN
NOR,AUT
NOR,AUT
AUT,AUT
NOR,AUT
NOR,FIN
AUT,FIN
NOR,NOR
NOR,FIN
NOR,FIN
AUT,SUI
AUT,SUI
SUI,SUI
FIN,USA
FIN,USA
USA,USA
FRA,USA
FRA,SVK
USA,SVK
NED,NED
NED,USA
NED,USA
NED,USA
NED,USA
USA,USA
USA,ITA
USA,USA
ITA,USA
ITA,USA
ITA,NED
USA,NED
KOR,USA
KOR,RUS
USA,RUS
NED,ITA
NED,CAN
ITA,CAN
