Source,Target
RUS,UKR
RUS,KOR
UKR,KOR
CHN,KOR
CHN,ITA
KOR,ITA
KEN,ETH
KEN,ETH
ETH,ETH
USA,JAM
USA,TTO
JAM,TTO
USA,CUB
USA,USA
CUB,USA
FRA,KEN
FRA,NZL
KEN,NZL
USA,JAM
USA,USA
JAM,USA
AUS,RUS
AUS,ECU
RUS,ECU
KEN,KEN
KEN,FRA
KEN,FRA
USA,USA
USA,USA
USA,USA
USA,USA
USA,USA
USA,USA
JPN,TTO
GBR,USA
GBR,BAH
USA,BAH
KEN,ETH
KEN,KEN
ETH,KEN
RUS,ITA
RUS,AUS
ITA,AUS
KEN,KEN
KEN,SUD
KEN,SUD
CUB,USA
CUB,BLR
USA,BLR
LTU,EST
LTU,POL
EST,POL
BLR,SLO
BLR,BLR
SLO,BLR
RUS,RUS
RUS,GBR
RUS,GBR
FIN,NOR
FIN,LAT
NOR,LAT
CUB,PAN
CUB,RSA
PAN,RSA
ETH,KEN
ETH,MAR
KEN,MAR
USA,AUS
USA,RUS
AUS,RUS
CAN,POL
CAN,USA
POL,USA
BAH,POR
BAH,GBR
POR,GBR
KOR,CHN
KOR,INA
KOR,KOR
KOR,CHN
KOR,INA
CHN,INA
CHN,KOR
CHN,CHN
CHN,INA
INA,KOR
INA,CHN
INA,INA
KOR,CHN
KOR,INA
CHN,INA
CHN,CHN
CHN,MAS
CHN,MAS
USA,KOR
USA,CUB
KOR,CUB
ARG,USA
ARG,ESP
USA,ESP
BRA,USA
BRA,BRA
USA,BRA
UKR,GBR
UKR,ITA
UKR,CHN
GBR,ITA
GBR,CHN
ITA,CHN
IRL,CUB
IRL,CHN
IRL,MGL
CUB,CHN
CUB,MGL
CHN,MGL
RUS,ITA
RUS,THA
RUS,CUB
ITA,THA
ITA,CUB
THA,CUB
MDA,MRI
MDA,MGL
MDA,CUB
MRI,MGL
MRI,CUB
MGL,CUB
AZE,TUR
AZE,UKR
AZE,FRA
TUR,UKR
TUR,FRA
UKR,FRA
ARM,CUB
ARM,RUS
ARM,FRA
CUB,RUS
CUB,FRA
RUS,FRA
CUB,FRA
CUB,DOM
CUB,THA
FRA,DOM
FRA,THA
DOM,THA
CHN,KOR
CHN,KAZ
CHN,CUB
KOR,KAZ
KOR,CUB
KAZ,CUB
IND,IRL
IND,GBR
IND,CUB
IRL,GBR
IRL,CUB
GBR,CUB
GBR,KAZ
GBR,CHN
GBR,IRL
KAZ,CHN
KAZ,IRL
CHN,IRL
CUB,USA
CUB,RUS
CUB,ITA
USA,RUS
USA,ITA
RUS,ITA
AUS,SVK
AUS,GBR
SVK,GBR
RUS,SVK
RUS,CZE
SVK,CZE
TOG,GER
TOG,FRA
GER,FRA
CAN,HUN
CAN,ESP
HUN,ESP
UKR,RUS
UKR,ESP
RUS,ESP
HUN,BLR
HUN,GER
BLR,GER
GER,CHN
GER,RUS
CHN,RUS
AUS,GBR
AUS,NOR
GBR,NOR
GBR,AUS
GBR,CAN
AUS,CAN
ITA,GER
ITA,DEN
GER,DEN
BLR,ESP
BLR,GER
ESP,GER
GER,BLR
GER,SVK
BLR,SVK
USA,LAT
USA,USA
LAT,USA
RUS,ESP
RUS,SUI
ESP,SUI
USA,SUI
USA,SWE
SUI,SWE
GBR,GBR
GBR,NZL
GBR,NZL
JPN,GBR
JPN,GBR
GBR,GBR
RUS,ARG
RUS,ESP
ARG,ESP
GBR,ESP
GBR,GER
ESP,GER
FRA,GBR
FRA,GBR
GBR,GBR
NZL,GBR
NZL,DEN
GBR,DEN
GER,GBR
GER,FRA
GBR,FRA
RUS,AUS
RUS,CHN
AUS,CHN
CHN,CHN
CHN,CAN
CHN,CAN
RUS,CHN
RUS,GER
CHN,GER
UKR,CHN
UKR,RUS
CHN,RUS
DEN,NED
GBR,GER
GBR,AUS
GER,AUS
ITA,GER
ITA,JPN
GER,JPN
ITA,FRA
ITA,USA
FRA,USA
ROU,CHN
ROU,FRA
CHN,FRA
ITA,FRA
ITA,POL
FRA,POL
ESP,ITA
ESP,FRA
ITA,FRA
BRA,ARG
BRA,NGR
ARG,NGR
USA,CHN
USA,JPN
CHN,JPN
RUS,CHN
RUS,ESP
CHN,ESP
GER,CHN
GER,USA
CHN,USA
FRA,CHN
FRA,JPN
CHN,JPN
UZB,CHN
UZB,KOR
CHN,KOR
GBR,CHN
GBR,CRO
CHN,CRO
UKR,CHN
UKR,CHN
CHN,CHN
RUS,POL
RUS,FRA
POL,FRA
ESP,FRA
ESP,ISL
FRA,ISL
AUS,GER
AUS,ESP
GER,ESP
CUB,FRA
CUB,JPN
CUB,UZB
FRA,JPN
FRA,UZB
JPN,UZB
NED,UZB
NED,KOR
NED,AUT
UZB,KOR
UZB,AUT
