Source,Target
SWE,GER
SWE,USA
GER,USA
AUT,USA
AUT,USA
USA,USA
AUT,GER
AUT,SLO
GER,SLO
CZE,GER
CZE,AUT
GER,AUT
USA,AUT
USA,SLO
AUT,SLO
FRA,GER
FRA,SVK
GER,SVK
GER,GER
GER,RUS
GER,RUS
BLR,NOR
BLR,KAZ
NOR,KAZ
GER,RUS
GER,FRA
RUS,FRA
FRA,SVK
FRA,GER
SVK,GER
USA,CAN
USA,CAN
CAN,CAN
NOR,SWE
NOR,EST
SWE,EST
FIN,POL
FIN,NOR
POL,NOR
FIN,NOR
FIN,GER
NOR,GER
POL,NOR
POL,SWE
NOR,SWE
RUS,GER
RUS,SWE
GER,SWE
SLO,NOR
SLO,POL
NOR,POL
CHN,SWE
CHN,CAN
SWE,CAN
RUS,CAN
RUS,USA
CAN,USA
CAN,KOR
CAN,JPN
KOR,JPN
GER,CHN
GER,CHN
CHN,CHN
FRA,CAN
FRA,NOR
CAN,NOR
CHN,AUS
CHN,CHN
AUS,CHN
USA,USA
USA,CAN
USA,CAN
FIN,CAN
FIN,USA
CAN,USA
GER,GER
GER,AUT
GER,AUT
KOR,CHN
KOR,USA
CHN,USA
KOR,CHN
KOR,KOR
CHN,KOR
USA,CHN
USA,CAN
CHN,CAN
ITA,CHN
ITA,CAN
CHN,CAN
GER,GBR
GER,GER
GBR,GER
AUT,NED
AUT,RUS
NED,RUS
USA,AUS
USA,USA
AUS,USA
SUI,CAN
SUI,FRA
CAN,FRA
NED,CAN
NED,NED
CAN,NED
CZE,NED
CZE,CAN
NED,CAN
CAN,CZE
CAN,GER
CZE,GER
CAN,CZE
CAN,GER
CZE,GER
CHN,KOR
CHN,GER
KOR,GER
POL,GER
POL,JPN
GER,JPN
SUI,USA
SUI,CRO
USA,CRO
USA,SUI
USA,NOR
SUI,NOR
NOR,SUI
NOR,NOR
SUI,NOR
SWE,ITA
SWE,CRO
ITA,CRO
USA,NOR
USA,USA
NOR,USA
CRO,FRA
CRO,NOR
FRA,NOR
FRA,SWE
FRA,AUT
SWE,AUT
SVK,RUS
SVK,FRA
RUS,FRA
NOR,BLR
NOR,NOR
BLR,NOR
RUS,NOR
RUS,AUT
NOR,AUT
CAN,USA
CAN,GER
USA,GER
RUS,GER
RUS,GER
GER,GER
CZE,SUI
CZE,ITA
SUI,ITA
CZE,SWE
CZE,NOR
SWE,NOR
SWE,NOR
SWE,GER
NOR,GER
SWE,SWE
SWE,GER
SWE,GER
NOR,RUS
NOR,RUS
RUS,RUS
RUS,NOR
RUS,GER
NOR,GER
SUI,CAN
SUI,NOR
CAN,NOR
RUS,CAN
RUS,USA
CAN,USA
JPN,USA
JPN,RUS
USA,RUS
GER,CHN
GER,CHN
CHN,CHN
NOR,SUI
NOR,AUT
SUI,AUT
CHN,BLR
CHN,USA
BLR,USA
USA,CAN
USA,AUS
CAN,AUS
FIN,CAN
FIN,USA
CAN,USA
GER,AUT
GER,LAT
AUT,LAT
ITA,GER
ITA,GER
GER,GER
AUT,USA
AUT,USA
USA,USA
GER,AUT
GER,USA
AUT,USA
ITA,FRA
ITA,USA
FRA,USA
USA,KOR
USA,KOR
KOR,KOR
USA,KOR
USA,USA
KOR,USA
USA,CAN
USA,KOR
CAN,KOR
CAN,CAN
CAN,KOR
CAN,KOR
RUS,CAN
RUS,LAT
CAN,LAT
AUT,SUI
AUT,POL
SUI,POL
NOR,AUT
NOR,GER
AUT,GER
AUT,SUI
AUT,POL
SUI,POL
FRA,CAN
FRA,AUT
CAN,AUT
USA,USA
USA,FIN
USA,FIN
FRA,USA
FRA,CAN
USA,CAN
NED,KOR
NED,RUS
KOR,RUS
USA,USA
USA,KOR
USA,KOR
NOR,NED
NOR,USA
NED,USA
RUS,NED
RUS,KOR
NED,KOR
JPN,KOR
JPN,JPN
KOR,JPN
NED,CAN
NED,USA
CAN,USA
