Source,Target
CHN,KOR
CHN,JPN
KOR,JPN
KOR,ITA
KOR,USA
ITA,USA
ETH,GBR
ETH,USA
GBR,USA
USA,JAM
USA,JAM
JAM,JAM
JAM,USA
JAM,USA
USA,USA
MAR,ALG
MAR,USA
ALG,USA
JAM,JAM
JAM,JAM
JAM,JAM
CHN,CHN
CHN,GUA
CHN,GUA
KEN,KEN
KEN,FRA
KEN,FRA
TTO,GRN
TTO,DOM
GRN,DOM
PUR,DOM
PUR,USA
DOM,USA
FRA,JAM
FRA,TTO
JAM,TTO
TTO,BAH
TTO,USA
BAH,USA
KEN,GBR
KEN,ETH
GBR,ETH
IRL,AUS
IRL,CHN
AUS,CHN
KEN,KEN
KEN,BOT
KEN,BOT
CUB,USA
CUB,USA
USA,USA
EST,GER
EST,IRI
GER,IRI
JPN,HUN
JPN,SLO
HUN,SLO
QAT,CAN
QAT,GBR
QAT,RUS
QAT,USA
CAN,GBR
CAN,RUS
CAN,USA
GBR,RUS
GBR,USA
RUS,USA
CZE,TTO
CZE,FIN
TTO,FIN
USA,GBR
USA,AUS
GBR,AUS
KEN,UGA
KEN,KEN
UGA,KEN
GER,FRA
GER,GER
FRA,GER
USA,POL
USA,GER
POL,GER
ITA,USA
ITA,USA
USA,USA
KOR,DEN
KOR,CHN
KOR,DEN
KOR,CHN
DEN,CHN
DEN,DEN
DEN,CHN
CHN,DEN
CHN,CHN
DEN,CHN
CHN,CHN
CHN,MAS
CHN,MAS
RUS,USA
RUS,ESP
USA,ESP
LAT,GER
LAT,BRA
GER,BRA
KAZ,AZE
KAZ,GBR
KAZ,ITA
AZE,GBR
AZE,ITA
GBR,ITA
RUS,IRL
RUS,CHN
RUS,THA
IRL,CHN
IRL,THA
CHN,THA
RUS,IRL
RUS,CUB
RUS,MGL
IRL,CUB
IRL,MGL
CUB,MGL
CUB,JPN
CUB,GBR
CUB,IRL
JPN,GBR
JPN,IRL
GBR,IRL
LTU,CUB
LTU,UKR
LTU,KOR
CUB,UKR
CUB,KOR
UKR,KOR
ITA,MGL
ITA,CUB
ITA,UKR
MGL,CUB
MGL,UKR
CUB,UKR
UKR,RUS
UKR,KAZ
UKR,GBR
RUS,KAZ
RUS,GBR
KAZ,GBR
UZB,GBR
UZB,JPN
UZB,BRA
GBR,JPN
GBR,BRA
JPN,BRA
BRA,UKR
BRA,RUS
BRA,KAZ
UKR,RUS
UKR,KAZ
RUS,KAZ
AZE,BUL
AZE,UKR
AZE,ITA
BUL,UKR
BUL,ITA
UKR,ITA
SVK,FRA
SVK,GER
FRA,GER
SVK,GBR
SVK,GBR
GBR,GBR
GER,ITA
GER,CZE
ITA,CZE
CAN,GER
CAN,ESP
GER,ESP
RUS,UKR
RUS,LTU
UKR,LTU
RUS,GER
RUS,BLR
GER,BLR
GER,NOR
GER,CAN
NOR,CAN
CAN,GBR
CAN,ESP
GBR,ESP
GER,HUN
GER,POR
HUN,POR
GBR,RUS
GBR,BLR
RUS,BLR
CZE,AUS
CZE,HUN
AUS,HUN
COL,LAT
COL,AUS
