Source,Target
USA,GER
USA,AUT
GER,AUT
SUI,SLO
SUI,SUI
SLO,SUI
GER,SLO
GER,AUT
SLO,AUT
AUT,USA
AUT,AUT
USA,AUT
AUT,AUT
AUT,GER
AUT,GER
SLO,BLR
SLO,NOR
BLR,NOR
NOR,BLR
NOR,CZE
BLR,CZE
BLR,BLR
BLR,SUI
BLR,SUI
NOR,UKR
UKR,SVK
ITA,NOR
ITA,CZE
NOR,CZE
USA,CAN
USA,USA
CAN,USA
NOR,POL
NOR,SWE
POL,SWE
NOR,NOR
NOR,NOR
NOR,NOR
GER,SWE
GER,FIN
SWE,FIN
NOR,NOR
NOR,SWE
NOR,SWE
SWE,NOR
SWE,FIN
NOR,FIN
SLO,NOR
SLO,NOR
NOR,NOR
GBR,CAN
GBR,SWE
CAN,SWE
USA,RUS
USA,CAN
RUS,CAN
RUS,USA
RUS,CAN
USA,CAN
ITA,RUS
ITA,KOR
RUS,KOR
GER,RUS
GER,RUS
RUS,RUS
SWE,CAN
SWE,CAN
CAN,CAN
JPN,USA
JPN,FRA
USA,FRA
CAN,CAN
CAN,USA
CAN,USA
AUS,BLR
AUS,CHN
BLR,CHN
USA,CAN
USA,CAN
CAN,CAN
SUI,CAN
SUI,USA
CAN,USA
LAT,GER
LAT,RUS
GER,RUS
USA,GER
USA,GER
GER,GER
KOR,KOR
KOR,CHN
KOR,CHN
ITA,CHN
ITA,KOR
CHN,KOR
ITA,KOR
ITA,CAN
KOR,CAN
KOR,CHN
KOR,ITA
CHN,ITA
RUS,GBR
RUS,USA
GBR,USA
FRA,GER
FRA,AUT
GER,AUT
RUS,SUI
RUS,JPN
SUI,JPN
USA,USA
USA,AUS
USA,AUS
GBR,USA
GBR,FIN
USA,FIN
FRA,CZE
FRA,CAN
CZE,CAN
GER,AUT
GER,GER
AUT,GER
NED,CHN
NED,NED
CHN,NED
NED,NED
NED,NED
NED,NED
RUS,NED
RUS,CZE
NED,CZE
NED,CZE
NED,NED
CZE,NED
NED,KOR
NED,RUS
KOR,RUS
RUS,NED
RUS,POL
NED,POL
ITA,SUI
ITA,CRO
SUI,CRO
NOR,AUT
NOR,ITA
AUT,ITA
FRA,USA
FRA,FRA
USA,FRA
NOR,AUT
NOR,AUT
AUT,AUT
CAN,USA
CAN,NOR
CAN,USA
USA,NOR
USA,USA
NOR,USA
CZE,NOR
CZE,AUT
NOR,AUT
FRA,FRA
FRA,CZE
FRA,CZE
CZE,NOR
CZE,FRA
NOR,FRA
RUS,FRA
RUS,GER
FRA,GER
AUT,RUS
AUT,GER
RUS,GER
ITA,NOR
ITA,CZE
NOR,CZE
USA,LAT
USA,SUI
SWE,SUI
SWE,SWE
SUI,SWE
FRA,SWE
FRA,RUS
SWE,RUS
RUS,RUS
RUS,RUS
RUS,RUS
NOR,SUI
NOR,SWE
SUI,SWE
SWE,NOR
SWE,SWE
NOR,SWE
SWE,FIN
SWE,RUS
FIN,RUS
SWE,CAN
SWE,GBR
CAN,GBR
USA,RUS
USA,CAN
RUS,CAN
RUS,USA
RUS,CAN
USA,CAN
KAZ,JPN
KAZ,CAN
JPN,CAN
GER,RUS
GER,RUS
RUS,RUS
FRA,FRA
FRA,FRA
FRA,FRA
FRA,USA
FRA,CAN
USA,CAN
USA,USA
USA,USA
USA,USA
CHN,BLR
CHN,AUS
BLR,AUS
RUS,CAN
RUS,CAN
CAN,CAN
FIN,CAN
FIN,SWE
CAN,SWE
LAT,GER
LAT,RUS
GER,RUS
LAT,GER
LAT,AUT
GER,AUT
ITA,GER
ITA,RUS
GER,RUS
GER,NOR
GER,NOR
NOR,NOR
AUT,NOR
AUT,GER
NOR,GER
NOR,GER
NOR,JPN
GER,JPN
NED,RUS
NED,RUS
RUS,RUS
RUS,CAN
RUS,CHN
CAN,CHN
CHN,RUS
CHN,USA
RUS,USA
CAN,RUS
CAN,CHN
RUS,CHN
USA,RUS
USA,LAT
RUS,LAT
SLO,POL
SLO,JPN
POL,JPN
NOR,POL
NOR,SLO
POL,SLO
JPN,GER
JPN,AUT
GER,AUT
SLO,RUS
SLO,SUI
RUS,SUI
JPN,SUI
JPN,JPN
SUI,JPN
CAN,USA
CAN,NOR
USA,NOR
USA,FRA
USA,RUS
FRA,RUS
AUT,RUS
AUT,SLO
RUS,SLO
NED,NED
NED,NED
NED,NED
NED,NED
NED,CAN
NED,CAN
CAN,POL
CAN,NED
POL,NED
NED,NED
NED,NED
NED,NED
NED,NED
NED,NED
NED,NED
POL,NED
POL,KOR
NED,KOR
