Source,Target
USA,KOR
USA,FRA
KOR,FRA
AUS,KOR
AUS,USA
KOR,USA
ETH,GBR
ETH,KEN
GBR,KEN
CAN,JAM
CAN,USA
JAM,USA
FRA,JAM
FRA,ESP
JAM,ESP
NZL,USA
NZL,ALG
USA,ALG
FRA,JAM
FRA,CAN
JAM,CAN
AUS,CHN
AUS,CHN
CHN,CHN
FRA,KEN
FRA,USA
KEN,USA
USA,RSA
USA,GRN
RSA,GRN
TUR,USA
TUR,KEN
USA,KEN
CAN,JAM
CAN,JPN
JAM,JPN
BAH,USA
BAH,JAM
USA,JAM
ETH,GBR
ETH,USA
GBR,USA
JPN,SVK
JPN,AUS
SVK,AUS
USA,KEN
USA,ALG
KEN,ALG
CAN,USA
CAN,FRA
USA,FRA
GER,GER
GER,POL
GER,POL
POL,TJK
POL,BLR
TJK,BLR
UKR,CAN
UKR,QAT
CAN,QAT
TTO,GER
TTO,KEN
GER,KEN
GBR,USA
GBR,RSA
USA,RSA
USA,KEN
USA,ETH
KEN,ETH
USA,BRA
USA,FRA
BRA,FRA
NZL,USA
NZL,USA
USA,USA
CHN,USA
CHN,USA
USA,USA
GBR,CHN
GBR,CHN
GBR,INA
GBR,MAS
CHN,CHN
CHN,INA
CHN,MAS
CHN,INA
CHN,MAS
INA,MAS
DEN,CHN
DEN,MAS
CHN,MAS
ESP,USA
ESP,SRB
USA,SRB
NED,BRA
NED,ITA
BRA,ITA
CRO,KAZ
CRO,FRA
CRO,GBR
KAZ,FRA
KAZ,GBR
FRA,GBR
CUB,USA
CUB,UZB
CUB,COL
USA,UZB
USA,COL
UZB,COL
CHN,VEN
CHN,UZB
VEN,UZB
RUS,UZB
RUS,CUB
RUS,USA
UZB,CUB
UZB,USA
CUB,USA
CUB,MGL
CUB,BRA
CUB,FRA
MGL,BRA
MGL,FRA
BRA,FRA
GER,RUS
GER,UZB
GER,AZE
RUS,UZB
RUS,AZE
UZB,AZE
FRA,MAR
FRA,KAZ
FRA,UZB
MAR,KAZ
MAR,UZB
KAZ,UZB
AZE,MEX
AZE,CUB
AZE,UZB
MEX,CUB
MEX,UZB
CUB,UZB
FRA,GBR
FRA,CUB
FRA,KAZ
GBR,CUB
GBR,KAZ
CUB,KAZ
CUB,UZB
CUB,RUS
CUB,KAZ
UZB,RUS
UZB,KAZ
RUS,KAZ
JPN,FRA
JPN,SVK
FRA,SVK
FRA,SVK
FRA,GBR
SVK,GBR
CZE,GBR
CZE,SLO
GBR,SLO
MDA,GER
MDA,BRA
GER,BRA
BRA,UKR
BRA,AZE
UKR,AZE
UKR,GER
UKR,BRA
GER,BRA
RUS,ESP
RUS,CZE
ESP,CZE
ESP,GER
ESP,GBR
ESP,FRA
GER,GBR
GER,FRA
GBR,FRA
AUS,GER
AUS,SRB
GER,SRB
LTU,ESP
LTU,GBR
ESP,GBR
CZE,GER
