Source,Target
NOR,SUI
NOR,AUT
SUI,AUT
USA,ITA
USA,NOR
ITA,NOR
ITA,USA
ITA,NOR
USA,NOR
AUT,SWE
AUT,SUI
SWE,SUI
SUI,SUI
SUI,USA
SUI,USA
LIE,CZE
LIE,AUT
CZE,AUT
FRA,GER
FRA,SVK
GER,SVK
NOR,SVK
NOR,BLR
SVK,BLR
GER,SWE
GER,SVK
SWE,SVK
FRA,BLR
FRA,SWE
BLR,SWE
CZE,GER
CZE,NOR
GER,NOR
ITA,FRA
ITA,NOR
FRA,NOR
CAN,GER
CAN,USA
GER,USA
NOR,FIN
NOR,NOR
NOR,SWE
FIN,NOR
FIN,SWE
NOR,SWE
SWE,NOR
SWE,FIN
NOR,FIN
FIN,SWE
FIN,NOR
SWE,NOR
OAR,NOR
OAR,SWE
NOR,SWE
NOR,USA
NOR,SWE
USA,SWE
OAR,SWE
OAR,NOR
SWE,NOR
NOR,CAN
NOR,SUI
CAN,SUI
JPN,SWE
JPN,KOR
SWE,KOR
USA,CAN
USA,FRA
CAN,FRA
CAN,OAR
CAN,OAR
OAR,OAR
CAN,GER
CAN,CHN
GER,CHN
USA,CAN
USA,OAR
CAN,OAR
CHN,BLR
CHN,CHN
BLR,CHN
KAZ,FRA
KAZ,CAN
FRA,CAN
SUI,CAN
SUI,CAN
CAN,CAN
USA,CAN
USA,FRA
CAN,FRA
GBR,SUI
GBR,SUI
SUI,SUI
FIN,USA
FIN,CAN
USA,CAN
AUT,GER
AUT,CAN
GER,CAN
CAN,GER
CAN,GER
GER,GER
ITA,NED
ITA,CAN
NED,CAN
CAN,KOR
CAN,CHN
KOR,CHN
NED,KOR
NED,ITA
KOR,ITA
CAN,ITA
CAN,NED
ITA,NED
GBR,GBR
GBR,GER
GBR,GER
JPN,NOR
JPN,GER
NOR,GER
NZL,AUT
NZL,USA
AUT,USA
GER,CZE
GER,GER
CZE,GER
USA,USA
USA,CHN
USA,CHN
FIN,USA
FIN,CAN
USA,CAN
CZE,ITA
CZE,FRA
ITA,FRA
JPN,NED
JPN,JPN
NED,JPN
NED,NED
NED,JPN
NED,JPN
NED,NED
NED,NED
NED,NED
OAR,NED
OAR,CZE
NED,CZE
CZE,JPN
CZE,KOR
JPN,KOR
NED,JPN
NED,KOR
JPN,KOR
USA,JPN
USA,NED
JPN,NED
NOR,SUI
NOR,AUT
SUI,AUT
SUI,NOR
SUI,NOR
NOR,NOR
FRA,AUT
FRA,NOR
AUT,NOR
AUT,SWE
AUT,SUI
SWE,SUI
FRA,AUT
FRA,FRA
AUT,FRA
NOR,AUT
NOR,SUI
AUT,SUI
ITA,GER
ITA,CZE
GER,CZE
GER,FRA
GER,SWE
FRA,SWE
NOR,FRA
NOR,GER
FRA,GER
AUT,NOR
AUT,SLO
NOR,SLO
GER,SWE
GER,NOR
SWE,NOR
ITA,FRA
ITA,NOR
FRA,NOR
GER,GER
GER,KOR
GER,KOR
LAT,GER
LAT,CAN
GER,CAN
OAR,SUI
OAR,NOR
SUI,NOR
OAR,FIN
OAR,OAR
FIN,OAR
NOR,NOR
NOR,NOR
NOR,NOR
FRA,NOR
FRA,OAR
NOR,OAR
OAR,NOR
OAR,ITA
NOR,ITA
FRA,NOR
FRA,OAR
NOR,OAR
NOR,CAN
NOR,SUI
CAN,SUI
SUI,USA
SUI,SWE
USA,SWE
USA,CAN
USA,FRA
CAN,FRA
ESP,JPN
ESP,JPN
JPN,JPN
CAN,GER
CAN,CHN
GER,CHN
USA,CAN
USA,OAR
CAN,OAR
OAR,UKR
OAR,CHN
UKR,CHN
JPN,CAN
JPN,AUS
CAN,AUS
OAR,CAN
OAR,SUI
CAN,SUI
NZL,USA
NZL,USA
USA,USA
CAN,NOR
CAN,USA
NOR,USA
CAN,OAR
CAN,GER
OAR,GER
GER,GER
GER,AUT
GER,AUT
AUT,GER
AUT,CAN
GER,CAN
GER,AUT
GER,USA
AUT,USA
GER,GER
GER,GER
GER,GER
AUT,GER
AUT,JPN
GER,JPN
AUT,GER
AUT,NOR
GER,NOR
KOR,CAN
KOR,USA
CAN,USA
OAR,KOR
OAR,NED
KOR,NED
CAN,HUN
CAN,CHN
HUN,CHN
KOR,CHN
KOR,KOR
CHN,KOR
GBR,KOR
GBR,OAR
KOR,OAR
NOR,POL
NOR,GER
POL,GER
NOR,GER
NOR,NOR
GER,NOR
POL,NOR
POL,GER
NOR,GER
GBR,CAN
GBR,USA
CAN,USA
SLO,SUI
SLO,KOR
SUI,KOR
AUS,USA
AUS,JPN
USA,JPN
CAN,USA
CAN,CAN
USA,CAN
ESP,FRA
ESP,AUS
FRA,AUS
ITA,CAN
ITA,NED
CAN,NED
KOR,NED
KOR,NOR
NED,NOR
KOR,NED
KOR,NED
NED,NED
NOR,NED
NOR,CAN
NED,CAN
CHN,NOR
CHN,KOR
NOR,KOR
NED,KOR
NED,BEL
KOR,BEL
NED,NOR
NED,KOR
NOR,KOR
