Source,Target
EUA,USA
USA,AUT
SUI,USA
USA,ITA
CAN,USA
USA,EUA
URS,URS
URS,URS
SWE,URS
URS,FIN
USA,NED
NED,USA
CAN,EUA
EUA,USA
URS,EUA
EUA,URS
URS,POL
POL,POL
URS,URS
URS,FIN
EUA,URS
URS,USA
FRA,EUA
EUA,FRA
SUI,AUT
AUT,AUT
AUT,AUT
AUT,FRA
SWE,FIN
FIN,URS
NOR,SWE
SWE,FIN
SWE,SWE
SWE,URS
FIN,NOR
NOR,URS
FIN,FIN
FIN,SWE
USA,TCH
TCH,CAN
CAN,EUA
EUA,USA
USA,CAN
CAN,URS
EUA,NOR
NOR,URS
EUA,FIN
FIN,AUT
NOR,URS
URS,SWE
URS,NOR
NOR,NED
URS,USA
USA,URS
AUT,AUT
AUT,AUT
FRA,FRA
FRA,USA
FRA,FRA
FRA,USA
URS,URS
URS,URS
URS,SWE
SWE,FIN
URS,FIN
FIN,URS
NED,AUT
AUT,CAN
URS,CAN
URS,EUA
CAN,USA
EUA,USA
EUA,EUA
EUA,AUT
URS,URS
URS,FIN
URS,FIN
FIN,URS
URS,PRK
URS,URS
URS,URS
URS,URS
AUT,FRA
FRA,EUA
FRA,AUT
AUT,AUT
AUT,USA
USA,USA
URS,URS
URS,NOR
CAN,AUT
AUT,ITA
GBR,ITA
ITA,ITA
FIN,NOR
NOR,SWE
FIN,NOR
NOR,URS
SWE,FIN
FIN,URS
SWE,SWE
SWE,FIN
EUA,FRA
FRA,USA
URS,CAN
URS,EUA
CAN,USA
EUA,USA
URS,SWE
SWE,TCH
AUT,AUT
AUT,ITA
EUA,EUA
EUA,EUA
NOR,URS
URS,EUA
NOR,FIN
FIN,NOR
FIN,NOR
NOR,NOR
SWE,NOR
NOR,NOR
URS,NED
NED,NOR
NOR,NOR
NOR,NOR
USA,NOR
USA,URS
AUT,FRA
FRA,AUT
CAN,FRA
FRA,SUI
FRA,CAN
CAN,FRA
SWE,NOR
NOR,NOR
NOR,SWE
SWE,URS
SWE,URS
URS,URS
USA,GDR
GDR,TCH
URS,URS
URS,FRG
ITA,FRG
FRG,FRG
NED,URS
URS,USA
FIN,NED
NED,NED
NED,FIN
FIN,NED
URS,USA
FRA,FRA
FRA,SUI
FRA,SUI
SUI,AUT
FRA,AUT
AUT,AUT
NOR,URS
URS,URS
URS,NOR
NOR,SWE
ITA,AUT
AUT,SUI
ITA,FRG
FRG,ROU
NOR,FIN
FIN,SWE
ITA,NOR
NOR,FIN
NOR,SWE
SWE,FIN
NOR,URS
URS,SUI
AUT,USA
USA,FRA
URS,URS
URS,FRG
URS,TCH
TCH,CAN
GDR,AUT
AUT,FRG
AUT,GDR
GDR,GDR
FRG,SUI
SUI,GDR
URS,TCH
TCH,NOR
TCH,AUT
AUT,AUT
SWE,NOR
NOR,SWE
NED,NED
NED,NOR
NOR,NED
NED,NED
FRG,NOR
FRG,USA
SUI,AUT
AUT,USA
SUI,AUT
AUT,AUT
USA,FRA
FRA,FRA
URS,URS
URS,FIN
URS,FIN
FIN,NOR
URS,FIN
FIN,TCH
AUT,CAN
CAN,USA
URS,URS
URS,GDR
GDR,GDR
GDR,GDR
FRG,NED
NED,USA
USA,NED
NED,NED
NED,USA
USA,NED
USA,URS
URS,URS
SUI,SUI
SUI,AUT
ITA,SUI
SUI,SUI
ESP,ITA
ITA,ITA
NOR,GDR
GDR,SWE
URS,FIN
FIN,GDR
SUI,ITA
ITA,FRG
FRG,FRG
FRG,SUI
SWE,URS
URS,NOR
URS,NOR
NOR,NOR
URS,NOR
NOR,SUI
NOR,NOR
NOR,URS
TCH,URS
URS,FRA
URS,URS
URS,GDR
URS,USA
USA,TCH
GDR,GDR
GDR,GDR
GDR,FIN
FIN,GDR
POL,SUI
SUI,GDR
JPN,JPN
JPN,JPN
NED,NED
NED,NOR
NED,NOR
NOR,SWE
NED,NOR
NOR,NOR
FRG,SWE
SWE,URS
FRG,AUT
AUT,USA
CAN,FRG
FRG,FRA
FRG,ITA
ITA,LIE
URS,FIN
FIN,URS
URS,FIN
FIN,GDR
FIN,URS
URS,URS
URS,URS
URS,USA
USA,NED
NED,GDR
URS,GDR
GDR,GDR
GDR,GDR
GDR,FRG
URS,USA
USA,USA
URS,USA
USA,URS
URS,GDR
GDR,NOR
USA,CAN
CAN,URS
AUT,SUI
SUI,ITA
SUI,SUI
SUI,SWE
ITA,ITA
ITA,LIE
URS,FIN
FIN,URS
URS,FIN
FIN,GDR
GDR,SUI
SUI,FRG
GDR,FRG
FRG,SUI
URS,URS
URS,FIN
URS,USA
USA,URS
FIN,NOR
NOR,URS
NOR,GDR
GDR,SWE
URS,URS
URS,USA
GBR,URS
URS,CAN
URS,GDR
GDR,GDR
URS,TCH
TCH,FRG
GDR,FRG
FRG,AUT
GDR,FRG
FRG,GDR
GDR,FRG
FRG,GDR
AUT,AUT
AUT,GDR
GDR,GDR
GDR,AUT
NED,NOR
NOR,NED
USA,NOR
NOR,URS
NOR,URS
URS,NED
NOR,NED
NED,NED
URS,URS
URS,USA
AUT,LIE
LIE,SUI
LIE,FRG
FRG,FRA
LIE,FRG
FRG,SUI
GDR,FIN
FIN,FIN
GDR,URS
URS,NOR
URS,FIN
FIN,TCH
URS,HUN
HUN,URS
GDR,USA
USA,FRG
URS,URS
URS,GDR
URS,GDR
GDR,URS
URS,USA
USA,GDR
NED,NED
NED,GDR
NOR,GDR
GDR,USA
GDR,USA
USA,URS
AUT,AUT
AUT,CAN
SWE,LIE
LIE,AUT
SWE,USA
USA,SUI
GDR,URS
URS,URS
URS,GDR
GDR,GDR
URS,GDR
GDR,FRG
GDR,SUI
SUI,GDR
SUI,GDR
GDR,GDR
SWE,FIN
FIN,NOR
URS,URS
URS,BUL
URS,NOR
NOR,FIN
URS,FIN
FIN,URS
URS,HUN
HUN,URS
GBR,GDR
GDR,USA
URS,URS
URS,GDR
USA,URS
URS,SWE
GDR,ITA
ITA,AUT
GDR,ITA
ITA,FRG
GDR,FIN
FIN,GDR
FIN,AUT
AUT,FIN
AUT,GDR
AUT,JPN
USA,NED
NED,NOR
USA,CAN
CAN,NOR
CAN,URS
USA,NOR
NOR,NOR
USA,NOR
NOR,NOR
USA,URS
URS,NED
SUI,SUI
SUI,TCH
USA,USA
USA,FRA
ITA,FRA
FRA,LIE
FIN,URS
URS,NOR
FIN,URS
URS,NOR
NOR,TCH
TCH,FIN
FIN,NOR
NOR,TCH
GBR,URS
URS,URS
GDR,USA
USA,URS
URS,USA
USA,URS
GDR,GDR
GDR,GDR
GDR,GDR
GDR,URS
GDR,GDR
GDR,URS
GDR,GDR
GDR,GDR
GDR,GDR
GDR,URS
USA,SUI
SUI,AUT
SUI,YUG
YUG,LIE
USA,USA
USA,FRA
NOR,FRG
FRG,GDR
FRG,GDR
GDR,NOR
URS,NOR
NOR,FRG
GDR,GDR
GDR,SUI
GDR,GDR
GDR,URS
SWE,FIN
FIN,FIN
URS,URS
URS,SWE
SWE,URS
URS,FIN
SWE,SWE
SWE,FIN
GBR,URS
URS,URS
USA,CAN
CAN,TCH
URS,USA
USA,URS
URS,TCH
TCH,SWE
FRG,URS
URS,GDR
ITA,URS
URS,URS
NOR,FIN
FIN,FIN
FIN,GDR
GDR,TCH
GDR,FIN
FIN,FIN
URS,SWE
SWE,GDR
CAN,URS
URS,NOR
CAN,URS
URS,URS
SWE,URS
URS,GDR
URS,JPN
JPN,CAN
AUT,SUI
SUI,SUI
FRG,SUI
SUI,CAN
SUI,FRG
FRG,SUI
SUI,YUG
YUG,FRG
AUT,SUI
SUI,CAN
URS,URS
URS,FIN
URS,URS
URS,URS
URS,NOR
NOR,FIN
FIN,URS
URS,URS
URS,URS
URS,CAN
GDR,CAN
CAN,USA
URS,URS
URS,USA
GDR,GDR
GDR,GDR
GDR,GDR
GDR,USA
NED,GDR
GDR,GDR
NED,GDR
GDR,GDR
NED,GDR
GDR,GDR
USA,GDR
GDR,GDR
AUT,AUT
AUT,SUI
SUI,SUI
SUI,FRA
ITA,AUT
AUT,SUI
ITA,FRG
FRG,LIE
FRA,AUT
AUT,SWE
GDR,URS
URS,URS
GDR,URS
URS,ITA
URS,FRG
FRG,ITA
SUI,GDR
GDR,URS
URS,GDR
GDR,GDR
URS,NOR
NOR,URS
URS,URS
URS,NOR
SWE,URS
URS,TCH
SWE,ITA
ITA,SUI
URS,URS
URS,CAN
USA,CAN
CAN,URS
URS,URS
URS,USA
URS,FIN
FIN,SWE
GDR,GDR
GDR,FRG
GDR,FRG
FRG,URS
FRG,SUI
SUI,AUT
SUI,AUT
AUT,URS
FIN,NOR
NOR,YUG
FIN,YUG
YUG,NOR
FIN,TCH
TCH,TCH
SWE,AUT
AUT,NED
URS,GDR
GDR,URS
GDR,USA
USA,AUT
SWE,NED
NED,NED
GDR,NED
NED,JPN
AUT,AUT
AUT,FRA
CAN,USA
USA,AUT
SWE,AUT
SWE,USA
AUT,NZL
NZL,ESP
ITA,FRA
FRA,GER
GER,EUN
EUN,CAN
FRA,GER
GER,EUN
EUN,GER
GER,EUN
EUN,FIN
FIN,EUN
ITA,EUN
EUN,EUN
EUN,NOR
NOR,ITA
FIN,EUN
EUN,EUN
EUN,ITA
ITA,EUN
EUN,FRA
FRA,EUN
USA,JPN
JPN,USA
EUN,EUN
EUN,CAN
USA,EUN
EUN,NOR
AUT,AUT
AUT,GER
CAN,USA
USA,EUN
USA,CHN
CHN,PRK
USA,CHN
CHN,GER
GER,GER
GER,JPN
GER,GER
GER,AUT
GER,GER
GER,GER
USA,CHN
CHN,GER
ITA,ITA
ITA,SUI
AUT,FRA
FRA,AUT
ITA,LUX
LUX,NOR
NOR,ITA
ITA,AUT
NOR,LUX
LUX,NOR
GER,GER
GER,FIN
EUN,GER
GER,SWE
GER,EUN
EUN,SWE
AUT,GER
GER,SUI
SUI,GER
GER,GER
NOR,ITA
ITA,SWE
NOR,NOR
NOR,NOR
NOR,ITA
ITA,FIN
NOR,ITA
ITA,ITA
NOR,NOR
NOR,ITA
EUN,FRA
FRA,EUN
EUN,USA
USA,TCH
EUN,EUN
EUN,CAN
FRA,FRA
FRA,USA
EUN,CAN
CAN,TCH
GER,GER
GER,ITA
GER,AUT
AUT,AUT
JPN,NOR
NOR,AUT
FRA,FRA
FRA,AUT
KOR,CAN
CAN,KOR
KOR,CAN
CAN,JPN
FIN,AUT
AUT,AUT
FIN,AUT
AUT,TCH
AUT,AUT
AUT,FIN
NED,NOR
NOR,NOR
GER,KOR
KOR,JPN
NOR,NOR
NOR,NED
NOR,NED
NED,NED
GER,JPN
JPN,JPN
SWE,SUI
SUI,SLO
GER,USA
USA,ITA
ITA,GER
GER,SUI
SUI,AUT
AUT,SLO
USA,RUS
RUS,ITA
CAN,FRA
FRA,GER
RUS,GER
GER,FRA
CAN,BLR
BLR,UKR
ITA,RUS
RUS,RUS
ITA,NOR
NOR,FIN
RUS,NOR
NOR,ITA
RUS,ITA
ITA,FIN
RUS,ITA
ITA,ITA
RUS,RUS
RUS,GBR
UKR,USA
USA,CHN
RUS,RUS
RUS,CAN
UZB,SWE
SWE,NOR
NOR,USA
USA,RUS
ITA,GER
GER,AUT
KOR,CAN
CAN,KOR
KOR,CAN
CAN,USA
USA,CHN
CHN,USA
USA,GER
GER,CHN
AUT,RUS
RUS,GER
RUS,AUT
AUT,GER
GER,GER
GER,JPN
USA,CAN
CAN,GER
NOR,NOR
NOR,NOR
USA,NOR
NOR,CAN
GER,SUI
SUI,AUT
AUT,ITA
ITA,SLO
GER,USA
USA,NOR
RUS,GER
GER,RUS
RUS,GER
GER,GER
GER,RUS
RUS,FRA
GER,SUI
SUI,GER
SUI,SUI
SUI,ITA
NOR,KAZ
KAZ,ITA
NOR,NOR
NOR,FIN
ITA,NOR
NOR,FIN
KAZ,FIN
FIN,NOR
NOR,KAZ
KAZ,ITA
RUS,RUS
RUS,GBR
RUS,CAN
CAN,FRA
RUS,RUS
RUS,CAN
SUI,CAN
CAN,CAN
CAN,RUS
RUS,FRA
SWE,CAN
CAN,FIN
ITA,ITA
ITA,GER
GER,AUT
AUT,ITA
JPN,NOR
NOR,SUI
NOR,JPN
JPN,NOR
KOR,KOR
KOR,CAN
ITA,USA
USA,AUS
KOR,ITA
ITA,GBR
GER,NOR
NOR,AUT
GER,JPN
JPN,AUT
NOR,NOR
NOR,GER
NOR,NOR
NOR,NED
USA,BLR
BLR,RUS
NOR,NED
NED,NED
NOR,NOR
NOR,NED
RUS,RUS
RUS,JPN
GER,GER
GER,GER
GER,SWE
SWE,FRA
ITA,AUT
AUT,GER
GER,ITA
ITA,AUS
USA,AUT
AUT,AUT
BUL,UKR
UKR,GER
GER,RUS
RUS,NOR
RUS,GER
GER,GER
RUS,RUS
RUS,NOR
RUS,ITA
ITA,RUS
RUS,NOR
NOR,ITA
RUS,CZE
CZE,NOR
RUS,RUS
RUS,CZE
CAN,DEN
DEN,SWE
RUS,RUS
RUS,FRA
USA,USA
USA,CHN
RUS,RUS
RUS,GER
USA,CHN
CHN,SUI
JPN,GER
GER,NOR
USA,CAN
CAN,FIN
GER,GER
GER,AUT
KOR,CHN
CHN,KOR
KOR,CHN
CHN,CAN
CAN,CHN
CHN,KOR
GER,NOR
NOR,USA
FRA,GER
GER,AUT
NED,USA
USA,CAN
NED,GER
GER,USA
GER,GER
GER,GER
GER,GER
GER,KAZ
CAN,CAN
CAN,JPN
AUT,NOR
NOR,AUT
FRA,NOR
NOR,AUT
AUT,AUT
AUT,SUI
NOR,NOR
NOR,AUT
AUT,AUT
AUT,SUI
NOR,NOR
NOR,FIN
NOR,ITA
ITA,BLR
GER,NOR
NOR,RUS
GER,SUI
SUI,FRA
SUI,GBR
NOR,AUT
AUT,FIN
FIN,NOR
NOR,ITA
NOR,ITA
ITA,FIN
NOR,SWE
SWE,AUT
NOR,NOR
NOR,KAZ
SUI,CAN
CAN,NOR
RUS,RUS
RUS,FRA
RUS,CAN
CAN,FRA
RUS,RUS
RUS,GER
USA,FRA
FRA,BLR
USA,FIN
FIN,FIN
CZE,RUS
RUS,FIN
GER,USA
USA,USA
GER,ITA
ITA,GER
NOR,FIN
FIN,FRA
NOR,FIN
FIN,RUS
KOR,CHN
CHN,CAN
CAN,KOR
KOR,CHN
JPN,CHN
CHN,JPN
JPN,FIN
FIN,JPN
JPN,GER
GER,AUT
FIN,JPN
JPN,AUT
SUI,NOR
NOR,USA
CAN,ITA
ITA,SUI
NED,NED
NED,NED
NED,NED
NED,JPN
NOR,NED
NED,NED
NED,NED
NED,BEL
JPN,CAN
CAN,CAN
CRO,AUT
AUT,GER
FRA,ITA
ITA,AUT
CRO,SWE
SWE,SUI
CRO,FRA
FRA,SWE
ITA,CRO
CRO,ITA
RUS,GER
GER,BUL
GER,NOR
NOR,SWE
GER,NOR
NOR,RUS
GER,GER
GER,SWE
USA,GER
GER,GER
NOR,RUS
RUS,ITA
ITA,CZE
CZE,RUS
ITA,ITA
ITA,NOR
GER,NOR
NOR,SUI
CAN,CZE
CZE,GER
RUS,GER
GER,NOR
GBR,SUI
SUI,CAN
FRA,RUS
RUS,ITA
USA,RUS
RUS,USA
AUS,CAN
CAN,CAN
NOR,USA
USA,JPN
CAN,USA
USA,SWE
GER,GER
GER,GER
CHN,KOR
KOR,CHN
KOR,KOR
KOR,BUL
KOR,CHN
CHN,CAN
CHN,BUL
BUL,CHN
USA,USA
USA,GBR
FRA,FRA
FRA,ITA
USA,FRA
FRA,SUI
USA,GER
GER,USA
GER,GER
GER,USA
GER,NED
NED,CAN
GER,NED
NED,CAN
CAN,GER
GER,GER
NOR,USA
USA,AUT
AUT,NOR
NOR,AUT
AUT,USA
USA,NOR
FRA,FRA
FRA,AUT
NOR,AUT
AUT,AUT
NOR,GER
GER,AUT
NOR,FRA
FRA,GER
NOR,GER
GER,RUS
NOR,GER
GER,FRA
GER,USA
USA,USA
GER,SUI
SUI,SUI
EST,NOR
NOR,EST
AUT,AUT
AUT,NOR
NOR,ITA
ITA,GER
RUS,EST
EST,NOR
NOR,GER
GER,ITA
NOR,CAN
CAN,SUI
FRA,RUS
RUS,ITA
RUS,RUS
RUS,USA
CZE,USA
USA,BLR
FIN,USA
USA,FRA
CAN,USA
USA,RUS
GER,USA
USA,USA
ITA,GER
GER,AUT
FIN,GER
GER,AUT
FIN,FIN
FIN,AUT
FIN,GER
GER,AUT
AUS,USA
USA,CAN
USA,CHN
CHN,CAN
CAN,ITA
ITA,CHN
CAN,CAN
CAN,USA
USA,AUT
AUT,SUI
SUI,POL
POL,FIN
GER,FIN
FIN,SLO
SUI,GER
GER,POL
SUI,SWE
SWE,USA
USA,USA
USA,USA
NED,NED
NED,NOR
NED,NED
NED,USA
USA,NED
NED,NOR
NED,USA
USA,GER
USA,JPN
JPN,USA
CRO,AUT
AUT,SWE
AUT,SUI
SUI,SWE
USA,FIN
FIN,SWE
SWE,AUT
AUT,AUT
AUT,CRO
CRO,AUT
GER,GER
GER,RUS
SWE,GER
GER,GER
RUS,GER
GER,RUS
RUS,GER
GER,FRA
FRA,SWE
SWE,UKR
GER,USA
USA,ITA
EST,NOR
NOR,NOR
CZE,RUS
RUS,POL
RUS,GER
GER,ITA
EST,CZE
CZE,RUS
SWE,CAN
CAN,FIN
CAN,GER
GER,RUS
SWE,SUI
SUI,CAN
RUS,USA
USA,UKR
JPN,USA
USA,RUS
RUS,CHN
CHN,CHN
SUI,CHN
CHN,AUS
CAN,NOR
NOR,FRA
CAN,SWE
SWE,USA
GER,GER
GER,GER
KOR,CHN
CHN,CHN
KOR,KOR
KOR,CHN
KOR,CAN
CAN,ITA
CHN,BUL
BUL,CAN
SUI,GBR
GBR,CAN
SUI,GER
GER,USA
USA,USA
USA,NOR
SUI,USA
USA,CAN
NED,CAN
CAN,GER
CAN,CAN
CAN,NED
NED,NED
NED,CAN
CAN,GER
GER,CAN
RUS,CHN
CHN,CHN
GER,CAN
CAN,RUS
USA,CRO
CRO,AUT
FRA,AUT
AUT,SUI
AUT,FRA
FRA,AUT
AUT,AUT
AUT,AUT
NOR,AUT
AUT,SUI
GER,NOR
NOR,NOR
FRA,NOR
NOR,GER
GER,POL
POL,NOR
GER,NOR
NOR,NOR
GER,RUS
RUS,FRA
GER,RUS
RUS,SUI
GER,CAN
CAN,SUI
EST,CZE
CZE,GER
ITA,GER
GER,SWE
ITA,RUS
RUS,AUT
RUS,NOR
NOR,ITA
SWE,FRA
FRA,SWE
SWE,NOR
NOR,RUS
CAN,FIN
FIN,USA
RUS,USA
USA,UKR
RUS,SUI
SUI,CAN
RUS,CHN
CHN,CHN
CHN,BLR
BLR,RUS
AUS,FIN
FIN,USA
SWE,FIN
FIN,CZE
AUT,GER
GER,ITA
ITA,RUS
RUS,LAT
GER,AUT
AUT,NOR
AUT,NOR
NOR,GER
AUT,GER
GER,FIN
KOR,KOR
KOR,USA
KOR,KOR
KOR,CHN
KOR,CAN
CAN,USA
USA,CAN
CAN,KOR
CAN,CAN
CAN,SUI
AUT,AUT
AUT,NOR
AUT,FIN
FIN,NOR
NOR,FIN
FIN,NOR
SUI,SUI
SUI,AUT
USA,USA
USA,FIN
USA,SVK
SVK,FRA
NED,USA
USA,NED
USA,USA
USA,NED
ITA,USA
USA,USA
USA,NED
NED,ITA
USA,RUS
RUS,KOR
ITA,CAN
CAN,NED
GER,USA
USA,SWE
USA,USA
USA,AUT
GER,SLO
SLO,AUT
GER,AUT
AUT,CZE
AUT,SLO
SLO,USA
GER,SVK
SVK,FRA
GER,RUS
RUS,GER
NOR,KAZ
KAZ,BLR
RUS,FRA
FRA,GER
SVK,GER
GER,FRA
CAN,CAN
CAN,USA
SWE,EST
EST,NOR
POL,NOR
NOR,FIN
NOR,GER
GER,FIN
NOR,SWE
SWE,POL
GER,SWE
SWE,RUS
NOR,POL
POL,SLO
SWE,CAN
CAN,CHN
CAN,USA
USA,RUS
KOR,JPN
JPN,CAN
CHN,CHN
CHN,GER
CAN,NOR
NOR,FRA
AUS,CHN
CHN,CHN
USA,CAN
CAN,USA
CAN,USA
USA,FIN
GER,AUT
AUT,GER
CHN,USA
USA,KOR
CHN,KOR
KOR,KOR
CHN,CAN
CAN,USA
CHN,CAN
CAN,ITA
GBR,GER
GER,GER
NED,RUS
RUS,AUT
AUS,USA
USA,USA
CAN,FRA
FRA,SUI
CAN,NED
NED,NED
NED,CAN
CAN,CZE
CZE,GER
GER,CAN
CZE,GER
GER,CAN
KOR,GER
GER,CHN
GER,JPN
JPN,POL
USA,CRO
CRO,SUI
SUI,NOR
NOR,USA
SUI,NOR
NOR,NOR
ITA,CRO
CRO,SWE
NOR,USA
USA,USA
FRA,NOR
NOR,CRO
SWE,AUT
AUT,FRA
RUS,FRA
FRA,SVK
NOR,BLR
NOR,NOR
NOR,AUT
AUT,RUS
USA,GER
GER,CAN
GER,GER
GER,RUS
SUI,ITA
ITA,CZE
SWE,NOR
NOR,CZE
NOR,GER
GER,SWE
SWE,GER
GER,SWE
RUS,RUS
RUS,NOR
NOR,GER
GER,RUS
CAN,NOR
NOR,SUI
CAN,USA
USA,RUS
USA,RUS
RUS,JPN
CHN,CHN
CHN,GER
SUI,AUT
AUT,NOR
BLR,USA
USA,CHN
CAN,AUS
AUS,USA
CAN,USA
USA,FIN
AUT,LAT
LAT,GER
GER,GER
GER,ITA
USA,USA
USA,AUT
AUT,USA
