,Year,Host_Country,Host_City,Summer,Winter,Total_Males,Total_Females,Total_Athletes,Discipline,Sport,Ath_Name,Gender,Home_Adv,Gold,Silver,Bronze,Total_Medals,Ath_Rating,Ath_Rank,NOC,NOC_Males_Sent,NOC_Females_Sent,NOC_Total_Sent,NOC_Gold,NOC_Silver,NOC_Bronze,NOC_Total_Medals,NOC_Rating,NOC_Rank,Country,Education_Index
2773,1980,RUS,Moscow,True,False,4064,1115,5179,Swimming,Aquatics,"FORD, Michelle",Women,False,1,0,1,2,4,48,AUS,93.0,28.0,121.0,4,2,5,11,21,11,Australia,0.869533333
2774,1980,RUS,Moscow,True,False,4064,1115,5179,Swimming,Aquatics,"KERRY, Mark",Men,False,1,0,1,2,4,49,AUS,93.0,28.0,121.0,4,2,5,11,21,11,Australia,0.869533333
2775,1980,RUS,Moscow,True,False,4064,1115,5179,Swimming,Aquatics,"EVANS, Peter",Men,False,1,0,1,2,4,50,AUS,93.0,28.0,121.0,4,2,5,11,21,11,Australia,0.869533333
2776,1980,RUS,Moscow,True,False,4064,1115,5179,Swimming,Aquatics,"BROOKS, Neil",Men,False,1,0,0,1,3,69,AUS,93.0,28.0,121.0,4,2,5,11,21,11,Australia,0.869533333
2777,1980,RUS,Moscow,True,False,4064,1115,5179,Canoe Sprint,Canoe,"SUMEGI, John",Men,False,0,1,0,1,2,216,AUS,93.0,28.0,121.0,4,2,5,11,21,11,Australia,0.869533333
2778,1980,RUS,Moscow,True,False,4064,1115,5179,Athletics,Athletics,"MITCHELL, Rick",Men,False,0,1,0,1,2,217,AUS,93.0,28.0,121.0,4,2,5,11,21,11,Australia,0.869533333
2779,1980,RUS,Moscow,True,False,4064,1115,5179,Swimming,Aquatics,"BREWER, Graeme",Men,False,0,0,1,1,1,371,AUS,93.0,28.0,121.0,4,2,5,11,21,11,Australia,0.869533333
2780,1980,RUS,Moscow,True,False,4064,1115,5179,Swimming,Aquatics,"METZKER, Max",Men,False,0,0,1,1,1,372,AUS,93.0,28.0,121.0,4,2,5,11,21,11,Australia,0.869533333
2781,1980,RUS,Moscow,True,False,4064,1115,5179,Dressage,Equestrian,"THEURER-MAX, Elisabeth",Women,False,1,0,0,1,3,70,AUT,63.0,19.0,82.0,1,2,1,4,8,18,Austria,0.591807778
2782,1980,RUS,Moscow,True,False,4064,1115,5179,Sailing,Sailing,"FERSTL, Karl",Men,False,0,1,0,1,2,218,AUT,63.0,19.0,82.0,1,2,1,4,8,18,Austria,0.591807778
2783,1980,RUS,Moscow,True,False,4064,1115,5179,Sailing,Sailing,"MAYRHOFER, Wolfgang",Men,False,0,1,0,1,2,219,AUT,63.0,19.0,82.0,1,2,1,4,8,18,Austria,0.591807778
2784,1980,RUS,Moscow,True,False,4064,1115,5179,Shooting,Shooting,"PETRITSCH, Gerhard",Men,False,0,0,1,1,1,373,AUT,63.0,19.0,82.0,1,2,1,4,8,18,Austria,0.591807778
2785,1980,RUS,Moscow,True,False,4064,1115,5179,Judo,Judo,"VAN DE WALLE, Robert",Men,False,1,0,0,1,3,71,BEL,43.0,15.0,58.0,1,0,0,1,3,28,Belgium,0.626016667
2786,1980,RUS,Moscow,True,False,4064,1115,5179,Sailing,Sailing,"BJORKSTROM, Lars Sigurd",Men,False,1,0,0,1,3,72,BRA,92.0,15.0,107.0,2,0,2,4,8,19,Brazil,0.361502472
2787,1980,RUS,Moscow,True,False,4064,1115,5179,Sailing,Sailing,"PENIDO, Eduardo Henrique",Men,False,1,0,0,1,3,73,BRA,92.0,15.0,107.0,2,0,2,4,8,19,Brazil,0.361502472
2788,1980,RUS,Moscow,True,False,4064,1115,5179,Athletics,Athletics,"DE OLIVEIRA, João Carlos",Men,False,0,0,1,1,1,374,BRA,92.0,15.0,107.0,2,0,2,4,8,19,Brazil,0.361502472
