Country,Host_City,Year,Education_Index,Gold,Silver,Bronze,Total_Medals,Ath_Rating,Gold_Share,Medal_Share,Rating_Share,norm_Gold_Share,norm_Medal_Share,norm_Rating_Share
Afghanistan,Beijing,2008,0.33216,0,0,1,1,1,0.0,0.0004904364884747426,0.0002477700693756194,0.0,0.0,0.0
Afghanistan,London,2012,0.365333333,0,0,1,1,1,0.0,0.00051440329218107,0.0002600780234070221,0.0,7.611472241579588e-05,3.6182605056395415e-05
Algeria,Atlanta,1996,0.4381911114,2,0,1,3,7,0.0032520325203252032,0.0016155088852988692,0.001893939393939394,0.0069799722387467785,0.0035730493824395228,0.00483936602092234
Algeria,Barcelone,1992,0.3991800002000001,1,0,1,2,4,0.0017793594306049821,0.0011682242990654205,0.0011799410029498525,0.0038191129242253277,0.0021525453160990077,0.0027403720105317955
Algeria,Beijing,2008,0.5980800000000001,0,1,1,2,3,0.0,0.000980872976949485,0.0007433102081268583,0.0,0.001557547582908496,0.0014567760883962342
Algeria,London,2012,0.642588889,1,0,0,1,3,0.0015772870662460567,0.00051440329218107,0.0007802340702210664,0.0033853966299915365,7.611472241579588e-05,0.0015653239035654208
Algeria,Los Angeles,1984,0.342017778,0,0,2,2,2,0.0,0.0013568521031207597,0.0006798096532970768,0.0,0.002751596951081223,0.0012700987990266284
Algeria,Sydney,2000,0.493488889,1,1,3,5,8,0.0014947683109118087,0.002477700693756194,0.0019885657469550086,0.0032082832039082724,0.006311232202895327,0.005117546127084211
Argentina,Athens,2004,0.7227347716,26,0,21,47,99,0.03951367781155015,0.02357071213640923,0.024949596774193547,0.08480984505893692,0.07329925157098814,0.07261779151527177
Argentina,Atlanta,1996,0.6601641692,0,19,1,20,39,0.0,0.010770059235325794,0.010551948051948052,0.0,0.032646432186078295,0.03029195603290157
Argentina,Barcelone,1992,0.635422222,0,0,2,2,2,0.0,0.0011682242990654205,0.0005899705014749262,0.0,0.0021525453160990077,0.001005991983166839
Argentina,Beijing,2008,0.731550991,20,0,31,51,91,0.03003003003003003,0.02501226091221187,0.02254707631318137,0.06445469860104007,0.07787737914542481,0.06555492397783055
Argentina,London,2012,0.783355597,1,16,3,20,38,0.0015772870662460567,0.0102880658436214,0.00988296488946684,0.0033853966299915365,0.031115698523577345,0.02832529662747336
Argentina,Seoul,1988,0.6154733332,0,1,12,13,14,0.0,0.008408796895213453,0.004570682337577538,0.0,0.025147441925600887,0.012708385723144493
Argentina,Sydney,2000,0.71066529,0,17,3,20,37,0.0,0.009910802775024777,0.009197116579666915,0.0,0.0299175715603068,0.026309057497982652
Armenia,Atlanta,1996,0.6384266670000001,1,1,0,2,5,0.0016260162601626016,0.0010770059235325794,0.0013528138528138528,0.0034899861193733893,0.0018628503939901828,0.003248579145173637
Armenia,Beijing,2008,0.690282222,0,1,4,5,6,0.0,0.0024521824423737125,0.0014866204162537165,0.0,0.006230190331633984,0.003641940220990586
Armenia,London,2012,0.701366667,0,1,1,2,3,0.0,0.00102880658436214,0.0007802340702210664,0.0,0.001709777027740088,0.0015653239035654208
Armenia,Sydney,2000,0.668266667,0,0,1,1,1,0.0,0.0004955401387512388,0.00024857071836937607,0.0,1.6208374252268656e-05,2.353727212173845e-06
Australia,Athens,2004,0.9010586336,49,77,31,157,332,0.07446808510638298,0.07873620862587763,0.08366935483870967,0.15983393876491955,0.24849601554819303,0.2452406181552362
Australia,Atlanta,1996,0.8945733336,32,16,84,132,212,0.05203252032520325,0.07108239095315025,0.05735930735930736,0.11167955581994846,0.22418871889240433,0.16789502078516427
Australia,Barcelone,1992,0.8824266669999999,14,27,16,57,112,0.02491103202846975,0.03329439252336448,0.03303834808259587,0.05346758093915459,0.10418010003880536,0.09639689348823945
Australia,Beijing,2008,0.912784703,31,42,77,150,254,0.046546546546546545,0.07356547327121138,0.06293359762140734,0.0999047828316121,0.2320745898533659,0.18428217518212364
Australia,Lillehammer,1994,0.890386667,0,0,4,4,4,0.0,0.011661807580174927,0.0058309037900874635,0.0,0.03547848182292735,0.01641315216795116
Australia,London,2012,0.92653552,19,36,59,114,188,0.02996845425867508,0.05864197530864197,0.048894668400520154,0.0643225359698392,0.18467995522406078,0.14301089401565026
Australia,Los Angeles,1984,0.8698000001999999,7,14,31,52,80,0.014112903225806451,0.035278154681139755,0.027192386131883073,0.03029110936270653,0.11048021030082421,0.07921108568479172
Australia,Moscow,1980,0.869533333,5,2,5,12,24,0.011013215859030838,0.00873998543335761,0.008784773060029283,0.023638121843773507,0.02619924357412361,0.02509686067952312
Australia,Nagano,1998,0.8949866667999999,0,0,1,1,1,0.0,0.0022371364653243847,0.0011210762331838565,0.0,0.005547238818770304,0.0025673228822408974
Australia,Salt Lake City,2002,0.8982293168000001,2,0,0,2,6,0.012269938650306749,0.004158004158004158,0.006224066390041493,0.026335478078707168,0.0116476063528521,0.017568961414620974
Australia,Seoul,1988,0.872626667,18,6,10,34,76,0.03557312252964427,0.02199223803363519,0.024812275546849494,0.07635206786850478,0.0682862711316545,0.07221409812137605
Australia,Sydney,2000,0.8954,60,69,54,183,372,0.08968609865470852,0.09068384539147671,0.0924683072334079,0.19249699223449634,0.28643979257751145,0.27110755092043015
Australia,Turin,2006,0.905155501,1,0,1,2,4,0.005681818181818182,0.003766478342749529,0.003770028275212064,0.012195121951219513,0.0104041831950592,0.010354643610405468
Australia,Vancouver,2010,0.918815358,2,1,0,3,8,0.011363636363636364,0.005671077504725898,0.007561436672967864,0.024390243902439025,0.01645288448637557,0.02150052799650964
Austria,Albertville,1992,0.6764371111999999,9,10,10,29,57,0.08411214953271028,0.08950617283950617,0.08796296296296297,0.18053339411898792,0.28269969354351826,0.2578628563136186
Austria,Athens,2004,0.7434321318000001,3,4,1,8,18,0.004559270516717325,0.004012036108324975,0.0045362903225806455,0.009785751352954258,0.011184035251797314,0.012607280966614589
Austria,Atlanta,1996,0.7052811109999999,0,1,2,3,4,0.0,0.0016155088852988692,0.0010822510822510823,0.0,0.0035730493824395228,0.0024531857072992865
Austria,Barcelone,1992,0.6764371111999999,0,6,0,6,12,0.0,0.0035046728971962616,0.0035398230088495575,0.0,0.009572731114114016,0.009677892119991621
Austria,Beijing,2008,0.771008127,0,1,2,3,4,0.0,0.0014713094654242277,0.0009910802775024777,0.0,0.003115095165816992,0.0021851641325943516
Austria,Calgary,1988,0.6423384444,3,5,4,12,23,0.03409090909090909,0.045454545454545456,0.043560606060606064,0.07317073170731707,0.14279879430574713,0.1273299554535724
Austria,Lake Placid,1980,0.591807778,3,2,3,8,16,0.041666666666666664,0.03669724770642202,0.03669724770642202,0.08943089430894309,0.11498702201527218,0.10715323200657624
Austria,Lillehammer,1994,0.6916264444,2,3,7,12,19,0.017543859649122806,0.03498542274052478,0.027696793002915453,0.037655113393239195,0.10955054063459903,0.08069392796351095
Austria,Los Angeles,1984,0.6095411108,1,1,1,3,6,0.0020161290322580645,0.0020352781546811396,0.0020394289598912306,0.004327301337529505,0.004906169218076083,0.0052670724854761205
Austria,Moscow,1980,0.591807778,1,3,1,5,10,0.0022026431718061676,0.003641660597232338,0.0036603221083455345,0.004727624368754702,0.01000778206585488,0.010032132257352399
Austria,Nagano,1998,0.7174011109999999,3,5,12,20,31,0.020134228187919462,0.0447427293064877,0.034753363228699555,0.04321492879358324,0.1405381804506675,0.10143865067541134
Austria,Salt Lake City,2002,0.7364766214,3,4,13,20,30,0.018404907975460124,0.04158004158004158,0.03112033195020747,0.039503217118060756,0.13049399177469748,0.09075835924989735
Austria,Sarajevo,1984,0.6095411108,0,0,1,1,1,0.0,0.0045045045045045045,0.0022522522522522522,0.0,0.012748035847498815,0.00589272489810729
Austria,Seoul,1988,0.6423384444,1,0,0,1,3,0.001976284584980237,0.000646830530401035,0.0009794319294809011,0.004241781548250265,0.0004966823792845334,0.002150920620232442
Austria,Sydney,2000,0.7295211109999999,3,1,0,4,11,0.004484304932735426,0.0019821605550049554,0.002734277902063137,0.009624849611724818,0.004737476245734563,0.007309771441315085
Austria,Turin,2006,0.755868559,16,7,7,30,69,0.09090909090909091,0.05649717514124294,0.06503298774740811,0.1951219512195122,0.17786841408660695,0.19045390799771372
