Year,Host_City,Host_Country,Summer,Winter,Discipline,Sport,Event,Ath_Name,Gender,NOC,Home_Adv,Medal,Gold,Silver,Bronze,Total_Medals,Age
2010,Vancouver,CAN,False,True,Bobsleigh,Bobsleigh,two-man,"ADJEI, Richard",M,GER,False,Silver,0,1,0,1,27.0
2010,Vancouver,CAN,False,True,Bobsleigh,Bobsleigh,two-man,"VOEVODA, Alexey",M,RUS,False,Bronze,0,0,1,1,30.0
2010,Vancouver,CAN,False,True,Alpine Skiing,Skiing,super-G,"WEIBRECHT, Andrew",M,USA,False,Bronze,0,0,1,1,24.0
2010,Vancouver,CAN,False,True,Alpine Skiing,Skiing,slalom,"KOSTELIC, Ivica",M,CRO,False,Silver,0,2,0,2,31.0
2010,Vancouver,CAN,False,True,Alpine Skiing,Skiing,slalom,"MYHRER, Andre",M,SWE,False,Bronze,0,0,1,1,27.0
2010,Vancouver,CAN,False,True,Alpine Skiing,Skiing,slalom,"RAZZOLI, Giuliano",M,ITA,False,Gold,1,0,0,1,26.0
2010,Vancouver,CAN,False,True,Luge,Luge,singles,"LOCH, Felix",M,GER,False,Gold,1,0,0,1,21.0
2010,Vancouver,CAN,False,True,Luge,Luge,singles,"MOELLER, David",M,GER,False,Silver,0,1,0,1,28.0
2010,Vancouver,CAN,False,True,Luge,Luge,singles,"ZOEGGELER, Armin",M,ITA,False,Bronze,0,0,1,1,36.0
2010,Vancouver,CAN,False,True,Figure skating,Skating,pairs,"SZOLKOWY, Robin",M,GER,False,Bronze,0,0,1,1,31.0
2010,Vancouver,CAN,False,True,Figure skating,Skating,pairs,"TONG, Jian",M,CHN,False,Silver,0,1,0,1,31.0
2010,Vancouver,CAN,False,True,Figure skating,Skating,pairs,"ZHAO, Hongbo",M,CHN,False,Gold,1,0,0,1,37.0
2010,Vancouver,CAN,False,True,Freestyle Skiing,Skiing,moguls,"BEGG-SMITH, Dale",M,AUS,False,Silver,0,1,0,1,
2010,Vancouver,CAN,False,True,Freestyle Skiing,Skiing,moguls,"BILODEAU, Alexandre",M,CAN,True,Gold,1,0,0,1,23.0
2010,Vancouver,CAN,False,True,Freestyle Skiing,Skiing,moguls,"WILSON, Bryon",M,USA,False,Bronze,0,0,1,1,22.0
2010,Vancouver,CAN,False,True,Nordic Combined,Skiing,"individual, ski jumping K90 (70m)","LAMY CHAPPUIS, Jason",M,FRA,False,Gold,1,0,0,1,24.0
2010,Vancouver,CAN,False,True,Nordic Combined,Skiing,"individual, ski jumping K90 (70m)","PITTIN, Alessandro",M,ITA,False,Bronze,0,0,1,1,20.0
2010,Vancouver,CAN,False,True,Nordic Combined,Skiing,"individual, ski jumping K90 (70m)","SPILLANE, Johnny",M,USA,False,Silver,0,3,0,3,30.0
2010,Vancouver,CAN,False,True,Skeleton,Bobsleigh,individual,"DUKURS, Martins",M,LAT,False,Silver,0,1,0,1,26.0
