NOC,M,F,Total,Year,Host_Country,Host_City,Summer,Winter
EGY,74,0,74,1960,ITA,Rome,True,False
ETH,9,0,9,1960,ITA,Rome,True,False
GHA,13,0,13,1960,ITA,Rome,True,False
KEN,28,0,28,1960,ITA,Rome,True,False
LBR,4,0,4,1960,ITA,Rome,True,False
MAR,48,0,48,1960,ITA,Rome,True,False
NGR,12,0,12,1960,ITA,Rome,True,False
UGA,10,0,10,1960,ITA,Rome,True,False
RSA,35,2,37,1960,ITA,Rome,True,False
SUD,10,0,10,1960,ITA,Rome,True,False
TUN,43,0,43,1960,ITA,Rome,True,False
ZIM,9,5,14,1960,ITA,Rome,True,False
AHO,5,0,5,1960,ITA,Rome,True,False
ARG,91,0,91,1960,ITA,Rome,True,False
BAH,13,0,13,1960,ITA,Rome,True,False
BER,8,0,8,1960,ITA,Rome,True,False
BRA,70,1,71,1960,ITA,Rome,True,False
CAN,74,11,85,1960,ITA,Rome,True,False
CHI,8,1,9,1960,ITA,Rome,True,False
COL,16,0,16,1960,ITA,Rome,True,False
CUB,9,3,12,1960,ITA,Rome,True,False
GUY,3,1,4,1960,ITA,Rome,True,False
HAI,1,0,1,1960,ITA,Rome,True,False
MEX,67,6,73,1960,ITA,Rome,True,False
PAN,2,4,6,1960,ITA,Rome,True,False
PER,31,0,31,1960,ITA,Rome,True,False
PUR,27,1,28,1960,ITA,Rome,True,False
URU,34,0,34,1960,ITA,Rome,True,False
USA,243,51,294,1960,ITA,Rome,True,False
VEN,41,5,46,1960,ITA,Rome,True,False
BWI,8,0,8,1960,ITA,Rome,True,False
AFG,7,0,7,1960,ITA,Rome,True,False
BIR,10,0,10,1960,ITA,Rome,True,False
CEY,5,0,5,1960,ITA,Rome,True,False
TPE,25,3,28,1960,ITA,Rome,True,False
KOR,33,1,34,1960,ITA,Rome,True,False
HKG,4,0,4,1960,ITA,Rome,True,False
IND,45,0,45,1960,ITA,Rome,True,False
INA,21,2,23,1960,ITA,Rome,True,False
IRI,23,0,23,1960,ITA,Rome,True,False
IRQ,21,0,21,1960,ITA,Rome,True,False
JPN,142,20,162,1960,ITA,Rome,True,False
LBN,19,0,19,1960,ITA,Rome,True,False
MAL,9,0,9,1960,ITA,Rome,True,False
PAK,46,0,46,1960,ITA,Rome,True,False
PHI,36,4,40,1960,ITA,Rome,True,False
SGP,5,0,5,1960,ITA,Rome,True,False
THA,20,0,20,1960,ITA,Rome,True,False
VIE,3,0,3,1960,ITA,Rome,True,False
AUT,83,21,104,1960,ITA,Rome,True,False
BEL,86,8,94,1960,ITA,Rome,True,False
BUL,94,9,103,1960,ITA,Rome,True,False
DEN,98,12,110,1960,ITA,Rome,True,False
ESP,133,11,144,1960,ITA,Rome,True,False
FIN,108,10,118,1960,ITA,Rome,True,False
FRA,209,28,237,1960,ITA,Rome,True,False
EUA,232,56,288,1960,ITA,Rome,True,False
GBR,207,46,253,1960,ITA,Rome,True,False
GRE,48,0,48,1960,ITA,Rome,True,False
HUN,162,27,189,1960,ITA,Rome,True,False
IRL,47,2,49,1960,ITA,Rome,True,False
ISL,8,1,9,1960,ITA,Rome,True,False
ISR,17,6,23,1960,ITA,Rome,True,False
ITA,252,34,286,1960,ITA,Rome,True,False
LIE,5,0,5,1960,ITA,Rome,True,False
LUX,47,5,52,1960,ITA,Rome,True,False
MLT,9,0,9,1960,ITA,Rome,True,False
MON,11,0,11,1960,ITA,Rome,True,False
NOR,40,1,41,1960,ITA,Rome,True,False
NED,65,30,95,1960,ITA,Rome,True,False
POL,133,29,162,1960,ITA,Rome,True,False
POR,60,5,65,1960,ITA,Rome,True,False
ROU,92,16,108,1960,ITA,Rome,True,False
SMR,8,0,8,1960,ITA,Rome,True,False
SWE,118,19,137,1960,ITA,Rome,True,False
SUI,147,2,149,1960,ITA,Rome,True,False
TCH,100,17,117,1960,ITA,Rome,True,False
TUR,45,3,48,1960,ITA,Rome,True,False
URS,236,50,286,1960,ITA,Rome,True,False
YUG,107,9,116,1960,ITA,Rome,True,False
AUS,165,29,194,1960,ITA,Rome,True,False
FIJ,2,0,2,1960,ITA,Rome,True,False
NZL,33,4,37,1960,ITA,Rome,True,False
ALG,1,0,1,1964,JPN,Tokyo,True,False
CMR,1,0,1,1964,JPN,Tokyo,True,False
CGO,2,0,2,1964,JPN,Tokyo,True,False
CIV,9,0,9,1964,JPN,Tokyo,True,False
EGY,73,0,73,1964,JPN,Tokyo,True,False
ETH,13,0,13,1964,JPN,Tokyo,True,False
GHA,30,3,33,1964,JPN,Tokyo,True,False
KEN,37,0,37,1964,JPN,Tokyo,True,False
LBR,1,0,1,1964,JPN,Tokyo,True,False
MAD,3,0,3,1964,JPN,Tokyo,True,False
MAR,20,0,20,1964,JPN,Tokyo,True,False
MLI,2,0,2,1964,JPN,Tokyo,True,False
NIG,1,0,1,1964,JPN,Tokyo,True,False
NGR,15,2,17,1964,JPN,Tokyo,True,False
UGA,11,2,13,1964,JPN,Tokyo,True,False
RHN,11,1,12,1964,JPN,Tokyo,True,False
SEN,12,0,12,1964,JPN,Tokyo,True,False
TGK,3,0,3,1964,JPN,Tokyo,True,False
CHA,2,0,2,1964,JPN,Tokyo,True,False
TUN,9,0,9,1964,JPN,Tokyo,True,False
ZIM,25,4,29,1964,JPN,Tokyo,True,False
AHO,4,0,4,1964,JPN,Tokyo,True,False
ARG,95,6,101,1964,JPN,Tokyo,True,False
BAH,10,0,10,1964,JPN,Tokyo,True,False
BER,4,0,4,1964,JPN,Tokyo,True,False
BOL,1,0,1,1964,JPN,Tokyo,True,False
BRA,61,1,62,1964,JPN,Tokyo,True,False
CAN,96,20,116,1964,JPN,Tokyo,True,False
CHI,15,0,15,1964,JPN,Tokyo,True,False
COL,20,0,20,1964,JPN,Tokyo,True,False
CRC,5,0,5,1964,JPN,Tokyo,True,False
CUB,26,2,28,1964,JPN,Tokyo,True,False
DOM,1,0,1,1964,JPN,Tokyo,True,False
GUY,1,0,1,1964,JPN,Tokyo,True,False
JAM,17,4,21,1964,JPN,Tokyo,True,False
MEX,80,4,84,1964,JPN,Tokyo,True,False
PAN,6,4,10,1964,JPN,Tokyo,True,False
PER,30,1,31,1964,JPN,Tokyo,True,False
PUR,30,2,32,1964,JPN,Tokyo,True,False
TTO,12,0,12,1964,JPN,Tokyo,True,False
URU,23,0,23,1964,JPN,Tokyo,True,False
USA,266,79,345,1964,JPN,Tokyo,True,False
VEN,15,1,16,1964,JPN,Tokyo,True,False
AFG,8,0,8,1964,JPN,Tokyo,True,False
BIR,11,0,11,1964,JPN,Tokyo,True,False
CAM,13,0,13,1964,JPN,Tokyo,True,False
CEY,6,0,6,1964,JPN,Tokyo,True,False
TPE,37,3,40,1964,JPN,Tokyo,True,False
KOR,128,26,154,1964,JPN,Tokyo,True,False
HKG,37,1,38,1964,JPN,Tokyo,True,False
IND,52,1,53,1964,JPN,Tokyo,True,False
IRI,57,4,61,1964,JPN,Tokyo,True,False
IRQ,13,0,13,1964,JPN,Tokyo,True,False
JPN,271,56,327,1964,JPN,Tokyo,True,False
LBN,5,0,5,1964,JPN,Tokyo,True,False
MAS,58,4,62,1964,JPN,Tokyo,True,False
MGL,17,4,21,1964,JPN,Tokyo,True,False
NEP,6,0,6,1964,JPN,Tokyo,True,False
PAK,41,0,41,1964,JPN,Tokyo,True,False
PHI,40,7,47,1964,JPN,Tokyo,True,False
THA,47,7,54,1964,JPN,Tokyo,True,False
VIE,16,0,16,1964,JPN,Tokyo,True,False
AUT,45,11,56,1964,JPN,Tokyo,True,False
BEL,50,1,51,1964,JPN,Tokyo,True,False
BUL,58,7,65,1964,JPN,Tokyo,True,False
DEN,54,7,61,1964,JPN,Tokyo,True,False
ESP,48,3,51,1964,JPN,Tokyo,True,False
FIN,84,5,89,1964,JPN,Tokyo,True,False
FRA,120,20,140,1964,JPN,Tokyo,True,False
EUA,272,63,335,1964,JPN,Tokyo,True,False
GBR,160,44,204,1964,JPN,Tokyo,True,False
GRE,18,0,18,1964,JPN,Tokyo,True,False
HUN,152,32,184,1964,JPN,Tokyo,True,False
IRL,24,1,25,1964,JPN,Tokyo,True,False
ISL,3,1,4,1964,JPN,Tokyo,True,False
ISR,8,2,10,1964,JPN,Tokyo,True,False
ITA,158,11,169,1964,JPN,Tokyo,True,False
LIE,2,0,2,1964,JPN,Tokyo,True,False
LUX,11,2,13,1964,JPN,Tokyo,True,False
