Year,Host_City,Host_Country,Total_Males,Total_Females,Total_Athletes,Summer,Winter,Discipline,Sport,Ath_Name,Gender,NOC,Home_Adv,Gold,Silver,Bronze,Total_Medals,NOC_Gold,NOC_Silver,NOC_Bronze,NOC_Total_Medals,NOC_Rating,NOC_Rank
1960,Rome,ITA,4727,611,5338,True,False,Sailing,Sailing,"CALEGARIS, Hector",Men,ARG,False,0,1,0,1,0,1,1,2,3,27
1960,Rome,ITA,4727,611,5338,True,False,Boxing,Boxing,"LAUDONIO, Abel",Men,ARG,False,0,0,1,1,0,1,1,2,3,27
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"JONES, Brenda",Women,AUS,False,0,1,0,1,9,12,8,29,59,5
1960,Rome,ITA,4727,611,5338,True,False,Swimming,Aquatics,"LASSIG, Rosemary",Women,AUS,False,0,1,0,1,9,12,8,29,59,5
1960,Rome,ITA,4727,611,5338,True,False,Swimming,Aquatics,"COLQUHOUN, Alva",Women,AUS,False,0,1,0,1,9,12,8,29,59,5
1960,Rome,ITA,4727,611,5338,True,False,Swimming,Aquatics,"FRASER, Dawn",Women,AUS,False,1,2,0,3,9,12,8,29,59,5
1960,Rome,ITA,4727,611,5338,True,False,Swimming,Aquatics,"ANDREW, Janice",Women,AUS,False,0,1,1,2,9,12,8,29,59,5
1960,Rome,ITA,4727,611,5338,True,False,Eventing,Equestrian,"ROYCROFT, Bill",Men,AUS,False,1,0,0,1,9,12,8,29,59,5
1960,Rome,ITA,4727,611,5338,True,False,Eventing,Equestrian,"LAVIS, Neale",Men,AUS,False,1,1,0,2,9,12,8,29,59,5
1960,Rome,ITA,4727,611,5338,True,False,Eventing,Equestrian,"MORGAN, Lawrence",Men,AUS,False,2,0,0,2,9,12,8,29,59,5
1960,Rome,ITA,4727,611,5338,True,False,Boxing,Boxing,"MADIGAN, Anthony",Men,AUS,False,0,0,1,1,9,12,8,29,59,5
1960,Rome,ITA,4727,611,5338,True,False,Boxing,Boxing,"TAYLOR, Oliver",Men,AUS,False,0,0,1,1,9,12,8,29,59,5
1960,Rome,ITA,4727,611,5338,True,False,Swimming,Aquatics,"DICKSON, David",Men,AUS,False,0,0,1,1,9,12,8,29,59,5
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"FREEMAN, Noel",Men,AUS,False,0,1,0,1,9,12,8,29,59,5
1960,Rome,ITA,4727,611,5338,True,False,Swimming,Aquatics,"HAYES, Neville",Men,AUS,False,0,2,0,2,9,12,8,29,59,5
1960,Rome,ITA,4727,611,5338,True,False,Swimming,Aquatics,"KONRADS, John",Men,AUS,False,1,0,2,3,9,12,8,29,59,5
1960,Rome,ITA,4727,611,5338,True,False,Swimming,Aquatics,"ROSE, Murray",Men,AUS,False,1,1,1,3,9,12,8,29,59,5
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"ELLIOTT, Herb",Men,AUS,False,1,0,0,1,9,12,8,29,59,5
1960,Rome,ITA,4727,611,5338,True,False,Swimming,Aquatics,"THEILE, David",Men,AUS,False,1,1,0,2,9,12,8,29,59,5
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"POWER, David",Men,AUS,False,0,0,1,1,9,12,8,29,59,5
1960,Rome,ITA,4727,611,5338,True,False,Rowing,Rowing,"KLOIMSTEIN, Josef",Men,AUT,False,0,1,0,1,1,1,0,2,5,21
1960,Rome,ITA,4727,611,5338,True,False,Shooting,Shooting,"HAMMERER, Hubert",Men,AUT,False,1,0,0,1,1,1,0,2,5,21
1960,Rome,ITA,4727,611,5338,True,False,Cycling Road,Cycling,"VAN DEN BERGHEN, Willy",Men,BEL,False,0,0,1,1,0,2,2,4,6,20
1960,Rome,ITA,4727,611,5338,True,False,Cycling Track,Cycling,"STERCKX, Leo",Men,BEL,False,0,1,0,1,0,2,2,4,6,20
1960,Rome,ITA,4727,611,5338,True,False,Sailing,Sailing,"NELIS, Andre",Men,BEL,False,0,0,1,1,0,2,2,4,6,20
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"MOENS, Roger",Men,BEL,False,0,1,0,1,0,2,2,4,6,20
1960,Rome,ITA,4727,611,5338,True,False,Basketball,Basketball,"BISPO DOS SANTOS, Edson",Men,BRA,False,0,0,1,1,0,0,2,2,2,32
1960,Rome,ITA,4727,611,5338,True,False,Swimming,Aquatics,"DOS SANTOS, Manoel",Men,BRA,False,0,0,1,1,0,0,2,2,2,32
1960,Rome,ITA,4727,611,5338,True,False,Gymnastics Artistic,Gymnastics,"KAPSAZOV, Velik",Men,BUL,False,0,0,1,1,1,3,3,7,12,15
1960,Rome,ITA,4727,611,5338,True,False,Wrestling Greco-Roman,Wrestling,"BIMBALOV, Krali Peytchev",Men,BUL,False,0,1,0,1,1,3,3,7,12,15
1960,Rome,ITA,4727,611,5338,True,False,Wrestling Greco-Roman,Wrestling,"DOBREV, Dimitar",Men,BUL,False,1,0,0,1,1,3,3,7,12,15
1960,Rome,ITA,4727,611,5338,True,False,Wrestling Freestyle,Wrestling,"VALTCHEV, Enyu Dimov",Men,BUL,False,0,0,1,1,1,3,3,7,12,15
1960,Rome,ITA,4727,611,5338,True,False,Wrestling Freestyle,Wrestling,"KOLEV, Stancho Ivanov",Men,BUL,False,0,1,0,1,1,3,3,7,12,15
1960,Rome,ITA,4727,611,5338,True,False,Wrestling Greco-Roman,Wrestling,"STOYKOV, Dinko Petrov",Men,BUL,False,0,0,1,1,1,3,3,7,12,15
1960,Rome,ITA,4727,611,5338,True,False,Wrestling Freestyle,Wrestling,"ZALEV, Nedjet",Men,BUL,False,0,1,0,1,1,3,3,7,12,15
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"GARDNER, Keith",Men,BWI,False,0,0,1,1,0,0,1,1,1,40
1960,Rome,ITA,4727,611,5338,True,False,Rowing,Rowing,"ARNOLD, Donald",Men,CAN,False,0,1,0,1,0,1,0,1,2,33
1960,Rome,ITA,4727,611,5338,True,False,Football,Football,"ANDERSEN, Paul Kuhlmann",Men,DEN,False,0,1,0,1,2,3,2,7,14,13
1960,Rome,ITA,4727,611,5338,True,False,Sailing,Sailing,"FOGH, Hans",Men,DEN,False,0,1,0,1,2,3,2,7,14,13
1960,Rome,ITA,4727,611,5338,True,False,Canoe Sprint,Canoe,"HØYER, Arne",Men,DEN,False,0,0,1,1,2,3,2,7,14,13
1960,Rome,ITA,4727,611,5338,True,False,Canoe Sprint,Canoe,"HANSEN, Erik",Men,DEN,False,1,0,1,2,2,3,2,7,14,13
1960,Rome,ITA,4727,611,5338,True,False,Sailing,Sailing,"ELVSTROM, Paul",Men,DEN,False,1,0,0,1,2,3,2,7,14,13
1960,Rome,ITA,4727,611,5338,True,False,Sailing,Sailing,"BERNTSEN, William",Men,DEN,False,0,1,0,1,2,3,2,7,14,13
1960,Rome,ITA,4727,611,5338,True,False,Wrestling Greco-Roman,Wrestling,"SAYED, Osman",Men,EGY,False,0,1,0,1,0,1,1,2,3,28
1960,Rome,ITA,4727,611,5338,True,False,Boxing,Boxing,"EL GINDY, Abdel Moneim",Men,EGY,False,0,0,1,1,0,1,1,2,3,28
1960,Rome,ITA,4727,611,5338,True,False,Hockey,Hockey,"AMAT, Pedro",Men,ESP,False,0,0,1,1,0,0,1,1,1,41
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"BIKILA, Abebe",Men,ETH,False,1,0,0,1,1,0,0,1,3,29
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"LÜTTGE, Johanna",Women,EUA,False,0,1,0,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"CLAUS, Hildrun",Women,EUA,False,0,0,1,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Fencing,Fencing,"SCHMID, Heidi",Women,EUA,False,1,0,0,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Canoe Sprint,Canoe,"HARTMANN, Ingrid",Women,EUA,False,0,1,0,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Canoe Sprint,Canoe,"ZENZ, Therese",Women,EUA,False,0,2,0,2,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"KÖHLER, Gisela",Women,EUA,False,0,0,1,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"DONATH, Ursula",Women,EUA,False,0,0,1,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"BIECHL, Anni",Women,EUA,False,0,1,0,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Swimming,Aquatics,"FUHRMANN, Bärbel",Women,EUA,False,0,0,1,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Swimming,Aquatics,"BRUNNER, Ursula",Women,EUA,False,0,0,2,2,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Swimming,Aquatics,"GÖBEL, Barbara",Women,EUA,False,0,0,1,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Swimming,Aquatics,"URSELMANN, Wiltrud",Women,EUA,False,0,1,0,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"HEINE, Jutta",Women,EUA,False,0,2,0,2,13,22,12,47,95,3
