Year,Host_City,Host_Country,NOC,Summer,Winter,Gold,Silver,Bronze,Total_Medals,Rating,Rank
2018,PyeongChang,KOR,NOR,False,True,22,17,12,51,112,1
2018,PyeongChang,KOR,GER,False,True,16,11,10,37,80,2
2018,PyeongChang,KOR,CAN,False,True,13,7,10,30,63,3
2018,PyeongChang,KOR,NED,False,True,7,8,9,24,46,4
2018,PyeongChang,KOR,SWE,False,True,7,10,1,18,42,5
2018,PyeongChang,KOR,USA,False,True,7,7,7,21,42,6
2018,PyeongChang,KOR,OAR,False,True,2,12,9,23,39,7
2018,PyeongChang,KOR,FRA,False,True,7,4,7,18,36,8
2018,PyeongChang,KOR,KOR,False,True,4,9,4,17,34,9
2018,PyeongChang,KOR,JPN,False,True,6,5,4,15,32,10
2018,PyeongChang,KOR,AUT,False,True,5,3,6,14,27,11
2018,PyeongChang,KOR,SUI,False,True,5,4,3,12,26,12
2018,PyeongChang,KOR,ITA,False,True,3,3,6,12,21,13
2018,PyeongChang,KOR,CZE,False,True,2,2,3,7,13,14
2018,PyeongChang,KOR,CHN,False,True,0,5,2,7,12,15
2018,PyeongChang,KOR,BLR,False,True,3,1,0,4,11,16
2018,PyeongChang,KOR,FIN,False,True,1,1,4,6,9,17
2018,PyeongChang,KOR,SVK,False,True,1,2,0,3,7,18
2018,PyeongChang,KOR,GBR,False,True,1,0,3,4,6,19
2018,PyeongChang,KOR,AUS,False,True,0,2,1,3,5,20
2018,PyeongChang,KOR,POL,False,True,1,0,2,3,5,21
2018,PyeongChang,KOR,HUN,False,True,1,0,0,1,3,22
2018,PyeongChang,KOR,SLO,False,True,0,1,1,2,3,23
2018,PyeongChang,KOR,UKR,False,True,1,0,0,1,3,24
2018,PyeongChang,KOR,BEL,False,True,0,1,0,1,2,25
2018,PyeongChang,KOR,ESP,False,True,0,0,2,2,2,26
2018,PyeongChang,KOR,NZL,False,True,0,0,2,2,2,27
2018,PyeongChang,KOR,KAZ,False,True,0,0,1,1,1,28
2018,PyeongChang,KOR,LAT,False,True,0,0,1,1,1,29
2018,PyeongChang,KOR,LIE,False,True,0,0,1,1,1,30
2016,Rio,BRA,USA,True,False,62,41,37,140,305,1
2016,Rio,BRA,GBR,True,False,30,27,17,74,161,2
2016,Rio,BRA,CHN,True,False,23,19,24,66,131,3
2016,Rio,BRA,RUS,True,False,23,18,19,60,124,4
2016,Rio,BRA,GER,True,False,20,12,15,47,99,5
2016,Rio,BRA,FRA,True,False,12,16,14,42,82,6
2016,Rio,BRA,JPN,True,False,13,9,22,44,79,7
2016,Rio,BRA,AUS,True,False,9,14,13,36,68,8
2016,Rio,BRA,ITA,True,False,8,13,8,29,58,9
2016,Rio,BRA,HUN,True,False,11,3,5,19,44,10
2016,Rio,BRA,KOR,True,False,9,3,9,21,42,11
2016,Rio,BRA,BRA,True,False,7,7,6,20,41,12
2016,Rio,BRA,NED,True,False,7,7,4,18,39,13
