NOC,Summer,Winter,Gold,Silver,Bronze,Total_Medals,Rating,Rank
USA,True,False,717,464,400,1581,3479,1
URS,True,False,382,264,238,884,1912,2
CHN,True,False,215,173,145,533,1136,3
AUS,True,False,139,170,176,485,933,4
GBR,True,False,141,158,170,469,909,5
GDR,True,False,170,136,126,432,908,6
RUS,True,False,154,137,150,441,886,7
GER,True,False,145,118,154,417,825,8
ITA,True,False,142,117,147,406,807,9
JPN,True,False,144,107,153,404,799,10
FRA,True,False,117,122,159,398,754,11
HUN,True,False,128,105,117,350,711,12
ROU,True,False,84,98,121,303,569,13
KOR,True,False,99,83,79,261,542,14
POL,True,False,66,72,115,253,457,15
FRG,True,False,64,77,88,229,434,16
CUB,True,False,73,64,77,214,424,17
BUL,True,False,50,83,78,211,394,18
NED,True,False,58,73,72,203,392,19
CAN,True,False,39,74,103,216,368,20
SWE,True,False,34,69,54,157,294,21
ESP,True,False,43,60,42,145,291,22
EUN,True,False,52,42,32,126,272,23
NZL,True,False,46,28,43,117,237,24
UKR,True,False,35,33,57,125,228,25
BRA,True,False,27,35,58,120,209,26
EUA,True,False,25,50,32,107,207,27
KEN,True,False,29,35,30,94,187,28
DEN,True,False,27,31,41,99,184,29
TCH,True,False,28,28,28,84,168,30
SUI,True,False,18,37,27,82,155,31
FIN,True,False,25,20,30,75,145,32
JAM,True,False,15,39,20,74,143,33
TUR,True,False,27,18,22,67,139,34
YUG,True,False,23,21,28,72,139,35
NOR,True,False,25,22,18,65,137,36
BLR,True,False,13,27,38,78,131,37
GRE,True,False,21,22,17,60,124,38
KAZ,True,False,14,21,26,61,110,39
IRI,True,False,17,17,22,56,107,40
CZE,True,False,15,17,25,57,104,41
PRK,True,False,16,16,22,54,102,42
ETH,True,False,19,10,20,49,97,43
BEL,True,False,11,17,25,53,92,44
MEX,True,False,10,19,24,53,92,45
RSA,True,False,10,18,11,39,77,46
AUT,True,False,8,16,13,37,69,47
AZE,True,False,7,11,25,43,68,48
CRO,True,False,11,10,12,33,65,49
ARG,True,False,8,10,18,36,62,50
THA,True,False,9,8,16,33,59,51
SVK,True,False,9,12,7,28,58,52
GEO,True,False,8,8,17,33,57,53
INA,True,False,6,13,12,31,56,54
UZB,True,False,8,6,17,31,53,55
COL,True,False,5,8,15,28,46,56
LTU,True,False,6,7,12,25,44,57
NGR,True,False,3,10,13,26,42,58
SLO,True,False,5,8,10,23,41,59
TPE,True,False,5,7,12,24,41,60
IRL,True,False,5,8,9,22,40,61
MAR,True,False,6,5,12,23,40,62
MGL,True,False,2,10,14,26,40,63
