Ath_Name,Host_City,Discipline,Event,Event_Gender,Gender,Medal,NOC,Sport,Summer,Winter,Year
"WEBSTER, Robert",Rome,Diving,10m platform,M,Men,Gold,USA,Aquatics,True,False,1960
"TOBIAN, Gary",Rome,Diving,10m platform,M,Men,Silver,USA,Aquatics,True,False,1960
"PHELPS, Brian",Rome,Diving,10m platform,M,Men,Bronze,GBR,Aquatics,True,False,1960
"KRÄMER, Ingrid",Rome,Diving,10m platform,W,Women,Gold,EUA,Aquatics,True,False,1960
"MYERS-POPE, Paula Jean",Rome,Diving,10m platform,W,Women,Silver,USA,Aquatics,True,False,1960
"KRUTOVA, Ninel Vasilyevna",Rome,Diving,10m platform,W,Women,Bronze,URS,Aquatics,True,False,1960
"TOBIAN, Gary",Rome,Diving,3m springboard,M,Men,Gold,USA,Aquatics,True,False,1960
"HALL, Samuel",Rome,Diving,3m springboard,M,Men,Silver,USA,Aquatics,True,False,1960
"BOTELLA, Juan",Rome,Diving,3m springboard,M,Men,Bronze,MEX,Aquatics,True,False,1960
"KRÄMER, Ingrid",Rome,Diving,3m springboard,W,Women,Gold,EUA,Aquatics,True,False,1960
"MYERS-POPE, Paula Jean",Rome,Diving,3m springboard,W,Women,Silver,USA,Aquatics,True,False,1960
"FERRIS, Elizabeth",Rome,Diving,3m springboard,W,Women,Bronze,GBR,Aquatics,True,False,1960
"THEILE, David",Rome,Swimming,100m backstroke,M,Men,Gold,AUS,Aquatics,True,False,1960
"MCKINNEY, Frank",Rome,Swimming,100m backstroke,M,Men,Silver,USA,Aquatics,True,False,1960
"BENNETT, Robert",Rome,Swimming,100m backstroke,M,Men,Bronze,USA,Aquatics,True,False,1960
"BURKE, Lynn",Rome,Swimming,100m backstroke,W,Women,Gold,USA,Aquatics,True,False,1960
"STEWARD, Natalie",Rome,Swimming,100m backstroke,W,Women,Silver,GBR,Aquatics,True,False,1960
"TANAKA, Satoko",Rome,Swimming,100m backstroke,W,Women,Bronze,JPN,Aquatics,True,False,1960
"SCHULER, Carolyn",Rome,Swimming,100m butterfly,W,Women,Gold,USA,Aquatics,True,False,1960
"HEEMSKERK, Marianne",Rome,Swimming,100m butterfly,W,Women,Silver,NED,Aquatics,True,False,1960
"ANDREW, Janice",Rome,Swimming,100m butterfly,W,Women,Bronze,AUS,Aquatics,True,False,1960
"DEVITT, John",Rome,Swimming,100m freestyle,M,Men,Gold,AUS,Aquatics,True,False,1960
"LARSON, Lance",Rome,Swimming,100m freestyle,M,Men,Silver,USA,Aquatics,True,False,1960
"DOS SANTOS, Manoel",Rome,Swimming,100m freestyle,M,Men,Bronze,BRA,Aquatics,True,False,1960
"FRASER, Dawn",Rome,Swimming,100m freestyle,W,Women,Gold,AUS,Aquatics,True,False,1960
"VON SALTZA, Chris",Rome,Swimming,100m freestyle,W,Women,Silver,USA,Aquatics,True,False,1960
"STEWARD, Natalie",Rome,Swimming,100m freestyle,W,Women,Bronze,GBR,Aquatics,True,False,1960
"KONRADS, John",Rome,Swimming,1500m freestyle,M,Men,Gold,AUS,Aquatics,True,False,1960
"ROSE, Murray",Rome,Swimming,1500m freestyle,M,Men,Silver,AUS,Aquatics,True,False,1960
