"Data Source","World Development Indicators",

"Last Updated Date","2018-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"British Virgin Islands","VGB","Share of tariff lines with specific rates, manufactured products (%)","TM.TAX.MANF.SR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"British Virgin Islands","VGB","Tariff rate, most favored nation, simple mean, manufactured products (%)","TM.TAX.MANF.SM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"British Virgin Islands","VGB","Tariff rate, applied, simple mean, manufactured products (%)","TM.TAX.MANF.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"British Virgin Islands","VGB","Share of tariff lines with international peaks, manufactured products (%)","TM.TAX.MANF.IP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"British Virgin Islands","VGB","Bound rate, simple mean, manufactured products (%)","TM.TAX.MANF.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"British Virgin Islands","VGB","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"British Virgin Islands","VGB","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","89.79468012","92.84972218","79.70850225","93.22615962","74.33679964","67.23124739","64.96328921","57.64360234","49.97030669","46.26914163","44.88382056","42.45665782","51.90905616","47.11959798","33.17138653","36.2242314","",
"British Virgin Islands","VGB","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"British Virgin Islands","VGB","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"British Virgin Islands","VGB","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40000000","","","","","","","","","","","","","","","","","","","","","","",
"British Virgin Islands","VGB","International tourism, expenditures for travel items (current US$)","ST.INT.TVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"British Virgin Islands","VGB","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"British Virgin Islands","VGB","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"British Virgin Islands","VGB","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"British Virgin Islands","VGB","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"British Virgin Islands","VGB","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","211000000","227000000","220000000","255000000","339000000","345000000","401000000","345000000","342000000","393000000","412000000","438000000","451000000","446000000","374000000","389000000","388000000","398000000","421000000","459000000","484000000","","",
"British Virgin Islands","VGB","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79000","","","","","","","","","","","171000","166000","166000","140000","151000","145000","139000","","","","","",
"British Virgin Islands","VGB","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","219000","244000","244000","279000","284000","272000","296000","282000","278000","304000","337000","356000","358000","346000","309000","330000","338000","351000","366000","386000","393000","408000","",
"British Virgin Islands","VGB","Unmet need for contraception (% of married women ages 15-49)","SP.UWT.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"British Virgin Islands","VGB","Urban population (% of total)","SP.URB.TOTL.IN.ZS","12.228","12.618","13.019","13.43","13.854","14.287","14.732","15.188","15.657","16.135","16.635","17.174","17.728","18.294","18.875","19.47","20.081","20.703","21.34","21.992","22.741","24.039","25.389","26.788","28.237","29.728","31.266","32.846","34.468","36.123","37.814","39.334","39.603","39.872","40.142","40.413","40.684","40.955","41.228","41.5","41.774","42.048","42.324","42.604","42.887","43.173","43.462","43.753","44.048","44.345","44.645","44.948","45.253","45.562","45.872","46.186","46.502","",
"British Virgin Islands","VGB","Urban population","SP.URB.TOTL","982","1029","1080","1135","1195","1259","1327","1400","1476","1552","1631","1712","1795","1878","1959","2040","2117","2193","2275","2373","2502","2720","2974","3265","3595","3955","4358","4792","5262","5744","6225","6661","6869","7059","7246","7447","7662","7892","8131","8378","8624","8866","9112","9373","9667","10002","10390","10821","11278","11728","12154","12541","12901","13238","13573","13908","14258","",
"British Virgin Islands","VGB","Urban population growth (annual %)","SP.URB.GROW","2.57879169015117","4.67514274795836","4.83735842842157","4.96716097972376","5.1513534450108","5.21715696787361","5.26030002878603","5.35514812711424","5.28634895570678","5.02086955827462","4.96489018778499","4.84689540806735","4.73427442206919","4.52023588458289","4.22267581763325","4.05156688937214","3.70501842966032","3.52704772830231","3.67095829671626","4.21749250507127","5.29354345910929","8.35414682631865","8.92759677300573","9.3351914690431","9.62842284446157","9.54366100466072","9.7032635302811","9.49346242907201","9.35633218049527","8.7644649127822","8.04176106048483","6.7696181080271","3.07489118007023","2.72848631815906","2.61461940595504","2.73616742556229","2.84617795499488","2.95765418819117","2.98343290653316","2.99253052991427","2.89397916417983","2.76747221562205","2.73684898220192","2.82409896194676","3.08848077181196","3.40670495142436","3.80587321144241","4.06448854783756","4.13652347954787","3.91252197593053","3.56791885688679","3.13449431287492","2.83015509010868","2.57866539537316","2.49910436190971","2.43816888297869","2.48539385498218","",
"British Virgin Islands","VGB","Rural population (% of total population)","SP.RUR.TOTL.ZS","87.772","87.382","86.981","86.57","86.146","85.713","85.268","84.812","84.343","83.865","83.365","82.826","82.272","81.706","81.125","80.53","79.919","79.297","78.66","78.008","77.259","75.961","74.611","73.212","71.763","70.272","68.734","67.154","65.532","63.877","62.186","60.666","60.397","60.128","59.858","59.587","59.316","59.045","58.772","58.5","58.226","57.952","57.676","57.396","57.113","56.827","56.538","56.247","55.952","55.655","55.355","55.052","54.747","54.438","54.128","53.814","53.498","",
