"Data Source","World Development Indicators",

"Last Updated Date","2018-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Colombia","COL","Mobile account, income, richest 60% (% ages 15+)","WP15163_4.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.107964","","","",
"Colombia","COL","Mobile account, income, poorest 40% (% ages 15+)","WP15163_4.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.36483","","","",
"Colombia","COL","Mobile account, female (% age 15+)","WP15163_4.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.769891","","","",
"Colombia","COL","Mobile account, male (% age 15+)","WP15163_4.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.688102","","","",
"Colombia","COL","Mobile account (% age 15+)","WP15163_4.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.212442","","","",
"Colombia","COL","Account, income, richest 60% (% ages 15+) [ts]","WP_time_10.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.28775","","","49.00695","","","",
"Colombia","COL","Account, income, poorest 40% (% ages 15+) [ts]","WP_time_10.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.33166","","","24.40172","","","",
"Colombia","COL","Account, secondary education or more (% ages 15+) [ts]","WP_time_10.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.02748","","","46.13237","","","",
"Colombia","COL","Account, primary education or less (% ages 15+) [ts]","WP_time_10.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.74796","","","19.62221","","","",
"Colombia","COL","Account, older adults (% ages 25+) [ts]","WP_time_10.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.32625","","","42.42904","","","",
"Colombia","COL","Account, young adults (% ages 15-24) [ts]","WP_time_10.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.77209","","","28.43285","","","",
"Colombia","COL","Account, female (% age 15+) [ts]","WP_time_10.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.35456","","","33.95366","","","",
"Colombia","COL","Account, male (% age 15+) [ts]","WP_time_10.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.93575","","","44.42184","","","",
"Colombia","COL","Account (% age 15+) [ts]","WP_time_10.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.4278","","","38.99902","","","",
"Colombia","COL","Account at a financial institution, income, richest 60% (% ages 15+)","WP_time_01.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.28775","","","48.60472","","","",
"Colombia","COL","Account at a financial institution, income, poorest 40% (% ages 15+)","WP_time_01.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.33166","","","23.40095","","","",
"Colombia","COL","Account at a financial institution, female (% age 15+)","WP_time_01.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.35456","","","33.58368","","","",
"Colombia","COL","Account at a financial institution, male (% age 15+)","WP_time_01.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.93575","","","43.47984","","","",
"Colombia","COL","Account at a financial institution (% age 15+)","WP_time_01.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.4278","","","38.35334","","","",
"Colombia","COL","Presence of peace keepers (number of troops, police, and military observers in mandate)","VC.PKP.TOTL.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.6726338112749","71.7868996641331","67.1845498883999","60.0846549498988","62.2924485456268","65.7","67.9","68.3","53.4","44.6","39.5","36.8","34.8","33.2","34","32.7","34.1","31.3","32.6","27.9","26.5","","",
"Colombia","COL","Internally displaced persons, total displaced by conflict and violence (number of people)","VC.IDP.TOCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4915579","5195620","5281360","5454766","5700000","6044151","6270436","7245689","",
"Colombia","COL","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63100","9093","3000000","149000","71200","11410","20295","4649","30839","",
"Colombia","COL","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","286389","280041","102956","230000","156918","137214","224324","170946","",
"Colombia","COL","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","238","501","725","1479","182","1123","823","1192","560","939","1374","1023","1072","2263","751","1234","1389","502","314","219","377","419","202","211","140","114","134","30","",
"Colombia","COL","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","29.220779220761","26.0115606936158","28.8770053476279","32.5471698113028","32.6732673267327","31.3043478260398","35.8108108108374","41.7607626135699","38.9944965767383","40.4598887502067","41.6988458403759","39.7937872772771","36.9399279028575","39.2150007554048","37.400575322872","28.6935286935287","27.1920088790233","23.3009708737864","38.7037037037037","30.8303886925795","33.551673944687","26.7571884984026","26.2273901808786","30.3896103896104","36.5005433938829","30.735102572452","43.9184723209213","40.5900835319551","53.114616626382","50.4666803057154","49.933006481799","50.1375821387104","51.6231211527934","57.0245143141128","53.3843722051297","47.855425614521","51.5010700289169","52.6861382857879","52.110827111493","51.1107386040821","52.0029631568624","54.1311800782275","55.5847564014614","54.2245161044369","54.4910994014207","52.0648621017004","54.1192617820672","57.9043763266306","60.5532989864523","",
"Colombia","COL","Transport services (% of commercial service exports)","TX.VAL.TRAN.ZS.WT","","","","","","","","","43.5714285714506","49.3641618497522","48.5026737967607","48.1603773585241","45.2970297029703","46.7391304348152","46.9256756756568","39.5430501559884","45.1082169491734","39.3558352618714","39.0137083279128","30.0739430657209","32.2873672447918","42.0836597211905","32.8028447835412","46.3614163614164","42.6526082130966","43.75","35.3148148148148","39.6113074204947","35.0291120815138","35.6070287539936","31.266149870801","33.5324675324675","33.3074574341458","39.5840117225659","33.753627167116","35.7108437394782","28.6738747957832","31.9508750192477","34.0807672051187","33.254536275091","29.952738739087","27.0004862964087","30.2029389071687","33.7646655349294","28.8201954296491","26.9269846568285","24.639177121657","28.4970436922981","26.2826685222231","23.9545098756803","22.7303511673827","26.5941519686342","23.4732459716876","24.7095235122257","24.9930735174515","21.8396842902455","20.8112515999067","",
"Colombia","COL","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.22392084937346","6.86188674125889","5.86206415242438","5.71005622263571","6.6710605946639","7.74342706259507","8.02107313027568","8.7768444080162","8.18049149836596","7.74042072884859","7.21109046624235","7.17301452013053","6.6150234292746","5.69438794153178","4.99117474835661","4.07588776257187","2.90919707802874","3.72376287727985","5.22002165915271","5.05631980898406","4.32738499185479","5.18998657395802","7.39397658376378","7.71173024339459","9.48981375862278","9.82540373645253","",
"Colombia","COL","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","126543484","151278799","154926322","161681092","233001161","245419779","284163644","306083595","289147492","330564457","349136631","322444561","297321292","352837891","367212256","353802692","341931813","441258332","462355742","425239837","400794305","516973271","735600970","724222055","793475743","739660247","",
"Colombia","COL","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","153999999.999261","172999999.999234","186999999.998933","212631759.997867","219313420","274189899.999633","355981439.996327","419053650","553924319.999691","701929759.998534","745823999.998741","1062980000","1293992779.99951","1114369480","1294097739.99924","819000000","901000000","824000000","1080000000","1132000000","1374000000","1252000000","1548000000","1540000000","1932300000","2456800000","1501513497.96806","1617515986.3446","2109215600.44462","2067027519.30735","1857712934.5058","1849483621.75618","1996009592.19461","2134686519.72146","1811344107.00644","1866535964.3755","2382533895.5308","2921766483.71901","3675424793.97258","3898692494.81136","4503567696.58605","4507619686.97856","5031206973.00829","5550879724.22443","6350147323.16042","6935017868.57143","7067618282.38282","7331558405.97071","7882426077.34368","",
"Colombia","COL","Computer, communications and other services (% of commercial service exports)","TX.VAL.OTHR.ZS.WT","","","","","","","","","16.8831168831189","15.0289017341002","13.3689839572142","11.7924528301778","11.3861386138614","12.6086956521794","10.1351351351285","10.2607625539116","9.3480928947169","12.964260127707","10.8604711031203","23.8950873958118","24.9614993987929","11.1273686354009","16.9229875944402","10.5006105006105","16.8701442841287","17.7184466019418","16.2962962962963","18.3745583038869","21.2518195050946","23.1629392971246","25.4521963824289","23.2467532467533","18.6979247528852","18.324649951156","18.0684649433481","17.1115644195577","12.9610481708164","12.5583267554652","10.85707001395","11.1878194489512","14.1299764541661","13.0825111987143","14.1412168902202","16.2411259834166","18.146032229803","18.9983386723106","21.2988903136252","18.24022683057","19.9719603458127","20.5654921846953","20.4185195140648","17.7049193811413","20.6186635716605","21.8790423839855","19.6904370533406","19.2199878141833","17.7361531852496","",
"Colombia","COL","Export value index (2000 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","30.08671119","22.35860557","23.18125014","23.0049144","26.53929604","27.22930547","39.11280121","35.59068641","38.61752777","43.82709897","51.87184225","55.44685777","53.02722471","54.55597893","64.54271542","77.63219431","81.1681093","88.33960731","83.49190772","88.74594619","100","94.22462107","91.31891469","100.2798372","124.3818666","162.4588869","186.998919","229.9372858","288.4691757","251.876335","304.4730735","436.3538292","460.9659059","450.9824968","420.5741995","275.8598136","240.6930022","",
"Colombia","COL","Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)","TX.VAL.MRCH.WR.ZS","1.69746454662656","2.06849000229832","2.13132400430571","2.63923059718184","3.99343544857768","5.53800408845939","7.37091052424123","5.47166111002157","6.89636752136752","7.92680923754147","8.41258731661795","13.7002273654754","13.6056636015949","12.3872236712704","17.7822723724363","18.9310229650786","16.3838078894354","16.648997388797","13.0962808801544","16.7148447722494","14.8423094969375","21.2580574212868","19.6374954347566","11.1040403122118","9.53801796006513","10.3547021903853","9.63648538579618","13.3407241692276","12.8983379310647","13.0671641684825","13.1336359970345","19.2174371568093","22.0197971520408","23.5507480324104","20.691781779512","26.29762965458","24.5555003432561","25.6616498853358","27.0476172905568","22.6908914017887","25.9052830537731","32.6535667435221","30.244315827318","26.344865987716","31.6389415840015","31.3538146230326","29.5077631798044","34.3078345780681","32.1723649522208","27.6050363152036","22.8278468351444","21.7186780738087","23.2673596695808","23.2394082793513","23.6449123787688","27.7678419520094","26.63102836775","",
"Colombia","COL","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","465400000","435100000","464500000","447100000","548400000","538100000","507400000","509900000","561600000","608820000","728670000","686120000","860230000","1169350000","1409100000","1467010000","1742330000","2424170000","3036740000","3324470000","3942850000","2955350000","3094030000","3079960000","3482170000","3551430000","5107360000","5024240000","5024942000","5737917817","6752231577","7242511000","7062531000","7449343000","9033604563","9853993938","10431773860","11554526600","10873344156","11623740497","13042988158","12159795716","11448803791","12662508834","16157130906","20712429518","23274244002","28466880930","37072137077","32560287943","39353720059","55724018395","59618935440","58821860009","54794652251","35675657457","31390361512","",
