"Data Source","World Development Indicators",

"Last Updated Date","2018-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Djibouti","DJI","Child employment in services, male (% of male economically active children ages 7-14)","SL.SRV.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Child employment in services, female (% of female economically active children ages 7-14)","SL.SRV.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Children in employment, self-employed (% of children in employment, ages 7-14)","SL.SLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Children in employment, self-employed, male (% of male children in employment, ages 7-14)","SL.SLF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Children in employment, self-employed, female (% of female children in employment, ages 7-14)","SL.SLF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Child employment in manufacturing (% of economically active children ages 7-14)","SL.MNF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Child employment in manufacturing, male (% of male economically active children ages 7-14)","SL.MNF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Child employment in manufacturing, female (% of female economically active children ages 7-14)","SL.MNF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Informal employment (% of total non-agricultural employment)","SL.ISV.IFRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Informal employment, male (% of total non-agricultural employment)","SL.ISV.IFRM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Informal employment, female (% of total non-agricultural employment)","SL.ISV.IFRM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.6000003814697","20.7000007629395","20.2000007629395","19.7999992370605","19.7000007629395","19.7999992370605","19.8999996185303","20","19.7000007629395","19.8999996185303","19.8999996185303","20.2000007629395","20.6000003814697","21.1000003814697","21.2000007629395","22.1000003814697","23.2000007629395","23.8999996185303","23.7999992370605","22.8999996185303","23","23.1000003814697","24","25.1000003814697","26.1000003814697","24","23.8999996185303",
"Djibouti","DJI","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.1000003814697","16","15.3000001907349","15.1000003814697","15","15","15","15.1000003814697","15","15","15.1999998092651","15.3999996185303","15.8000001907349","16.2999992370605","16.5","17.2000007629395","18.2999992370605","19.1000003814697","19.2999992370605","18.8999996185303","18.8999996185303","18.8999996185303","19.7999992370605","21.2999992370605","22.1000003814697","20.7999992370605","20.8999996185303",
"Djibouti","DJI","Employment in industry, female (% of female employment) (modeled ILO estimate)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.5999984741211","32.0999984741211","31.7999992370605","30.8999996185303","30.5","30.8999996185303","31","31","30.3999996185303","30.5","30.2000007629395","30.5","30.8999996185303","31","30.8999996185303","32","32.9000015258789","33.5","32.5","30.7000007629395","30.7000007629395","30.8999996185303","32.0999984741211","32.2999992370605","33.5999984741211","30.2000007629395","29.7000007629395",
"Djibouti","DJI","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11993","11727","10707","10397","9792","9059","8666","8349","8205","7913","7824","7778","7771","7814","7807","7926","8062","8253","8380","8395","8502","8638","8802","9062","9390","9766","10201",
"Djibouti","DJI","Contributing family workers, total (% of total employment)","SL.FAM.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","5.09999990463257","4.59999990463257","4.30000019073486","4.5","4.30000019073486","4.09999990463257","3.90000009536743","3.79999995231628","3.70000004768372","3.59999990463257","3.5","3.29999995231628","3.20000004768372","3.09999990463257","2.90000009536743","2.79999995231628","2.90000009536743","2.70000004768372","2.59999990463257","2.40000009536743","2.29999995231628","2.29999995231628","2.5","2.59999990463257","2.5","2.40000009536743",
"Djibouti","DJI","Contributing family workers, male (% of male employment)","SL.FAM.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.60000002384186","1.39999997615814","1.29999995231628","1.20000004768372","1.20000004768372","1.20000004768372","1.10000002384186","1.10000002384186","1","1","1","0.899999976158142","0.899999976158142","0.800000011920929","0.800000011920929","0.800000011920929","0.699999988079071","0.699999988079071","0.699999988079071","0.699999988079071","0.600000023841858","0.600000023841858","0.600000023841858","0.600000023841858","0.600000023841858","0.600000023841858","0.600000023841858",
"Djibouti","DJI","Contributing family workers, female (% of female employment)","SL.FAM.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.7999992370605","14","12.8000001907349","11.6999998092651","12.1999998092651","11.6000003814697","11","10.3999996185303","9.89999961853027","9.60000038146973","9.30000019073486","8.89999961853027","8.5","8.19999980926514","7.80000019073486","7.30000019073486","6.80000019073486","7.19999980926514","6.59999990463257","6.40000009536743","5.80000019073486","5.59999990463257","5.40000009536743","6","6.19999980926514","6.09999990463257","5.90000009536743",
"Djibouti","DJI","Children in employment, unpaid family workers (% of children in employment, ages 7-14)","SL.FAM.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
