"Data Source","World Development Indicators",

"Last Updated Date","2018-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Ecuador","ECU","Mobile account, income, richest 60% (% ages 15+)","WP15163_4.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Mobile account, income, poorest 40% (% ages 15+)","WP15163_4.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Mobile account, female (% age 15+)","WP15163_4.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Mobile account, male (% age 15+)","WP15163_4.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Mobile account (% age 15+)","WP15163_4.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Account, income, richest 60% (% ages 15+) [ts]","WP_time_10.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.03473","","","55.14057","","","",
"Ecuador","ECU","Account, income, poorest 40% (% ages 15+) [ts]","WP_time_10.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.41759","","","32.44452","","","",
"Ecuador","ECU","Account, secondary education or more (% ages 15+) [ts]","WP_time_10.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.30429","","","51.30964","","","",
"Ecuador","ECU","Account, primary education or less (% ages 15+) [ts]","WP_time_10.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.37252","","","29.87634","","","",
"Ecuador","ECU","Account, older adults (% ages 25+) [ts]","WP_time_10.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.60033","","","50.85894","","","",
"Ecuador","ECU","Account, young adults (% ages 15-24) [ts]","WP_time_10.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.11969","","","33.50381","","","",
"Ecuador","ECU","Account, female (% age 15+) [ts]","WP_time_10.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.15992","","","40.82298","","","",
"Ecuador","ECU","Account, male (% age 15+) [ts]","WP_time_10.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.46427","","","51.86861","","","",
"Ecuador","ECU","Account (% age 15+) [ts]","WP_time_10.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.7355","","","46.21243","","","",
"Ecuador","ECU","Account at a financial institution, income, richest 60% (% ages 15+)","WP_time_01.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.03473","","","55.14057","","","",
"Ecuador","ECU","Account at a financial institution, income, poorest 40% (% ages 15+)","WP_time_01.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.41759","","","32.44452","","","",
"Ecuador","ECU","Account at a financial institution, female (% age 15+)","WP_time_01.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.15992","","","40.82298","","","",
"Ecuador","ECU","Account at a financial institution, male (% age 15+)","WP_time_01.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.46427","","","51.86861","","","",
"Ecuador","ECU","Account at a financial institution (% age 15+)","WP_time_01.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.7355","","","46.21243","","","",
"Ecuador","ECU","Presence of peace keepers (number of troops, police, and military observers in mandate)","VC.PKP.TOTL.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.5","12.9","14.6","14.6","17.7","15.4","17.1","16","18","17.9","17.7","15.5","12.5","11","8.2","","","",
"Ecuador","ECU","Internally displaced persons, total displaced by conflict and violence (number of people)","VC.IDP.TOCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13871","","500","","4796","7540","573","1927","289369","",
"Ecuador","ECU","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","25","","","","","","","","","",
"Ecuador","ECU","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","29.5476419634264","26.3616557734205","40.0247066090179","32.6639344262295","37.618636755824","34.5646437994723","36.7977528089888","40.4040404040404","51.2915129151292","35.9459459459459","41.0628019323672","42.3857868020305","41.8886198547215","38.477366255144","37.007874015748","36.0687022900763","32.8767123287671","38.161606105857","39.3854617632809","36.7001525574969","43.228774056582","45.0968805399185","45.8044104452944","50.1088369782764","50.3561854588247","53.2734074401121","54.0780612784962","49.687127139831","48.9305909596157","51.3343909507953","50.7762623293024","55.7590995313542","54.6487855615998","53.8320566266469","56.8065838888992","56.6074124686851","60.9426155005467","64.9056352573087","66.4394517864535","68.599970371485","71.8431628477226","",
"Ecuador","ECU","Transport services (% of commercial service exports)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","40.3272377285852","47.0479302832244","29.9073502161828","43.3114754098361","37.043428242738","40.4485488126649","39.8314606741573","35.993265993266","28.0442804428044","47.8378378378378","44.9275362318841","45.4314720812183","48.4261501210654","48.1481481481481","47.6377952755905","45.9923664122137","45.0342465753425","47.3618715778995","48.0627666723974","46.2911257591894","40.3058320385213","37.1660498242777","35.8502148557397","38.1294648726826","36.3266014503959","30.7662600381812","29.4290098383834","32.8426780830987","36.0231498891195","35.4185179174792","36.5083119345991","31.0899880631581","27.0218353088592","27.7507184985808","26.1573112924771","26.7755285181214","24.3124517866545","22.5314862806258","19.5914691056652","19.6446600794304","20.394737649113","",
"Ecuador","ECU","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.319342187015956","0.94888763336932","3.40928665749976","3.55306592226381","3.62478061777072","5.98492067142439","4.33429400167941","4.46685131341984","4.48899227711746","6.32260383240925","5.61649451285618","4.59621335268545","6.64764700433009","5.98455491160139","7.36170322191562","7.65857989288517","7.8745687889324","6.1678972614159","4.18127617300532","4.01953124682266","8.42720362212896","3.22865511569944","2.47843358096985","4.35649672773313","4.90210087238667","7.16919766111896","8.3702470613665","",
"Ecuador","ECU","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","201282","659521","4102221","7628619","10485267","19948986","18314225","20300400","19706691","25025315","26765851","25378146","34604215","41110871","48764989","64252235","96213183","72954851","68174873","51244801","144508135","56609383","52230657","71780677","74240721","97006477","103936492","",
"Ecuador","ECU","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","103900000","183600000","161900000","244000000","347700000","379000000","356000000","297000000","271000000","370000000","414000000","394000000","413000000","486000000","508000000","524000000","584000000","602700000","639830000","694820000","650030000","643060000","635310000","684510000","798313050","807156930","826941379.946265","817840352.61994","945176393.434189","946327287.154537","964820917.346814","1118075708.46306","1357397800.94011","1244871660.83808","1375454284.84365","1489861830.43137","1694256332.41034","1920004874.38163","2230797746.30459","2261499492.70182","2009371373.20751","",
"Ecuador","ECU","Computer, communications and other services (% of commercial service exports)","TX.VAL.OTHR.ZS.WT","","","","","","","","","","","","","","","","","1.73243503368622","6.69934640522877","1.05003088326129","3.31967213114754","8.48432556801842","6.2269129287599","8.98876404494381","12.1212121212121","9.96309963099631","7.83783783783784","6.28019323671498","4.56852791878171","2.17917675544794","4.93827160493827","6.10236220472441","8.3969465648855","13.1849315068493","14.4350423096068","12.5033211946923","16.9828156932731","16.3069396797071","17.7277392467266","16.6847680659835","11.7164102788856","13.152735007902","15.8660509797023","16.4415467645926","17.3689525239401","15.0332457073347","13.1684713972955","12.7145965666789","13.1509124054877","18.329379129541","18.4172248747724","17.0361048186237","16.6170590131935","14.7449327127989","12.5628784620655","9.67565219104588","7.42992558256242","5.72004666927229","",
"Ecuador","ECU","Export value index (2000 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","50.35623668","49.75946412","47.24246422","47.65452147","53.1898914","58.96072262","44.0779458","39.13122907","44.50218208","47.77834162","55.09590988","57.88084847","61.04536689","58.94042424","77.53780574","87.42690237","99.45743845","106.856005","85.30983654","90.34735712","100","94.95334539","102.341763","126.3072323","157.3670034","205.0082917","258.3510432","290.6855193","381.9715505","281.3901998","355.0078248","453.0956861","482.3734683","504.3578887","522.150689","372.0719375","340.9564898","",
"Ecuador","ECU","Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)","TX.VAL.MRCH.WR.ZS","7.18113612004287","6.1139896373057","3.33904109589041","4.54545454545455","7.24749421742483","8.94900356141547","7.80847409103922","6.82522613701056","6.05563809621395","8.38362634479139","7.37042320494532","8.9818701849887","10.1444407121263","21.6705771938057","19.646971948149","25.3841386532174","32.0720806314973","24.6182053044982","23.4311391043859","16.694947388378","10.2690077319588","10.9984371740012","19.2851034398964","16.5753818250384","8.8846426647339","7.74742653005737","7.49857213921182","11.2160194539095","11.9867965066422","14.3359579265282","14.5145857277118","13.6185879342094","12.8900267743292","17.2307860410213","17.7435405959579","17.2765989592535","20.1442327675807","20.3291765323446","22.0873048251092","17.2582462274841","26.7519262069601","29.9375708403353","25.7827848887661","27.9989512227464","32.7808369154146","27.4592009591439","22.9848685724965","28.7548764073298","27.7326207110421","35.6300455706311","34.6706355518274","28.3521339451719","24.709134131051","19.2438692188048","20.4305688812697","17.7675240948505","20.1524754372608","",
"Ecuador","ECU","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","93300000","96500000","116800000","129800000","129700000","131970000","139720000","158090000","195190000","152440000","210300000","216770000","327470000","532750000","1123990000","935860000","1263030000","1439910000","1562280000","2109800000","2483200000","2540270000","2139890000","2227460000","2580070000","2905610000","2171080000","1998570000","2192904500","2353901300","2714430900","2851415300","3007918500","3020135000","3843365400","4357814300","4892329613","5214387392","4203221386","5001681142","4927310874","4675756034","5037994354","6222583468","7745948380","10078373814","12716343845","14273906032","18413024536","13651694855","17408594740","21787002830","23567395256","24959309936","25721730719","18365780829","16797666339","",
"Ecuador","ECU","Merchandise exports by the reporting economy, residual (% of total merchandise exports)","TX.VAL.MRCH.RS.ZS","5.03751339764202","5.07772020725389","4.62328767123288","3.69799691833591","5.01156515034694","4.80412214897325","5.78299456054967","6.20532608008097","13.3920795122701","9.83993702440304","15.6871136471707","14.8775199520229","6.27843771948575","9.49413420929141","5.16463669605601","5.98486953176757","8.34976208007727","6.48373856699377","8.24756125662493","28.7306853730211","27.6075225515464","26.2275269951619","23.9619793540789","15.8229552943712","18.3673311189231","21.2296213187592","15.7884555152274","14.861125704879","24.9253535664686","10.5051176104962","18.6739253520876","14.2728805586475","15.2421151038501","3.39809313159842","5.34485479834938","4.5864689553201","3.2459816807523","3.18847620058069","0.838283348989412","0.698773352553708","3.5716766305255","1.43150683040962","0.992506789141193","0.533615855387985","0.230026449001458","0.174909180045621","0.236449095482916","2.99164026330757","0.423149199891991","0.94876972695124","1.15596686007983","0.386779924056218","0.0768956424889011","0.313647661737181","0.266311939691526","0.411105777113377","0.239968053814788","",
