"Data Source","World Development Indicators",

"Last Updated Date","2018-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"France","FRA","Share of tariff lines with specific rates, manufactured products (%)","TM.TAX.MANF.SR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.791177","15.07648","0.8980715","0.1205882","0.2357272","0.3275069","0.144989","0.7623338","0.3152843","0.1578368","0.2622062","0.7419519","0.1576275","0.2596901","0.188365","0.1791334","0.1891851","0.176629","0.1733945","0.1875017","0.1686227","0.1750877","0.197045","0.1749071","0.178014","0.1795815","0.2657372","0.2685423","0.2649594","",
"France","FRA","Tariff rate, most favored nation, simple mean, manufactured products (%)","TM.TAX.MANF.SM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.07","6.06","8.53","7.02","7.12","7.07","7.02","6.57","5.56","5.77","5.05","4.59","4.36","4.42","4.61","4.35","4.09","4.08","4.06","3.85","3.86","3.85","4.04","4.04","4.05","4.05","4.05","4.05","4","",
"France","FRA","Tariff rate, applied, simple mean, manufactured products (%)","TM.TAX.MANF.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.55","2.84","5.86","4.33","3.3","3.15","3.96","4.23","2.72","2.11","2.84","3.52","2.18","2.92","1.67","1.59","1.64","1.61","1.67","1.56","1.47","1.47","1.78","1.43","1.44","1.43","2.01","1.98","1.82","",
"France","FRA","Share of tariff lines with international peaks, manufactured products (%)","TM.TAX.MANF.IP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4065226","0.4008741","8.29889","1.111032","1.331585","1.044082","0.8497304","1.446893","0.2822267","0.2100069","0.3297073","0.3513515","0.215942","0.2939601","0.6945961","0.3452651","0.1787276","0.1825088","0.165714","0.1794945","0.13961","0.1364979","0.1925616","0.1306828","0.1154572","0.11408","0.2143994","0.2318268","0.207973","",
"France","FRA","Bound rate, simple mean, manufactured products (%)","TM.TAX.MANF.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.1","4.09","4.08","4.08","4.08","3.99","3.99","4.03","4.03","4.03","4.03","4.03","3.98","3.98","3.98","3.98","3.98","3.98","3.98","3.98","3.98","3.98","",
"France","FRA","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"France","FRA","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","98.13907933","92.75220372","94.417238","99.41234084","100.6856024","102.2526934","105.6807052","105.1909892","91.96865818","97.94319295","100.8814887","98.13907933","95.8863859","95.8863859","97.74730656","98.23702253","",
"France","FRA","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","20.9870717508358","20.3475099088659","19.3799462739527","19.8105427897581","20.2373926976981","20.1253768615212","20.6528237748648","20.0810037692608","20.7329223258312","23.1407247746751","24.9949545969948","25.3035970631925","26.1636911021427","28.037442092583","34.6137297899382","29.5707537525355","32.3921995676838","32.9959127831962","31.7127797957841","33.7267778083769","35.6626832093661","36.8168428859838","36.1953994883936","35.7478393605549","37.9101574865285","37.8108957290446","32.8380259924143","32.7012277353468","33.868357469627","36.1493951773486","35.3660942333797","35.1910405136394","33.754567525274","33.0029064684553","35.4280197413063","36.6827659602259","37.1733439056357","40.1976670546933","41.595138477571","42.743775913392","48.7088473973949","47.1696240513201","44.0555096985246","42.7936368876899","43.4558230483473","43.9062376473898","44.6357780126793","44.702331966822","45.5977664226599","38.8166725957136","42.8752052079599","45.9884163809508","46.3607141630128","44.9501537297826","44.1186085514177","44.3459929383013","43.569061779668","",
"France","FRA","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.20202486636253","6.59782107646196","5.4092293376036","5.44196992238896","6.24020291666278","7.07688230192617","7.15556866479877","7.11737859025597","7.07249072906019","6.64956018074755","6.51160485953343","5.96890382583611","6.06135335111691","5.79363305175183","6.45926622137344","6.20203890021144","6.30503183715404","6.01013342939834","6.04795849196985","6.57083389391434","6.17468555609392","6.34973646098477","",
"France","FRA","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20699000000","22049000000","17490000000","18819000000","22795000000","26703000000","26749000000","27808000000","32618000000","36029000000","38643000000","39301000000","46051000000","50361000000","45050000000","46704000000","55472000000","50087000000","52448000000","58446000000","47453000000","49024000000","",
"France","FRA","International tourism, expenditures for travel items (current US$)","ST.INT.TVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16358000000","17748000000","17490000000","18819000000","18501000000","22533000000","22616000000","23769000000","28059000000","30018000000","31354000000","32332000000","37905000000","40917000000","36961000000","38304000000","44695000000","39851000000","42186000000","48762000000","39269000000","40552000000","",
"France","FRA","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27587000000","28352000000","27402000000","29490000000","31239000000","32855000000","32181000000","35011000000","39389000000","44895000000","43947000000","46502000000","54210000000","57229000000","49576000000","46466000000","55115000000","53348000000","56457000000","58404000000","44830000000","42644000000","",
"France","FRA","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4341000000","4301000000","","","4294000000","4170000000","4133000000","4039000000","4559000000","6011000000","7289000000","6969000000","8146000000","9444000000","8089000000","8400000000","10777000000","10236000000","10262000000","9684000000","8184000000","8472000000","",
"France","FRA","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3708000000","3736000000","","","6531000000","5679000000","6204000000","5526000000","6601000000","7213000000","8192000000","8085000000","9692000000","10772000000","9282000000","9721000000","10972000000","10652000000","9603000000","8978000000","8129000000","8239000000","",
"France","FRA","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.62793760471224","8.78219856725051","7.46930916499798","7.60084904603144","9.3672587519198","9.87427690971803","9.80000873244847","9.69113586482004","9.47823584008559","9.31862255226744","8.79004278266198","8.39449970009022","8.62105665192038","8.21943138259433","8.85562010036307","7.91907388256569","8.02827049929029","8.04478134754204","7.89616946184696","7.8970622007095","7.05615459455446","6.85258025465112","",
"France","FRA","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31295000000","32088000000","27402000000","29490000000","37770000000","38534000000","38385000000","40537000000","45990000000","52108000000","52139000000","54587000000","63902000000","68001000000","58858000000","56187000000","66087000000","64000000000","66060000000","67382000000","52959000000","50883000000","",
"France","FRA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18686000","18151000","17115000","18077000","16709000","19886000","19265000","18315000","18576000","21131000","22480000","22240000","28103000","25506000","25140000","25041000","26155000","25317000","26062000","27919000","26648000","26483000","",
"France","FRA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60033000","62406000","66591000","70109000","73147000","77190000","75202000","77012000","75048000","74433000","74988000","77916000","80853000","79218000","76764000","76647000","80499000","81980000","83634000","83701000","84452000","82570000","",
"France","FRA","Unmet need for contraception (% of married women ages 15-49)","SP.UWT.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.4","","","","","","","","","","","1.7","","","","","","","","","","","","",
"France","FRA","Urban population (% of total)","SP.URB.TOTL.IN.ZS","61.88","62.607","63.489","64.702","65.898","67.071","68.225","69.357","70.238","70.648","71.055","71.459","71.86","72.256","72.65","72.926","72.997","73.068","73.14","73.211","73.282","73.352","73.425","73.5","73.575","73.65","73.725","73.8","73.875","73.95","74.056","74.229","74.401","74.572","74.743","74.912","75.082","75.25","75.417","75.614","75.871","76.127","76.38","76.632","76.883","77.13","77.377","77.621","77.864","78.106","78.345","78.584","78.82","79.055","79.289","79.52","79.75","",
"France","FRA","Urban population","SP.URB.TOTL","28968650","29703735","30550684","31576957","32586168","33551445","34459572","35313433","36015275","36481398","36973537","37501984","38056501","38614520","39145575","39564232","39813654","40015297","40188949","40361659","40554832","40773314","41014270","41274869","41548368","41830023","42121076","42422152","42726704","43026108","43332245","43467992","43785893","44077098","44342925","44604028","44863821","45123546","45390695","45743986","46214921","46709571","47206863","47699500","48209406","48730237","49228312","49690037","50124942","50540084","50945804","51348967","51753046","52175170","52593945","52979459","53349647","",
"France","FRA","Urban population growth (annual %)","SP.URB.GROW","2.42450305343692","2.5058584713105","2.81142794147404","3.30405708376728","3.1460258125759","2.91920286791498","2.67068782904096","2.4476618971241","1.96797242229556","1.28593328207499","1.33999536986037","1.41913977046512","1.46780856095557","1.45564476881968","1.36590176876005","1.06380885482173","0.628444100647796","0.505188722456219","0.433025132726136","0.428824235973312","0.477463529609947","0.537286379523572","0.589225614340605","0.633376103724591","0.660442658460267","0.675609274684709","0.693389769979411","0.712244563877887","0.715343254171066","0.698298305665994","0.708995185195228","0.312780506969324","0.728683672153773","0.662863995302377","0.601284170436915","0.587099931322414","0.580753271890807","0.577249295905283","0.590293356655555","0.775320143501711","1.02423817847282","1.06463788294325","1.05901944209546","1.0381631095106","1.06332315873534","1.07455731309281","1.01691847691652","0.933554508406443","0.871427828825695","0.824803548969665","0.79956370185802","0.788241829993197","0.783847098964326","0.812342090672518","0.799428782568115","0.730327334216813","0.696308865232681","",
