"Data Source","World Development Indicators",

"Last Updated Date","2018-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Gabon","GAB","Share of tariff lines with specific rates, manufactured products (%)","TM.TAX.MANF.SR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0076185","","","0.2106334","","0","0.0647063","0.0246548","0","0","0","","0.2346939","0.1083875","0.1163854","0","0","0","0","","0","0","",
"Gabon","GAB","Tariff rate, most favored nation, simple mean, manufactured products (%)","TM.TAX.MANF.SM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.88","","","17.72","","17.57","17.68","17.67","17.81","17.81","17.69","","17.39","17.27","17.27","17.26","17.26","17.28","17.28","","17.28","17.28","",
"Gabon","GAB","Tariff rate, applied, simple mean, manufactured products (%)","TM.TAX.MANF.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.66","","","19.23","","19.16","19.04","18.27","19.3","19.3","19.17","","18.35","18.39","18.07","18.13","18.18","18.26","18.29","","17.81","18.66","",
"Gabon","GAB","Share of tariff lines with international peaks, manufactured products (%)","TM.TAX.MANF.IP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.60521","","","55.58541","","55.54647","54.19513","50.46844","55.5381","55.5381","57.3675","","51.08163","51.4007","49.98753","49.94205","49.99657","50.49805","50.59424","","48.5807","52.48042","",
"Gabon","GAB","Bound rate, simple mean, manufactured products (%)","TM.TAX.MANF.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.06","","","16.06","","16.05","16.05","16.05","15.99","15.99","15.99","","15.87","15.87","15.87","15.87","15.87","15.87","15.87","","15.87","15.87","",
"Gabon","GAB","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","100","","100","100","100","99.95","99.95","99.95","","99.97","99.97","99.97","99.97","99.97","99.97","99.97","","99.97","99.97","",
"Gabon","GAB","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","87.37486451","134.166795","138.0760078","119.9909911","133.39582","119.7464149","119.7680601","77.6932765","88.45659606","84.80550749","91.01984388","82.71417805","66.8345961","105.7112235","74.98661487","81.28469636","88.16037617","113.7142797","113.6380499","89.29339391","100","107.5043458","121.9203858","123.6421377","127.8508199","133.5713493","151.2974103","173.7862499","187.3230799","190.9629161","218.6209435","239.7535006","238.1006449","259.7047646","269.3048787","221.9909955","224.1045588","",
"Gabon","GAB","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","55.8959295233961","54.009085065608","54.5387795135075","78.5206552406641","69.8405976810736","73.9278631858636","67.9961962273278","69.1137056870465","64.293246479253","68.9165912854614","69.0634930038199","70.7941188143263","85.3012475626554","71.9778487709354","71.196969670269","65.4340295635236","54.4268815427417","73.3059490160733","72.1480626440121","78.5439195831073","66.5243192065544","78.7619893909571","83.692466412023","79.1737450070515","76.7945303258066","84.0141201845231","62.7857568419404","61.4907008637055","51.8189659504822","56.4922971388162","52.4503682582756","56.9506863792899","49.7461653763528","71.7116811685088","74.1143859293113","72.4967072559793","72.7251609585279","77.4946860248947","67.3370315387524","69.3760567223964","70.0216469138785","70.2581833316883","66.7438124303489","65.6876657181206","65.4305807785594","68.2331665068421","69.5343850681617","68.0603700596771","78.2084436545602","65.1201819853386","81.2648867622858","73.8495058465612","76.4150281536725","78.4090220327135","72.244711090297","60.984096666723","46.9181492054298","",
"Gabon","GAB","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.574837936403","8.94795453450905","7.87006671764541","7.33748337136498","10.9980718077358","11.0899542432083","16.4764490862534","13.8857284128626","12.7409095966253","12.7886072474489","14.4600098264631","","","","","","","","","","","","",
"Gabon","GAB","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","182000000","168000000","156000000","158000000","195000000","183000000","256000000","234000000","239000000","275000000","346000000","","","","","","","","","","","","",
