"Data Source","World Development Indicators",

"Last Updated Date","2018-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Kosovo","XKX","Manufacturing, value added (constant LCU)","NV.IND.MANF.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","339400000","372300000","429500000","478800000","487200000","459300000","528000000","562300000","555000000","581900000","575300000","",
"Kosovo","XKX","Manufacturing, value added (annual % growth)","NV.IND.MANF.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.69357690041248","15.3639538006984","11.4784633294529","1.75438596491229","-5.72660098522168","14.9575440888308","6.49621212121212","-1.29823937399965","4.84684684684684","-1.13421550094517","",
"Kosovo","XKX","Manufacturing, value added (constant 2010 US$)","NV.IND.MANF.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","461346904.598788","506067921.573745","583819963.244489","650833523.635533","662251655.629139","624327145.793234","717711153.883796","764335192.857687","754412292.434672","790977500.842767","782006111.419219","",
"Kosovo","XKX","Manufacturing, value added (current LCU)","NV.IND.MANF.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","311000000","352000000","429513000","478800000","500000000","461300000","567700000","584800000","575800000","625800000","615800000","",
"Kosovo","XKX","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","390164345.753356","481795784.286887","629138713.929984","665184773.548208","662251655.629139","641228801.779261","729410253.115765","776420605.416888","763964442.08571","694022402.129311","684222222.222222","",
"Kosovo","XKX","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5339960242615","16.2688920300098","17.4534652755347","16.6296556603133","16.2403308601273","15.5721464668997","14.8211573941641","14.9933097021057","14.3324309691391","12.6495221619797","13.4120395477869","",
"Kosovo","XKX","Agriculture, value added (constant LCU)","NV.AGR.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","468600000","598900000","574400000","598300000","606700000","608200000","556200000","564100000","568700000","545400000","586800000","",
"Kosovo","XKX","Agriculture, value added (annual % growth)","NV.AGR.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.8062313273581","-4.09083319418934","4.16086350974932","1.40397793748957","0.247239162683371","-8.54981913844131","1.42035239122617","0.815458252082962","-4.09706347810797","7.59075907590758","",
"Kosovo","XKX","Agriculture, value added (constant 2010 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","612580445.510781","782915981.255669","750888194.411849","782131627.292147","793112582.781457","795073467.690262","727096124.185011","737423451.371386","743436831.758389","712977752.841613","767098176.32464","",
"Kosovo","XKX","Agriculture, value added (current LCU)","NV.AGR.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","372400000","478800000","574400000","575200000","598800000","614300000","617600000","638700000","661800000","599600000","643000000","",
