"Data Source","World Development Indicators",

"Last Updated Date","2018-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Madagascar","MDG","Child employment in agriculture, male (% of male economically active children ages 7-14)","SL.AGR.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.08","","","","","","90.62","","","","","","","","","","",
"Madagascar","MDG","Child employment in agriculture, female (% of female economically active children ages 7-14)","SL.AGR.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.85","","","","","","83.9","","","","","","","","","","",
"Madagascar","MDG","Annualized average growth rate in per capita real survey mean consumption or income, total population (%)","SI.SPR.PCAP.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.35","","","","","",
"Madagascar","MDG","Survey mean consumption or income per capita, total population (2011 PPP $ per day)","SI.SPR.PCAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.58","","1.53","","","","","",
"Madagascar","MDG","Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)","SI.SPR.PC40.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.99","","","","","",
"Madagascar","MDG","Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)","SI.SPR.PC40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.64","","0.6","","","","","",
"Madagascar","MDG","Urban poverty headcount ratio at national poverty lines (% of urban population)","SI.POV.URHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.6","","","","","","","","","","","","","","","","",
"Madagascar","MDG","Urban poverty gap at national poverty lines (%)","SI.POV.URGP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.1","","","","","","","","","","","","","","","","",
"Madagascar","MDG","Poverty gap at $5.50 a day (2011 PPP) (% of population)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","53.8","","","","","","","","","","","","","68.6","","","","67","","66.4","","68.2","","","","69.5","","","","","73.4","","73.5","","","","","",
"Madagascar","MDG","Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)","SI.POV.UMIC","","","","","","","","","","","","","","","","","","","","","88.2","","","","","","","","","","","","","96.5","","","","96.6","","96.5","","94.4","","","","97.1","","","","","97.5","","97.3","","","","","",
"Madagascar","MDG","Rural poverty headcount ratio at national poverty lines (% of rural population)","SI.POV.RUHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.2","","","","","","","","","","","","","","","","",
"Madagascar","MDG","Rural poverty gap at national poverty lines (%)","SI.POV.RUGP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.9","","","","","","","","","","","","","","","","",
"Madagascar","MDG","Poverty headcount ratio at national poverty lines (% of population)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.8","","","","73.2","","","","","71.7","","70.7","","","","","",
"Madagascar","MDG","Poverty gap at national poverty lines (%)","SI.POV.NAGP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9","","","","","","","","","","","","","","","","",
"Madagascar","MDG","Poverty gap at $3.20 a day (2011 PPP) (% of population)","SI.POV.LMIC.GP","","","","","","","","","","","","","","","","","","","","","34.3","","","","","","","","","","","","","50.6","","","","48.4","","47.5","","52.2","","","","51.8","","","","","57.7","","58.2","","","","","",
"Madagascar","MDG","Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","70.3","","","","","","","","","","","","","88.3","","","","86.8","","86.2","","84.8","","","","89.2","","","","","91.3","","91.1","","","","","",
"Madagascar","MDG","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","46.8","","","","","","","","","","","","","45.3","","","","39.5","","38.6","","47.4","","","","39.9","","","","","42.4","","42.7","","","","","",
"Madagascar","MDG","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","17.3","","","","","","","","","","","","","30.1","","","","27.9","","27.5","","34.3","","","","30.7","","","","","38.2","","39.2","","","","","",
"Madagascar","MDG","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","44.9","","","","","","","","","","","","","68.9","","","","65.4","","63.9","","68.7","","","","72","","","","","78.5","","77.8","","","","","",
"Madagascar","MDG","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","5.4","","","","6.1","","6.3","","4.9","","","","6.7","","","","","6.1","","5.7","","","","","",
"Madagascar","MDG","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","2","","","","2.3","","2.5","","1.9","","","","2.7","","","","","2.4","","2.2","","","","","",
"Madagascar","MDG","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","37","","","","","","","","","","","","","37","","","","30.1","","28.9","","36.6","","","","32.4","","","","","34.3","","33.5","","","","","",
"Madagascar","MDG","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","52.5","","","","","","","","","","","","","51.4","","","","46","","45.2","","53.5","","","","47.5","","","","","49.5","","49.4","","","","","",
"Madagascar","MDG","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","20.4","","","","","","","","","","","","","19.6","","","","21.9","","22.6","","20.4","","","","20.5","","","","","20.1","","20.7","","","","","",
"Madagascar","MDG","Income share held by third 20%","SI.DST.03RD.20","","","","","","","","","","","","","","","","","","","","","13.4","","","","","","","","","","","","","13.8","","","","15.3","","15.3","","12.7","","","","14.6","","","","","14.1","","14.1","","","","","",
"Madagascar","MDG","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","8.8","","","","","","","","","","","","","9.8","","","","10.6","","10.6","","8.5","","","","10.8","","","","","10.2","","10","","","","","",
"Madagascar","MDG","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.06524309","4.5172219","4.78122195","4.50876065","4.54694228","5.0805986","5.17201954","5.29448848","4.81306658","4.8875444","5.03002085","5.11190088","4.98399653","4.49573889","4.70033897","4.86435014","4.2355947","3.45623205","4.14767794","3.04135502","","","",
"Madagascar","MDG","Health expenditure, public (% of GDP)","SH.XPD.PUBL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.44152620292452","1.91497211247809","2.14802212029942","1.96133517955939","2.0399136371767","2.57330422807379","2.8085156617348","2.74321383613094","2.2601741884383","2.43699522037702","2.62144998647091","2.81771161526562","2.73982183860859","2.4189184201792","2.4082129194747","2.60655860920451","2.4358722790055","1.81610529723559","2.56044494119451","1.4734146054229","","","",
"Madagascar","MDG","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.08935541","10.65011563","12.21560604","9.72104816","11.33030275","14.04539517","15.27888304","18.11510285","11.72149482","9.67600382","12.28445994","13.15424267","14.670817","13.51258557","17.11762478","18.56151688","17.32428079","13.51079454","17.22073677","10.18389375","","","",
"Madagascar","MDG","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.45977869","42.39269522","44.92621641","43.50053888","44.86341615","50.64962676","54.30210849","51.81263207","46.95912992","49.86134183","52.11608589","55.12062306","54.97238656","53.80469105","51.23487763","53.58492983","57.50956953","52.54581495","61.73200953","48.44599186","","","",
