"Data Source","World Development Indicators",

"Last Updated Date","2018-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Papua New Guinea","PNG","Net migration","SM.POP.NETM","","","-5997","","","","","2001","","","","","-5000","","","","","-3998","","","","","-3000","","","","","-1996","","","","","-1996","","","","","-1996","","","","","-1001","","","","","-1001","","","","","-1001","","","","","",
"Papua New Guinea","PNG","Children in employment, wage workers (% of children in employment, ages 7-14)","SL.WAG.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Papua New Guinea","PNG","Children in employment, wage workers, male (% of male children in employment, ages 7-14)","SL.WAG.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Papua New Guinea","PNG","Children in employment, wage workers, female (% of female children in employment, ages 7-14)","SL.WAG.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Papua New Guinea","PNG","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.70000004768372","2.59999990463257","2.59999990463257","2.59999990463257","2.70000004768372","2.59999990463257","2.70000004768372","2.59999990463257","2.70000004768372","2.90000009536743","2.70000004768372","2.59999990463257","2.70000004768372","2.70000004768372","2.59999990463257","2.59999990463257","2.5","2.5","2.5","2.5","2.59999990463257","2.59999990463257","2.59999990463257","2.59999990463257","2.59999990463257","2.5","2.59999990463257",
"Papua New Guinea","PNG","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.69999980926514","","","","","","","","","","2.90000009536743","","","","","","","","","","2","2.59999990463257","","","","","","",
"Papua New Guinea","PNG","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.29999995231628","2.29999995231628","2.20000004768372","2.20000004768372","2.29999995231628","2.20000004768372","2.29999995231628","2.29999995231628","2.29999995231628","2.40000009536743","2.40000009536743","2.29999995231628","2.29999995231628","2.29999995231628","2.29999995231628","2.20000004768372","2.20000004768372","2.09999990463257","2.09999990463257","2.09999990463257","2.20000004768372","2.20000004768372","2.20000004768372","2.20000004768372","2.20000004768372","2.20000004768372","2.20000004768372",
"Papua New Guinea","PNG","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","","","","","","","","","","","","","","","","","","","2.70000004768372","3.70000004768372","","","","","","",
"Papua New Guinea","PNG","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.09999990463257","3","2.90000009536743","3","3.09999990463257","3","3.09999990463257","3","3.09999990463257","3.29999995231628","3.20000004768372","3","3.09999990463257","3.09999990463257","3","3","2.90000009536743","2.90000009536743","2.90000009536743","2.79999995231628","3","3","3","2.90000009536743","2.90000009536743","2.90000009536743","3",
"Papua New Guinea","PNG","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.90000009536743","","","","","","","","","","","","","","","","","","","","1.29999995231628","1.39999997615814","","","","","","",
"Papua New Guinea","PNG","Share of youth not in education, employment or training, total (% of youth population)","SL.UEM.NEET.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.7000007629395","","","","","","","",
"Papua New Guinea","PNG","Share of youth not in education, employment or training, male (% of male youth population)","SL.UEM.NEET.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.3999996185303","","","","","","","",
"Papua New Guinea","PNG","Share of youth not in education, employment or training, female (% of female youth population)","SL.UEM.NEET.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","","","","","","",
"Papua New Guinea","PNG","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.59999990463257","","","","","","","",
"Papua New Guinea","PNG","Unemployment with intermediate education, male (% of male labor force with intermediate education)","SL.UEM.INTM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","",
"Papua New Guinea","PNG","Unemployment with intermediate education, female (% of female labor force with intermediate education)","SL.UEM.INTM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.19999980926514","","","","","","","",
"Papua New Guinea","PNG","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.800000011920929","","","","","","","",
"Papua New Guinea","PNG","Unemployment with basic education, male (% of male labor force with basic education)","SL.UEM.BASC.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.60000002384186","","","","","","","",
"Papua New Guinea","PNG","Unemployment with basic education, female (% of female labor force with basic education)","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.40000009536743","","","","","","","",
"Papua New Guinea","PNG","Unemployment with advanced education (% of total labor force with advanced education)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.70000004768372","","","","","","","",
"Papua New Guinea","PNG","Unemployment with advanced education, male (% of male labor force with advanced education)","SL.UEM.ADVN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.40000009536743","","","","","","","",
"Papua New Guinea","PNG","Unemployment with advanced education, female (% of female labor force with advanced education)","SL.UEM.ADVN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.70000004768372","","","","","","","",
"Papua New Guinea","PNG","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.40000009536743","5.5","5.5","5.40000009536743","5.40000009536743","5.40000009536743","5.40000009536743","5.40000009536743","5.40000009536743","5.80000019073486","5.59999990463257","5.40000009536743","5.5","5.5","5.5","5.40000009536743","5.30000019073486","5.30000019073486","5.30000019073486","5.30000019073486","5.59999990463257","5.59999990463257","5.59999990463257","5.59999990463257","5.59999990463257","5.59999990463257","5.69999980926514",
"Papua New Guinea","PNG","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.30000019073486","","","","","","","","","","3.59999990463257","","","","","","","",
"Papua New Guinea","PNG","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.90000009536743","4.90000009536743","4.90000009536743","4.80000019073486","4.80000019073486","4.80000019073486","4.80000019073486","4.80000019073486","4.80000019073486","5.19999980926514","5","4.80000019073486","4.90000009536743","4.90000009536743","4.90000009536743","4.80000019073486","4.69999980926514","4.69999980926514","4.69999980926514","4.69999980926514","5","5","5","5","5","5","5.09999990463257",
"Papua New Guinea","PNG","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.30000019073486","","","","","","","",
"Papua New Guinea","PNG","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6.09999990463257","6","6","6","6","6","6","6.40000009536743","6.19999980926514","6","6.09999990463257","6.09999990463257","6.09999990463257","6","5.90000009536743","5.80000019073486","5.90000009536743","5.80000019073486","6.19999980926514","6.19999980926514","6.19999980926514","6.19999980926514","6.19999980926514","6.30000019073486","6.30000019073486",
"Papua New Guinea","PNG","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","",
"Papua New Guinea","PNG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1813765","1859503","1899970","1934721","1988676","2060872","2113639","2189445","2267526","2337172","2416813","2489511","2565648","2639743","2714135","2782346","2859946","2927966","2997954","3071133","3143571","3207450","3279694","3360556","3435015","3514995","3606291","3696190",
"Papua New Guinea","PNG","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.4899642456437","48.5506073397031","48.6387679805471","48.7600020881564","48.7998547777516","48.7628537822824","48.8066315960294","48.7564200059833","48.7055936734573","48.6935920847931","48.648571486499","48.6215566028831","48.591817739612","48.5757893855576","48.5618806728479","48.5716370286082","48.5574552806242","48.5771009636041","48.5943413407944","48.6103988332645","48.6418153113132","48.7071973062713","48.7562864096468","48.7841595259832","48.8439788472539","48.8871250172475","48.8877076198232","48.8996777763048",
"Papua New Guinea","PNG","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.9000015258789","","","","","","","",
