"Data Source","World Development Indicators",

"Last Updated Date","2018-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Senegal","SEN","Child employment in agriculture, male (% of male economically active children ages 7-14)","SL.AGR.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.15","","","","","","89.01","","","","","","",
"Senegal","SEN","Child employment in agriculture, female (% of female economically active children ages 7-14)","SL.AGR.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.03","","","","","","78.76","","","","","","",
"Senegal","SEN","Annualized average growth rate in per capita real survey mean consumption or income, total population (%)","SI.SPR.PCAP.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Senegal","SEN","Survey mean consumption or income per capita, total population (2011 PPP $ per day)","SI.SPR.PCAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Senegal","SEN","Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)","SI.SPR.PC40.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Senegal","SEN","Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)","SI.SPR.PC40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Senegal","SEN","Urban poverty headcount ratio at national poverty lines (% of urban population)","SI.POV.URHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.2","","","","","33.6","","","","","33.1","","","","","","","",
"Senegal","SEN","Urban poverty gap at national poverty lines (%)","SI.POV.URGP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.7","","","","","8.8","","","","","9.2","","","","","","","",
"Senegal","SEN","Poverty gap at $5.50 a day (2011 PPP) (% of population)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.7","","","62.5","","","","","","","57.1","","","","51.1","","","","","","50.5","","","","","","",
"Senegal","SEN","Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)","SI.POV.UMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.8","","","94.9","","","","","","","92","","","","88.8","","","","","","88.1","","","","","","",
"Senegal","SEN","Rural poverty headcount ratio at national poverty lines (% of rural population)","SI.POV.RUHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.1","","","","","58.8","","","","","57.1","","","","","","","",
"Senegal","SEN","Rural poverty gap at national poverty lines (%)","SI.POV.RUGP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.2","","","","","20.2","","","","","18.6","","","","","","","",
"Senegal","SEN","Poverty headcount ratio at national poverty lines (% of population)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.2","","","","","48.3","","","","","46.7","","","","","","","",
"Senegal","SEN","Poverty gap at national poverty lines (%)","SI.POV.NAGP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.2","","","","","15.4","","","","","14.5","","","","","","","",
"Senegal","SEN","Poverty gap at $3.20 a day (2011 PPP) (% of population)","SI.POV.LMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.3","","","42.3","","","","","","","36.1","","","","29.9","","","","","","29.6","","","","","","",
"Senegal","SEN","Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.6","","","83.4","","","","","","","76.8","","","","67.8","","","","","","67.5","","","","","","",
"Senegal","SEN","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.1","","","41.4","","","","","","","41.2","","","","39.2","","","","","","40.3","","","","","","",
"Senegal","SEN","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.5","","","21.4","","","","","","","16.5","","","","12.8","","","","","","12.8","","","","","","",
"Senegal","SEN","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.4","","","57.5","","","","","","","49.3","","","","38.4","","","","","","38","","","","","","",
"Senegal","SEN","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","","","6.5","","","","","","","6.6","","","","6.2","","","","","","6.1","","","","","","",
"Senegal","SEN","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","","","2.6","","","","","","","2.7","","","","2.4","","","","","","2.3","","","","","","",
"Senegal","SEN","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.8","","","33.9","","","","","","","33.4","","","","30","","","","","","31","","","","","","",
"Senegal","SEN","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.6","","","48.4","","","","","","","48.4","","","","45.8","","","","","","46.9","","","","","","",
"Senegal","SEN","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.3","","","20.4","","","","","","","20.5","","","","22.1","","","","","","21.7","","","","","","",
"Senegal","SEN","Income share held by third 20%","SI.DST.03RD.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.6","","","14.4","","","","","","","14.2","","","","15.2","","","","","","15","","","","","","",
"Senegal","SEN","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","","10.4","","","","","","","10.3","","","","10.7","","","","","","10.4","","","","","","",
"Senegal","SEN","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.93436113","4.08425752","3.93954329","3.96613493","4.48967969","4.63151098","4.97866497","5.06418774","5.39898595","5.68098678","5.35462391","5.4435566","4.72179722","4.93514752","4.8075596","4.62149151","4.41690185","4.31118548","4.51055336","4.66497201","","","",
"Senegal","SEN","Health expenditure, public (% of GDP)","SH.XPD.PUBL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.27985383129042","1.48401433274783","1.2842599893601","1.31116858125776","1.74100121660845","1.89554163200178","2.13524026931393","1.95048094003983","2.09132831992894","2.11925709329121","2.98243741931373","3.14990160765997","2.33251242772194","2.52752636982054","2.48626364811899","2.36854781272077","2.27983939973319","2.17986621799389","2.23831542383011","2.41795606966454","","","",
"Senegal","SEN","Health expenditure, public (% of government expenditure)","SH.XPD.PUBL.GX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.10441362","7.72390178","7.23194448","7.06702373","9.04094337","10.13561922","10.25727226","9.68762094","9.68059043","9.0006634","12.41152592","11.60626986","8.70721287","9.59847767","9.36508187","8.77232959","7.84079944","7.47616648","7.94603712","8.03667306","","","",
"Senegal","SEN","Health expenditure, public (% of total health expenditure)","SH.XPD.PUBL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.53015646","36.3349844","32.59920998","33.05910173","38.77784913","40.92706765","42.88780792","38.51517835","38.73557626","37.30438347","55.69835472","57.86477186","49.39882674","51.21480887","51.7157114","51.25072301","51.61625676","50.56303488","49.62396507","51.83216672","","","",
"Senegal","SEN","Health expenditure, private (% of GDP)","SH.XPD.PRIV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.65450729870958","2.60024318725217","2.6552833006399","2.65496634874224","2.74867847339155","2.73596934799822","2.84342470068608","3.11370679996017","3.30765763007106","3.56172968670879","2.37218649068627","2.29365499234003","2.38928479227806","2.40762115017946","2.32129595188101","2.25294369727923","2.13706245026681","2.1313192620061","2.27223793616989","2.24701594033546","","","",
"Senegal","SEN","Health expenditure per capita, PPP (constant 2011 international $)","SH.XPD.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.90094584","53.48333446","52.78921713","55.53519661","66.25891642","70.35792475","78.83990118","79.81765292","90.12923524","100.40262128","100.40708888","104.919558","95.41717651","102.5632025","100.22574195","98.73971716","95.3619219","95.01243387","101.18092028","106.93550431","","","",
"Senegal","SEN","Health expenditure per capita (current US$)","SH.XPD.PCAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.03558854","23.14480483","20.08857657","21.2540616","24.01328329","21.98009293","24.00055238","25.99912552","34.69528609","41.60289552","41.37262946","43.99963477","44.78656719","54.01896773","48.95968683","46.12801624","47.75251607","43.94271385","46.91551225","49.53139304","","","",
