"Data Source","World Development Indicators",

"Last Updated Date","2018-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Sri Lanka","LKA","Child employment in services, male (% of male economically active children ages 7-14)","SL.SRV.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.84","","","","","","","","","","17.61","","","","","","","","",
"Sri Lanka","LKA","Child employment in services, female (% of female economically active children ages 7-14)","SL.SRV.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.53","","","","","","","","","","16.95","","","","","","","","",
"Sri Lanka","LKA","Children in employment, self-employed (% of children in employment, ages 7-14)","SL.SLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.65","","","","","","","","",
"Sri Lanka","LKA","Children in employment, self-employed, male (% of male children in employment, ages 7-14)","SL.SLF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.23","","","","","","","","",
"Sri Lanka","LKA","Children in employment, self-employed, female (% of female children in employment, ages 7-14)","SL.SLF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.75","","","","","","","","",
"Sri Lanka","LKA","Child employment in manufacturing (% of economically active children ages 7-14)","SL.MNF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.11","","","","","","","","","","15.28","","","","","","","","",
"Sri Lanka","LKA","Child employment in manufacturing, male (% of male economically active children ages 7-14)","SL.MNF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.97","","","","","","","","","","14.35","","","","","","","","",
"Sri Lanka","LKA","Child employment in manufacturing, female (% of female economically active children ages 7-14)","SL.MNF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.96","","","","","","","","","","16.73","","","","","","","","",
"Sri Lanka","LKA","Informal employment (% of total non-agricultural employment)","SL.ISV.IFRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Informal employment, male (% of total non-agricultural employment)","SL.ISV.IFRM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Informal employment, female (% of total non-agricultural employment)","SL.ISV.IFRM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.1000003814697","20.3999996185303","21.7000007629395","20.5","25","24.3999996185303","24.7999992370605","23","21.7999992370605","20.3999996185303","19.3999996185303","19.8999996185303","20.1000003814697","21.6000003814697","22.1000003814697","22.1000003814697","21.7000007629395","21.3999996185303","20.8999996185303","20.2000007629395","17.7999992370605","19.7999992370605","20.8999996185303","26.5","26.2999992370605","26.1000003814697","25.8999996185303",
"Sri Lanka","LKA","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.1000003814697","19.1000003814697","20.7000007629395","18.2000007629395","23.1000003814697","23.7999992370605","24.8999996185303","23.2999992370605","21.3999996185303","19.3999996185303","18.1000003814697","17.7000007629395","17.7000007629395","19.1000003814697","19.6000003814697","19.2000007629395","19.2000007629395","19.1000003814697","18.7999992370605","18","14.5","16.7000007629395","18.7999992370605","26.5","26.2999992370605","26.2999992370605","26.2000007629395",
"Sri Lanka","LKA","Employment in industry, female (% of female employment) (modeled ILO estimate)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.2999992370605","23.6000003814697","24.1000003814697","25.8999996185303","29.2000007629395","26","24.6000003814697","22.2999992370605","22.7000007629395","22.6000003814697","22.2999992370605","24.7000007629395","25.6000003814697","27.2000007629395","27.7000007629395","28.2999992370605","27.2000007629395","26.6000003814697","25.2999992370605","24.7999992370605","25","26.3999996185303","25.3999996185303","26.2999992370605","26.1000003814697","25.7000007629395","25.2999992370605",
"Sri Lanka","LKA","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10663","11350","11828","12153","12959","13091","13592","12984","13708","14400","14145","14658","15520","16546","17205","17722","19001","19859","20338","21961","23607","25979","26587","28706","30031","31055","32397",
"Sri Lanka","LKA","Contributing family workers, total (% of total employment)","SL.FAM.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.6000003814697","9.39999961853027","10.1999998092651","9.80000019073486","9.30000019073486","9.89999961853027","9.30000019073486","13.6000003814697","12","12.8000001907349","10.5","10.5","9.89999961853027","9.19999980926514","7.80000019073486","9.89999961853027","9.89999961853027","10.1999998092651","10.3000001907349","10.1000003814697","10.5","8.69999980926514","8.60000038146973","8.10000038146973","7.90000009536743","7.59999990463257","7.40000009536743",
"Sri Lanka","LKA","Contributing family workers, male (% of male employment)","SL.FAM.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.90000009536743","6","6.69999980926514","5.90000009536743","5.09999990463257","6.09999990463257","5.5","6.80000019073486","6.19999980926514","6.5","5.5","4.80000019073486","4.80000019073486","4.5","3.20000004768372","4.40000009536743","4.40000009536743","4.5","4.5","4.40000009536743","4.5","3.70000004768372","3","2.90000009536743","2.79999995231628","2.79999995231628","2.59999990463257",
"Sri Lanka","LKA","Contributing family workers, female (% of female employment)","SL.FAM.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.8999996185303","17.5","18.7000007629395","18.7999992370605","19.1000003814697","18.8999996185303","18.2999992370605","27","24.7999992370605","26.5","21.2999992370605","23","21.2999992370605","19.7999992370605","18.2000007629395","21.7000007629395","21.7000007629395","22.3999996185303","22.2999992370605","22.3999996185303","23.2999992370605","19.3999996185303","20.5","20.6000003814697","19.8999996185303","19.1000003814697","18.6000003814697",
"Sri Lanka","LKA","Children in employment, unpaid family workers (% of children in employment, ages 7-14)","SL.FAM.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.9","","","","","","","","",
"Sri Lanka","LKA","Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)","SL.FAM.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91","","","","","","","","",
"Sri Lanka","LKA","Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)","SL.FAM.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.86","","","","","","","","",
"Sri Lanka","LKA","Wage and salaried workers, total (% of total employment)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.5","62.2000007629395","60","60.7000007629395","59.7999992370605","60.7999992370605","59.2999992370605","55.5999984741211","57.5","56.2000007629395","58.5999984741211","57.9000015258789","57.9000015258789","59.4000015258789","59.2999992370605","55.5999984741211","56.5","56.0999984741211","57.5999984741211","55.5","54.9000015258789","56.4000015258789","55.7999992370605","56.5999984741211","56.5999984741211","56.7000007629395","57.2000007629395",
"Sri Lanka","LKA","Wage and salaried workers, male (% of male employment)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.7999992370605","60.2000007629395","57.7000007629395","59.2000007629395","58.2999992370605","59.5","58.2999992370605","55.7999992370605","57.5999984741211","56.5999984741211","57.9000015258789","57.4000015258789","57.4000015258789","58.9000015258789","59.7999992370605","56","57.2000007629395","56.7000007629395","59","56.0999984741211","55.7999992370605","56.5999984741211","56.5999984741211","57.2999992370605","57.2000007629395","57.2999992370605","57.7000007629395",
"Sri Lanka","LKA","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.1999969482422","67","65.5999984741211","64.1999969482422","63.0999984741211","63.9000015258789","61.7999992370605","55.2000007629395","57.0999984741211","55.5","60","58.7999992370605","59","60.5999984741211","58.2000007629395","54.7999992370605","55.0999984741211","54.7000007629395","54.7999992370605","54.2999992370605","53.0999984741211","56.0999984741211","54","54.7000007629395","55","55.2999992370605","56",
"Sri Lanka","LKA","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.6000003814697","35.3999996185303","37.9000005722046","37.0000009536744","37.8000001907349","36.7999992370606","38.3000001907349","42.5","40.5","41.3000001907349","39.1000003814697","39.3999996185303","39.5","37.5999994277954","37.5999994277954","41.1000003814698","40.6000003814698","40.9000005722046","39.5999994277954","41.8000011444092","42.2000007629395","40.6999998092651","41.1000003814697","40.6000003814697","40.6000008583069","40.5000014305115","39.9999985694885",
