"Data Source","World Development Indicators",

"Last Updated Date","2018-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Thailand","THA","Share of tariff lines with specific rates, manufactured products (%)","TM.TAX.MANF.SR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.77351","","21.93953","","2.055689","","1.630957","","","","","0.4898","0.230394","","0.3103763","21.60266","0.4822409","0.5145021","2.806913","2.636904","2.604078","2.581653","2.61644","","3.82739","2.266723","1.982077","","",
"Thailand","THA","Tariff rate, most favored nation, simple mean, manufactured products (%)","TM.TAX.MANF.SM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.64","","40.64","","46.24","","20.68","","","","","16.09","15.1","","14.27","10.31","10.71","10.71","8.73","8.73","8.71","8.71","8.75","","8.84","8.84","8.35","","",
"Thailand","THA","Tariff rate, applied, simple mean, manufactured products (%)","TM.TAX.MANF.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.86","","38.78","","43.29","","20.1","","","","","16.11","14.48","","13.32","11.26","10.12","10.41","9.88","10.15","10.33","10.23","10.65","","11.13","7.69","7.2","","",
"Thailand","THA","Share of tariff lines with international peaks, manufactured products (%)","TM.TAX.MANF.IP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.8698","","74.82793","","95.23547","","57.27854","","","","","47.26444","51.18424","","48.50539","22.14055","20.81604","21.63927","16.63531","17.33111","17.79356","17.13923","18.20565","","22.22176","16.19776","14.46803","","",
"Thailand","THA","Bound rate, simple mean, manufactured products (%)","TM.TAX.MANF.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.72","","","","","25.5","25.5","","25.44","25.44","25.44","25.44","25.52","25.52","25.52","25.52","25.52","","25.49","25.49","25.49","","",
"Thailand","THA","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.49","","","","","73.35","73.35","","72.97","72.97","72.97","72.97","73.16","73.16","73.16","73.16","73.16","","73.44","73.44","73.44","","",
"Thailand","THA","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","23.24826824","22.64262616","20.00697865","25.5581696","26.2358314","24.46686347","25.1219779","32.29795579","44.8743461","54.04706737","65.88174067","71.37546341","77.29791301","86.5212391","99.93809851","114.3114371","105.2324774","95.75615133","70.80876854","85.57532544","100","96.5957187","100.2663786","113.7362556","137.1189306","162.4822414","164.42736","170.124902","191.1062851","145.0094712","184.9851272","211.5101446","226.517988","231.1167182","216.7507732","217.313128","212.5201634","",
"Thailand","THA","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","31.0785397337984","31.7068617018073","30.3422925176521","30.6462247400572","32.8726738104667","31.0811888680819","29.690916238426","30.9976048942293","29.8707644107679","29.2073890586557","28.3453200418769","28.7281219402604","31.3732724326","33.3313731832217","40.7747192867988","36.8753137295733","38.5783252481613","40.985139931871","39.3280253277945","45.5063822028749","48.5852498122018","48.7457596902647","42.3451369159893","41.5929682345995","42.6125016710367","42.0635183056507","41.8709105061535","48.8310790141678","58.7638162542023","63.4580528892681","65.7499243551987","67.1829840922455","65.6403019572095","64.4317697251274","67.9831069450732","75.1571878758794","69.9608775289123","80.0557896728","85.7060873595333","85.8789903297013","103.630514828624","105.514075774933","98.8474747251879","102.539552048327","110.273561947758","121.020396873874","116.565946871524","111.747987400426","122.519930975668","101.569217554616","110.296389529597","121.720485592648","120.288932270097","113.883225298243","111.992064769093","104.451228730065","100.63303127654","",
"Thailand","THA","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.82517334431837","5.67190399062397","5.17954225371489","4.62965812131786","5.09365826269473","4.49107273073699","4.82145383587038","5.27339269015945","4.1585595712763","4.9808625862229","3.70598130317368","4.20463959103889","4.23445206503759","3.28925638235646","3.70601757312307","3.44722040390644","2.95091291561418","2.96198431395731","2.99761417380722","3.46488262924454","4.15161800859727","5.09422825006587","",
"Thailand","THA","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4791000000","4735000000","3752000000","2246000000","2870000000","3218000000","3334000000","3888000000","3538000000","5343000000","4920000000","6176000000","6889000000","6707000000","5744000000","7155000000","7534000000","8095000000","8238000000","8824000000","9539000000","11267000000","",
