"Data Source","World Development Indicators",

"Last Updated Date","2018-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"United Kingdom","GBR","Child employment in services, male (% of male economically active children ages 7-14)","SL.SRV.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Child employment in services, female (% of female economically active children ages 7-14)","SL.SRV.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Children in employment, self-employed (% of children in employment, ages 7-14)","SL.SLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Children in employment, self-employed, male (% of male children in employment, ages 7-14)","SL.SLF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Children in employment, self-employed, female (% of female children in employment, ages 7-14)","SL.SLF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Child employment in manufacturing (% of economically active children ages 7-14)","SL.MNF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Child employment in manufacturing, male (% of male economically active children ages 7-14)","SL.MNF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Child employment in manufacturing, female (% of female economically active children ages 7-14)","SL.MNF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Informal employment (% of total non-agricultural employment)","SL.ISV.IFRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Informal employment, male (% of total non-agricultural employment)","SL.ISV.IFRM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Informal employment, female (% of total non-agricultural employment)","SL.ISV.IFRM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.3999996185303","29.8999996185303","29.3999996185303","27.7999992370605","27.3999996185303","27.3999996185303","26.8999996185303","26.7000007629395","25.7999992370605","25.2000007629395","24.7000007629395","23.8999996185303","23.3999996185303","22.2999992370605","22.2000007629395","22.1000003814697","22.2000007629395","21.2999992370605","19.7000007629395","19.2999992370605","19.2000007629395","19.1000003814697","18.8999996185303","19","18.7000007629395","18.6000003814697","18.3999996185303",
"United Kingdom","GBR","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.4000015258789","41.0999984741211","40.7000007629395","38.9000015258789","38.4000015258789","38.7000007629395","38.2000007629395","37.9000015258789","37","36.2999992370605","35.7999992370605","35.0999984741211","34.4000015258789","33.2000007629395","33.0999984741211","32.7999992370605","33","31.7000007629395","30.1000003814697","29.6000003814697","29.3999996185303","28.8999996185303","28.7000007629395","28.6000003814697","28.2999992370605","28.1000003814697","27.8999996185303",
"United Kingdom","GBR","Employment in industry, female (% of female employment) (modeled ILO estimate)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.3999996185303","16.2000007629395","15.8000001907349","14.3000001907349","14.1000003814697","14","13.3000001907349","13.1000003814697","12.6000003814697","11.8999996185303","11.3999996185303","10.8000001907349","10.1999998092651","9.5","9.39999961853027","9.5","9.39999961853027","9","7.69999980926514","7.5","7.5","7.59999990463257","7.69999980926514","7.90000009536743","7.69999980926514","7.59999990463257","7.5",
"United Kingdom","GBR","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56873","58453","60743","62617","63551","64501","65345","66710","68014","69639","70956","72260","73881","75005","76586","77619","78942","77510","75122","76328","77167","77269","77576","78092","78773","79413","80639",
"United Kingdom","GBR","Contributing family workers, total (% of total employment)","SL.FAM.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.699999988079071","0.699999988079071","0.600000023841858","0.600000023841858","0.600000023841858","0.5","0.5","0.400000005960464","0.400000005960464","0.400000005960464","0.400000005960464","0.400000005960464","0.300000011920929","0.400000005960464","0.300000011920929","0.300000011920929","0.400000005960464","0.300000011920929","0.300000011920929","0.300000011920929","0.400000005960464","0.400000005960464","0.400000005960464","0.400000005960464","0.300000011920929","0.400000005960464","0.400000005960464",
"United Kingdom","GBR","Contributing family workers, male (% of male employment)","SL.FAM.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.400000005960464","0.400000005960464","0.300000011920929","0.400000005960464","0.300000011920929","0.300000011920929","0.300000011920929","0.200000002980232","0.200000002980232","0.300000011920929","0.200000002980232","0.200000002980232","0.200000002980232","0.300000011920929","0.200000002980232","0.200000002980232","0.300000011920929","0.200000002980232","0.200000002980232","0.300000011920929","0.300000011920929","0.300000011920929","0.300000011920929","0.300000011920929","0.300000011920929","0.300000011920929","0.300000011920929",
"United Kingdom","GBR","Contributing family workers, female (% of female employment)","SL.FAM.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.10000002384186","1.10000002384186","1","0.899999976158142","0.899999976158142","0.699999988079071","0.699999988079071","0.600000023841858","0.5","0.600000023841858","0.5","0.5","0.400000005960464","0.5","0.5","0.400000005960464","0.5","0.5","0.400000005960464","0.400000005960464","0.5","0.5","0.5","0.400000005960464","0.400000005960464","0.400000005960464","0.400000005960464",
"United Kingdom","GBR","Children in employment, unpaid family workers (% of children in employment, ages 7-14)","SL.FAM.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)","SL.FAM.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)","SL.FAM.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Wage and salaried workers, total (% of total employment)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.3000030517578","86.6999969482422","86.9000015258789","86.5","86.5","87","87","87.5","87.3000030517578","87.6999969482422","87.8000030517578","87.5999984741211","87.0999984741211","86.9000015258789","87","86.6999969482422","86.5","86.5999984741211","86.3000030517578","85.9000015258789","85.6999969482422","85.3000030517578","85.3000030517578","84.6999969482422","84.9000015258789","84.5","84.5999984741211",
"United Kingdom","GBR","Wage and salaried workers, male (% of male employment)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.9000015258789","82.4000015258789","82.5999984741211","82","81.9000015258789","82.5999984741211","82.8000030517578","83.5999984741211","83.0999984741211","83.9000015258789","83.6999969482422","83.5","82.9000015258789","82.4000015258789","82.5","82.3000030517578","82.1999969482422","82.1999969482422","81.9000015258789","81.5999984741211","81.4000015258789","80.9000015258789","81.0999984741211","80.5","80.9000015258789","80.5","80.5999984741211",
