"Data Source","World Development Indicators",

"Last Updated Date","2018-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Uzbekistan","UZB","Share of tariff lines with specific rates, manufactured products (%)","TM.TAX.MANF.SR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","0.6998613","0.7297114","1.159317","0.8789203","","","0.4855738","","8.183939","10.05142","","",
"Uzbekistan","UZB","Tariff rate, most favored nation, simple mean, manufactured products (%)","TM.TAX.MANF.SM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.8","","","","","15.52","15.52","15.36","15.16","","","15.16","","13.98","13.98","","",
"Uzbekistan","UZB","Tariff rate, applied, simple mean, manufactured products (%)","TM.TAX.MANF.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.66","","","","","11.98","12.24","12.77","12.01","","","12.26","","11.62","13.52","","",
"Uzbekistan","UZB","Share of tariff lines with international peaks, manufactured products (%)","TM.TAX.MANF.IP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.88303","","","","","21.91152","22.65946","24.55943","22.71265","","","23.78909","","19.64432","20.87637","","",
"Uzbekistan","UZB","Bound rate, simple mean, manufactured products (%)","TM.TAX.MANF.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Uzbekistan","UZB","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Uzbekistan","UZB","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","105.8021944","90.99441508","94.61688758","111.3170587","114.112854","129.8057886","173.8303803","230.7832135","235.6836385","216.904144","236.2838976","274.3340134","307.4013377","308.5928443","301.7791503","313.0705325","",
"Uzbekistan","UZB","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.9638519304043","46.2905088819775","63.9477304874724","55.6813877542664","45.5001207492384","37.1520487066981","40.0715838439203","48.4328549879643","50.9705300104358","57.7698959894726","63.7737737541799","58.8152662119899","57.6833179802035","64.4011174131252","66.2449939471078","58.6478785965133","51.8257308564048","51.6738325278211","44.8547438888668","43.5738987858003","38.8475272615574","32.135691349021","31.9843687446847","",
"Uzbekistan","UZB","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Uzbekistan","UZB","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Uzbekistan","UZB","International tourism, expenditures for travel items (current US$)","ST.INT.TVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Uzbekistan","UZB","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27000000","22000000","22000000","24000000","28000000","28000000","43000000","51000000","64000000","99000000","121000000","","","","","","","",
"Uzbekistan","UZB","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Uzbekistan","UZB","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36000000","50000000","46000000","24000000","29000000","","","","","","","","","","","","","",
"Uzbekistan","UZB","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Uzbekistan","UZB","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15000000","198000000","167000000","102000000","63000000","72000000","68000000","48000000","57000000","28000000","43000000","51000000","64000000","99000000","121000000","","","","","","","",
"Uzbekistan","UZB","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","246000","247000","202000","217000","183000","264000","400000","455000","572000","893000","1248000","1150000","1317000","1610000","","","","","","","",
"Uzbekistan","UZB","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92000","173000","960000","811000","487000","302000","345000","332000","231000","262000","242000","560000","903000","1069000","1215000","975000","","","1969000","","","","",
"Uzbekistan","UZB","Unmet need for contraception (% of married women ages 15-49)","SP.UWT.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.7","","","","","","","","","","","","","","","","","","","","","",
"Uzbekistan","UZB","Urban population (% of total)","SP.URB.TOTL.IN.ZS","33.978","34.238","34.5","34.762","35.025","35.289","35.554","35.82","36.087","36.354","36.714","37.184","37.657","38.131","38.608","39.087","39.568","40.051","40.536","40.794","40.782","40.77","40.758","40.746","40.734","40.722","40.71","40.697","40.685","40.518","40.172","39.828","39.484","39.141","38.8","38.44","38.08","37.833","37.698","37.564","37.429","37.278","37.127","36.976","36.826","36.676","36.526","36.402","36.305","36.235","36.191","36.173","36.182","36.217","36.278","36.365","36.479","",
"Uzbekistan","UZB","Urban population","SP.URB.TOTL","2904947","3025732","3152643","3286486","3428592","3579624","3740593","3910629","4086165","4262087","4446076","4639469","4830875","5023222","5221768","5430215","5649962","5880071","6119319","6329949","6500546","6671424","6843296","7016955","7193614","7374062","7558006","7744589","7934073","8095143","8239277","8344763","8468923","8588318","8682276","8758554","8844080","8953936","9066746","9132428","9226398","9306248","9382680","9453894","9524806","9597009","9675098","9780489","9912282","10061517","10337018","10612941","10773010","10953180","11158278","11381845","11617905","",
"Uzbekistan","UZB","Urban population growth (annual %)","SP.URB.GROW","4.04889687448517","4.07378999493542","4.10881029723075","4.15777602086067","4.23307724131169","4.31080856891962","4.39863880436469","4.44540756168955","4.39086467472199","4.21520690481589","4.22629629932481","4.25780106212768","4.04276906431104","3.90439498090796","3.87644813811018","3.91426861378847","3.96700914665641","3.99200171955519","3.9881979155396","3.3841363428627","2.65939941221989","2.59471570206751","2.54361565223109","2.50598763358059","2.4864324757028","2.47750196867154","2.46386910914676","2.43870071784512","2.41721169910539","2.00977292417209","1.76483451542983","1.27215591175232","1.47691894447656","1.3999561827132","1.0880798539535","0.8747116547574","0.971748580512908","1.23449035147426","1.2520222445843","0.721816112964559","1.0237127435091","0.861727938052628","0.817943395447019","0.756128362757524","0.747283322840788","0.755193407683431","0.810388063540071","1.08341147332557","1.33851114885658","1.49433542464303","2.70134843706649","2.63426726419795","1.49698266137587","1.6585892902147","1.85518189119466","1.98378981226233","2.05279004752499","",
"Uzbekistan","UZB","Rural population (% of total population)","SP.RUR.TOTL.ZS","66.022","65.762","65.5","65.238","64.975","64.711","64.446","64.18","63.913","63.646","63.286","62.816","62.343","61.869","61.392","60.913","60.432","59.949","59.464","59.206","59.218","59.23","59.242","59.254","59.266","59.278","59.29","59.303","59.315","59.482","59.828","60.172","60.516","60.859","61.2","61.56","61.92","62.167","62.302","62.436","62.571","62.722","62.873","63.024","63.174","63.324","63.474","63.598","63.695","63.765","63.809","63.827","63.818","63.783","63.722","63.635","63.521","",
"Uzbekistan","UZB","Rural population growth (annual %)","SP.RUR.TOTL.ZG","2.88772542951102","2.91690761825383","2.94733470455446","3.00041810911859","3.07539515871493","3.15275201040584","3.24014387306654","3.28642483534599","3.23135510140292","3.05940939851108","2.67366002948434","2.24034839555164","2.02289905651914","1.89028274859843","1.85930778185218","1.89793818048275","1.95113944763908","1.97625026118878","1.97221153632231","2.31484196588928","2.70910475798215","2.64440224789805","2.5933135558667","2.5556809205053","2.53614138341145","2.52720460466954","2.51357780322635","2.49257064694628","2.46694265121771","2.70222541928231","3.20245699408123","2.70548329600719","2.91446293094302","2.83765086006916","2.5218497108895","2.3933898527108","2.49577802948495","2.28334786077176","1.82641098119562","1.29276025942132","1.59973485290617","1.50700016198857","1.46428759187564","1.40355720530393","1.39148649377933","1.40051062223468","1.45681489911996","1.61864085160365","1.75772693613147","1.7971842080906","2.89182806570287","2.71222056963197","1.4579953553444","1.50704665794337","1.59122122819848","1.60763238556578","1.56048335154645","",
"Uzbekistan","UZB","Rural population","SP.RUR.TOTL","5644546","5811617","5985454","6167764","6360394","6564116","6780286","7006817","7236930","7461759","7663952","7837589","7997750","8150368","8303326","8462423","8629158","8801388","8976693","9186913","9439198","9692138","9946773","10204257","10466361","10734238","11007471","11285288","11567152","11883984","12270723","12607237","12980077","13353682","13694724","14026446","14380920","14713064","14984254","15179222","15424002","15658202","15889170","16113756","16339544","16569991","16813152","17087511","17390518","17705883","18225382","18726459","19001490","19290020","19599422","19917055","20230295","",
"Uzbekistan","UZB","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83","","","","","78.8","","","","","78.4","","","80.8","","","","","","","","","","","","",
"Uzbekistan","UZB","Completeness of birth registration (%)","SP.REG.BRTH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9","","","","","","","","","","","",
"Uzbekistan","UZB","Completeness of birth registration, urban (%)","SP.REG.BRTH.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","","","","","",
"Uzbekistan","UZB","Completeness of birth registration, rural (%)","SP.REG.BRTH.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9","","","","","","","","","","","",
"Uzbekistan","UZB","Population, male (% of total)","SP.POP.TOTL.MA.ZS","48.025175755995","48.0817896582596","48.1444554277646","48.2107870954421","48.277896374773","48.343728243984","48.4076040816373","48.469555199123","48.5292091594769","48.5867007442269","48.6423074687169","48.6963517533214","48.7488953413005","48.8006036321928","48.8518558143101","48.902742431314","48.9529358086968","49.0021427027207","49.0503987143631","49.0979456602654","49.1447133118771","49.191606425104","49.2382549753971","49.28240806336","49.3212931542792","49.3535340147888","49.3774170197728","49.3947598101365","49.4117729104943","49.4362016200106","49.472331386875","49.5218814328957","49.5808884538015","49.6411858821641","49.692408546073","49.728057296436","49.7468701434157","49.7522231563982","49.7477316250682","49.7385438899589","49.7285012898548","49.7180661645493","49.7069031808204","49.6968583423507","49.6898854104669","49.6873212379179","49.6897928495068","49.6969702965378","49.7080692964423","49.7218711929903","49.7373794181195","49.7544019370153","49.7726975295941","49.7912573387549","49.8087992885158","49.8244754966399","49.8379341687318","",
"Uzbekistan","UZB","Population, male","SP.POP.TOTL.MA.IN","4105909","4249156","4399487","4557968","4725917","4903862","5092905","5291638","5495008","5696230","5890597","6075872","6253813","6428791","6607259","6793881","6990048","7194229","7404654","7618460","7833541","8049499","8267137","8487028","8710128","8937086","9167153","9399762","9635901","9876922","10146775","10375825","10634605","10892269","11119670","11330538","11553711","11774859","11964827","12092261","12258274","12411842","12561854","12706319","12851966","13001681","13161957","13352582","13571695","13806471","14206189","14597643","14819572","15058470","15320041","15594513","15872485","",
"Uzbekistan","UZB","Population, female (% of total)","SP.POP.TOTL.FE.ZS","51.9748242440051","51.9182103417404","51.8555445722354","51.7892129045579","51.722103625227","51.656271756016","51.5923959183627","51.530444800877","51.4707908405231","51.4132992557731","51.3576925312832","51.3036482466786","51.2511046586995","51.1993963678072","51.1481441856899","51.097257568686","51.0470641913032","50.9978572972793","50.9496012856369","50.9020543397346","50.8552866881229","50.808393574896","50.7617450246029","50.71759193664","50.6787068457208","50.6464659852112","50.6225829802272","50.6052401898635","50.5882270895057","50.5637983799894","50.527668613125","50.4781185671043","50.4191115461985","50.3588141178359","50.307591453927","50.271942703564","50.2531298565843","50.2477768436018","50.2522683749318","50.261456110041","50.2714987101452","50.2819338354507","50.2930968191796","50.3031416576493","50.3101145895331","50.3126787620821","50.3102071504932","50.3030297034622","50.2919307035577","50.2781288070097","50.2626205818805","50.2455980629846","50.2273024704059","50.2087426612451","50.1912007114842","50.1755245033601","50.1620658312682","",
