"Data Source","World Development Indicators",

"Last Updated Date","2018-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Zambia","ZMB","Child employment in services, male (% of male economically active children ages 7-14)","SL.SRV.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.75","","","5.39","","","","","","","","","",
"Zambia","ZMB","Child employment in services, female (% of female economically active children ages 7-14)","SL.SRV.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.23","","","8.63","","","","","","","","","",
"Zambia","ZMB","Children in employment, self-employed (% of children in employment, ages 7-14)","SL.SLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.89","","","","","","","","","",
"Zambia","ZMB","Children in employment, self-employed, male (% of male children in employment, ages 7-14)","SL.SLF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.76","","","","","","","","","",
"Zambia","ZMB","Children in employment, self-employed, female (% of female children in employment, ages 7-14)","SL.SLF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.03","","","","","","","","","",
"Zambia","ZMB","Child employment in manufacturing (% of economically active children ages 7-14)","SL.MNF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.57","","","0.65","","","","","","","","","",
"Zambia","ZMB","Child employment in manufacturing, male (% of male economically active children ages 7-14)","SL.MNF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.68","","","0.55","","","","","","","","","",
"Zambia","ZMB","Child employment in manufacturing, female (% of female economically active children ages 7-14)","SL.MNF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.45","","","0.76","","","","","","","","","",
"Zambia","ZMB","Informal employment (% of total non-agricultural employment)","SL.ISV.IFRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Zambia","ZMB","Informal employment, male (% of total non-agricultural employment)","SL.ISV.IFRM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Zambia","ZMB","Informal employment, female (% of total non-agricultural employment)","SL.ISV.IFRM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Zambia","ZMB","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.6000003814697","13.8999996185303","10.8999996185303","7.80000019073486","7.90000009536743","8","7.80000019073486","7.59999990463257","6.5","5.90000009536743","6","6.09999990463257","6.40000009536743","6.90000009536743","7.09999990463257","7.40000009536743","7.30000019073486","7.5","8.19999980926514","8.69999980926514","9.5","10.1000003814697","10.3000001907349","10.3999996185303","10.1999998092651","10","9.89999961853027",
"Zambia","ZMB","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.6000003814697","17.7999992370605","15.1999998092651","11.8000001907349","11.8000001907349","12","11.6000003814697","11.3999996185303","10.1000003814697","9.39999961853027","9.39999961853027","9.5","9.80000019073486","10.3999996185303","10.6000003814697","11.1999998092651","11.3999996185303","11.8000001907349","12.8999996185303","13.8000001907349","15","15.6999998092651","16.1000003814697","16.2999992370605","16","15.6999998092651","15.6999998092651",
"Zambia","ZMB","Employment in industry, female (% of female employment) (modeled ILO estimate)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.1999998092651","9.69999980926514","6.19999980926514","3.59999990463257","3.70000004768372","3.79999995231628","3.59999990463257","3.5","2.5","2.20000004768372","2.20000004768372","2.40000009536743","2.59999990463257","2.90000009536743","3.09999990463257","3.09999990463257","2.90000009536743","2.79999995231628","3","3.09999990463257","3.40000009536743","3.70000004768372","3.70000004768372","3.70000004768372","3.59999990463257","3.40000009536743","3.40000009536743",
"Zambia","ZMB","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6674","6428","6724","5888","5809","5834","5785","5494","5610","5685","5895","5938","6392","6671","6998","7348","7707","7866","8399","9203","9668","9419","9542","9636","9558","9490","9468",
"Zambia","ZMB","Contributing family workers, total (% of total employment)","SL.FAM.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.5999984741211","32.5","28.6000003814697","31.8999996185303","29","27.7000007629395","27","27.2000007629395","27.2000007629395","28.5","27.7999992370605","39.4000015258789","39.2000007629395","38.2000007629395","37","37.2000007629395","38.2999992370605","38","34.5999984741211","35","35.5","33.5999984741211","33.2999992370605","33","32.7999992370605","32.2000007629395","31.7999992370605",
"Zambia","ZMB","Contributing family workers, male (% of male employment)","SL.FAM.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.7999992370605","16.1000003814697","13.5","14.8000001907349","13.6999998092651","13","15.8999996185303","15.8000001907349","15.8000001907349","16.2999992370605","16","22.7000007629395","22.7000007629395","21.7999992370605","20.7999992370605","20.5","21.1000003814697","20.6000003814697","18.1000003814697","18.2000007629395","18.2999992370605","17.1000003814697","16.7000007629395","16.2999992370605","15.8999996185303","15.5","15.1000003814697",
"Zambia","ZMB","Contributing family workers, female (% of female employment)","SL.FAM.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.4000015258789","50.0999984741211","44.7999992370605","49.9000015258789","45.2000007629395","43.2999992370605","38.9000015258789","39.4000015258789","39.2999992370605","41.0999984741211","40.5999984741211","57.2999992370605","57.4000015258789","56.5","55.2999992370605","55.2999992370605","56.7999992370605","56.5","52.2000007629395","52.9000015258789","54.2000007629395","52.0999984741211","51.9000015258789","51.7000007629395","51.5","50.7000007629395","50.4000015258789",
"Zambia","ZMB","Children in employment, unpaid family workers (% of children in employment, ages 7-14)","SL.FAM.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.1","","","","","","","","","",
"Zambia","ZMB","Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)","SL.FAM.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.68","","","","","","","","","",
"Zambia","ZMB","Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)","SL.FAM.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.55","","","","","","","","","",
"Zambia","ZMB","Wage and salaried workers, total (% of total employment)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.3999996185303","19.7999992370605","21.6000003814697","20.5","19.8999996185303","20.3999996185303","17.6000003814697","17.5","17.2999992370605","17.1000003814697","17.5","14.6999998092651","15","15.6999998092651","16.5","16.7999992370605","16.8999996185303","17.5","19.1000003814697","19.6000003814697","20.1000003814697","21.1000003814697","21.7000007629395","22","22.2000007629395","22.3999996185303","22.5",
"Zambia","ZMB","Wage and salaried workers, male (% of male employment)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.5","30.3999996185303","32.7000007629395","31.5","30.6000003814697","31.1000003814697","25.8999996185303","25.7999992370605","25.5","25.2999992370605","25.6000003814697","22.1000003814697","22.2999992370605","23.2000007629395","24.1000003814697","24.7000007629395","24.8999996185303","25.7000007629395","27.6000003814697","28.2000007629395","28.8999996185303","29.7999992370605","30.5","30.7999992370605","31.1000003814697","31.2999992370605","31.5",
"Zambia","ZMB","Wage and salaried workers, female (% of female employment)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.5","8.60000038146973","9.80000019073486","8.89999961853027","8.69999980926514","9","8.69999980926514","8.60000038146973","8.60000038146973","8.5","8.69999980926514","6.80000019073486","7","7.40000009536743","7.90000009536743","8.19999980926514","8.39999961853027","8.80000019073486","9.89999961853027","10.3999996185303","10.6999998092651","11.3999996185303","11.8000001907349","12","12.1999998092651","12.3999996185303","12.5",
"Zambia","ZMB","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.1999969482422","79.5","77.8000011444092","78.8999996185303","79.5","79","82.0999984741211","82.1000022888184","82.400001525879","82.5999984741211","82.099998474121","85","84.7000007629395","84","83.2999992370605","82.900001525879","82.7999992370605","82.2000007629395","80.6999969482422","80.0999984741211","79.5","78.5999984741211","78","77.7000007629395","77.599998474121","77.400001525879","77.2000007629394",
"Zambia","ZMB","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","SL.EMP.VULN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.8999977111816","68.8000011444092","66.5","67.8000001907349","68.600001335144","68.0999984741211","73.8000011444092","73.899998664856","74.2000017166138","74.2999992370605","74.0999984741211","77.5","77.2999992370606","76.5","75.599998474121","74.9000015258789","74.6999988555908","73.8999996185302","72.0000019073486","71.400001525879","70.7999992370605","69.8000011444092","69.2000007629395","68.7999992370605","68.4999980926514","68.4000015258789","68.1000003814697",
"Zambia","ZMB","Vulnerable employment, female (% of female employment) (modeled ILO estimate)","SL.EMP.VULN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.1000022888184","91.0999984741211","89.8999977111816","90.7000007629394","91","90.599998474121","90.9000015258789","90.9000015258789","91","91.0999984741211","90.8999977111816","93","92.8000030517578","92.4000015258789","91.8999977111816","91.599998474121","91.3999977111816","91","89.7999992370606","89.4000015258789","89.1000022888184","88.3999977111816","87.9000015258789","87.7000007629395","87.5","87.2999992370606","87.2000007629394",
"Zambia","ZMB","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.4000015258789","64.0999984741211","63.7000007629395","64.5999984741211","65.5","67.3000030517578","68.5","69.8000030517578","69.4000015258789","69.0999984741211","68.5","69.4000015258789","67.3000030517578","67.3000030517578","67","67.0999984741211","67.4000015258789","69.1999969482422","68.6999969482422","67","65.0999984741211","69.4000015258789","69.5","69.5","69.5999984741211","69.5999984741211","69.6999969482422",
"Zambia","ZMB","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.5999984741211","","","","","","","","","","71.3000030517578","","","","","","","","68.5999984741211","","53.5999984741211","","68.6999969482422","","","","","",
"Zambia","ZMB","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.1999969482422","67.5999984741211","67.1999969482422","68.0999984741211","69","71.0999984741211","72.4000015258789","73.8000030517578","73.5","72.0999984741211","72.6999969482422","73.5999984741211","72.3000030517578","72.5999984741211","72.6999969482422","71.4000015258789","71.4000015258789","73","72.5","70.8000030517578","69.0999984741211","74.9000015258789","74.9000015258789","74.9000015258789","74.6999969482422","74.6999969482422","74.6999969482422",
"Zambia","ZMB","Employment to population ratio, 15+, male (%) (national estimate)","SL.EMP.TOTL.SP.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.4000015258789","","","","","","","","","","80.8000030517578","","","","","","","","","","","","","","","","","",
"Zambia","ZMB","Employment to population ratio, 15+, female (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.7999992370605","60.5999984741211","60.2000007629395","61.2000007629395","62","63.7000007629395","64.6999969482422","65.8000030517578","65.4000015258789","66.1999969482422","64.4000015258789","65.3000030517578","62.2999992370605","62","61.4000015258789","62.7999992370605","63.4000015258789","65.4000015258789","64.8000030517578","63.2999992370605","61.0999984741211","64.0999984741211","64.0999984741211","64.1999969482422","64.4000015258789","64.5999984741211","64.8000030517578",
"Zambia","ZMB","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.6000003814697","","","","","","","","","","62.2000007629395","","","","","","","","","","","","","","","","","",
"Zambia","ZMB","Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
