Country,Year,Value
Former Yugoslavia,1990,87994355098
Former Yugoslavia,1989,94180510534
Former Yugoslavia,1988,87612095538
Former Yugoslavia,1987,84555917785
Former Yugoslavia,1986,79370656172
Former Yugoslavia,1985,73311647124
Former Yugoslavia,1984,68994733816
Former Yugoslavia,1983,64392846926
Former Yugoslavia,1982,62827496931
Former Yugoslavia,1981,68930426101
Former Yugoslavia,1980,69958906197
Former Yugoslavia,1979,68198420579
Former Yugoslavia,1978,54338002855
Former Yugoslavia,1977,45672886339
Former Yugoslavia,1976,37562748992
Former Yugoslavia,1975,33279200501
Former Yugoslavia,1974,29706205815
Former Yugoslavia,1973,21471934326
Former Yugoslavia,1972,16484705882
Former Yugoslavia,1971,15801743321
Former Yugoslavia,1970,14553599985
