"Country or Area","Year","Item","Value"
"Bermuda","2016","Gross Domestic Product (GDP)","5274854615.06925"
"Bermuda","2015","Gross Domestic Product (GDP)","5281353894.8461"
"Bermuda","2014","Gross Domestic Product (GDP)","5249522104.50494"
"Bermuda","2013","Gross Domestic Product (GDP)","5263878265.8474"
"Bermuda","2012","Gross Domestic Product (GDP)","5370398004.05998"
"Bermuda","2011","Gross Domestic Product (GDP)","5596195121.71803"
"Bermuda","2010","Gross Domestic Product (GDP)","5855331000"
"Bermuda","2009","Gross Domestic Product (GDP)","6004181691.1177"
"Bermuda","2008","Gross Domestic Product (GDP)","6383798352.34767"
"Bermuda","2007","Gross Domestic Product (GDP)","6311897722.63279"
"Bermuda","2006","Gross Domestic Product (GDP)","6109076038.09585"
"Bermuda","2005","Gross Domestic Product (GDP)","5840073454.21673"
"Bermuda","2004","Gross Domestic Product (GDP)","5743898680.28187"
"Bermuda","2003","Gross Domestic Product (GDP)","5611585938.58462"
"Bermuda","2002","Gross Domestic Product (GDP)","5426504051.28593"
"Bermuda","2001","Gross Domestic Product (GDP)","5507899005.52082"
"Bermuda","2000","Gross Domestic Product (GDP)","5136947204.34626"
"Bermuda","1999","Gross Domestic Product (GDP)","4988121290.38131"
"Bermuda","1998","Gross Domestic Product (GDP)","4824576329.70512"
"Bermuda","1997","Gross Domestic Product (GDP)","4643041424.06014"
"Bermuda","1996","Gross Domestic Product (GDP)","4438610223.78392"
"Bermuda","1995","Gross Domestic Product (GDP)","4273049274.37675"
"Bermuda","1994","Gross Domestic Product (GDP)","4054272305.23276"
"Bermuda","1993","Gross Domestic Product (GDP)","3991201466.60467"
"Bermuda","1992","Gross Domestic Product (GDP)","3896792306.0646"
"Bermuda","1991","Gross Domestic Product (GDP)","4005983694.37257"
"Bermuda","1990","Gross Domestic Product (GDP)","3995537586.68923"
"Bermuda","1989","Gross Domestic Product (GDP)","4104137686.20513"
"Bermuda","1988","Gross Domestic Product (GDP)","4099013179.92646"
"Bermuda","1987","Gross Domestic Product (GDP)","4045600063.92562"
"Bermuda","1986","Gross Domestic Product (GDP)","3890879414.72983"
"Bermuda","1985","Gross Domestic Product (GDP)","3725712657.8507"
"Bermuda","1984","Gross Domestic Product (GDP)","3573948453.75328"
"Bermuda","1983","Gross Domestic Product (GDP)","3648253785.1208"
"Bermuda","1982","Gross Domestic Product (GDP)","3616915462.07078"
"Bermuda","1981","Gross Domestic Product (GDP)","3613564824.44436"
"Bermuda","1980","Gross Domestic Product (GDP)","3745422294.49522"
"Bermuda","1979","Gross Domestic Product (GDP)","3608243221.90167"
"Bermuda","1978","Gross Domestic Product (GDP)","3385918518.86724"
"Bermuda","1977","Gross Domestic Product (GDP)","3318708656.41863"
"Bermuda","1976","Gross Domestic Product (GDP)","3236519471.07612"
"Bermuda","1975","Gross Domestic Product (GDP)","2970958899.39386"
"Bermuda","1974","Gross Domestic Product (GDP)","2863074916.72118"
"Bermuda","1973","Gross Domestic Product (GDP)","2838178612.4147"
"Bermuda","1972","Gross Domestic Product (GDP)","2796684773.80062"
"Bermuda","1971","Gross Domestic Product (GDP)","2746892166.32569"
"Bermuda","1970","Gross Domestic Product (GDP)","2655605719.09864"

