"Country or Area","Year","Item","Value"
"Cuba","2016","Gross Domestic Product (GDP)","73231805178.9891"
"Cuba","2015","Gross Domestic Product (GDP)","73868565769.7899"
"Cuba","2014","Gross Domestic Product (GDP)","70729490571.2058"
"Cuba","2013","Gross Domestic Product (GDP)","69996226459.6195"
"Cuba","2012","Gross Domestic Product (GDP)","68124437664.6088"
"Cuba","2011","Gross Domestic Product (GDP)","66130664082.0884"
"Cuba","2010","Gross Domestic Product (GDP)","64328000000"
"Cuba","2009","Gross Domestic Product (GDP)","62826231727.1022"
"Cuba","2008","Gross Domestic Product (GDP)","61927745997.7666"
"Cuba","2007","Gross Domestic Product (GDP)","59478291464.5709"
"Cuba","2006","Gross Domestic Product (GDP)","55452115783.4854"
"Cuba","2005","Gross Domestic Product (GDP)","49480960434.8834"
"Cuba","2004","Gross Domestic Product (GDP)","44497339710.4991"
"Cuba","2003","Gross Domestic Product (GDP)","42069842439.0552"
"Cuba","2002","Gross Domestic Product (GDP)","40532291961.8213"
"Cuba","2001","Gross Domestic Product (GDP)","39962623004.1508"
"Cuba","2000","Gross Domestic Product (GDP)","38729085725.1217"
"Cuba","1999","Gross Domestic Product (GDP)","36566024365.2683"
"Cuba","1998","Gross Domestic Product (GDP)","34434272434.2091"
"Cuba","1997","Gross Domestic Product (GDP)","34378701586.5658"
"Cuba","1996","Gross Domestic Product (GDP)","33450397353.6167"
"Cuba","1995","Gross Domestic Product (GDP)","31018903074.4097"
"Cuba","1994","Gross Domestic Product (GDP)","30274985811.7575"
"Cuba","1993","Gross Domestic Product (GDP)","30059480367.6528"
"Cuba","1992","Gross Domestic Product (GDP)","35313484262.1563"
"Cuba","1991","Gross Domestic Product (GDP)","39938616922.5034"
"Cuba","1990","Gross Domestic Product (GDP)","44720438038.0654"
"Cuba","1989","Gross Domestic Product (GDP)","46079110457.9742"
"Cuba","1988","Gross Domestic Product (GDP)","45767850958.1307"
"Cuba","1987","Gross Domestic Product (GDP)","44132503426.6476"
"Cuba","1986","Gross Domestic Product (GDP)","45218735558.8651"
"Cuba","1985","Gross Domestic Product (GDP)","45175681524.185"
"Cuba","1984","Gross Domestic Product (GDP)","44465708870.7653"
"Cuba","1983","Gross Domestic Product (GDP)","41198763682.5149"
"Cuba","1982","Gross Domestic Product (GDP)","39083757603.5124"
"Cuba","1981","Gross Domestic Product (GDP)","35883576052.985"
"Cuba","1980","Gross Domestic Product (GDP)","29980846677.5992"
"Cuba","1979","Gross Domestic Product (GDP)","31508850422.0547"
"Cuba","1978","Gross Domestic Product (GDP)","31169667253.0298"
"Cuba","1977","Gross Domestic Product (GDP)","29240935601.3876"
"Cuba","1976","Gross Domestic Product (GDP)","26898233210.0247"
"Cuba","1975","Gross Domestic Product (GDP)","25513377193.2669"
"Cuba","1974","Gross Domestic Product (GDP)","23304905035.0187"
"Cuba","1973","Gross Domestic Product (GDP)","23077706965.4568"
"Cuba","1972","Gross Domestic Product (GDP)","22311423644.2775"
"Cuba","1971","Gross Domestic Product (GDP)","21284106637.7115"
"Cuba","1970","Gross Domestic Product (GDP)","19601538316.5319"

