"Country or Area","Year","Item","Value"
"Former Czechoslovakia","1990","Gross Domestic Product (GDP)","195142240120.333"
"Former Czechoslovakia","1989","Gross Domestic Product (GDP)","196738223267.498"
"Former Czechoslovakia","1988","Gross Domestic Product (GDP)","195982139728.061"
"Former Czechoslovakia","1987","Gross Domestic Product (GDP)","191095071698.987"
"Former Czechoslovakia","1986","Gross Domestic Product (GDP)","187334477719.733"
"Former Czechoslovakia","1985","Gross Domestic Product (GDP)","182592783618.627"
"Former Czechoslovakia","1984","Gross Domestic Product (GDP)","177489750579.758"
"Former Czechoslovakia","1983","Gross Domestic Product (GDP)","171964405331.712"
"Former Czechoslovakia","1982","Gross Domestic Product (GDP)","168075754511.419"
"Former Czechoslovakia","1981","Gross Domestic Product (GDP)","167856152162.804"
"Former Czechoslovakia","1980","Gross Domestic Product (GDP)","168016443107.783"
"Former Czechoslovakia","1979","Gross Domestic Product (GDP)","163164169673.651"
"Former Czechoslovakia","1978","Gross Domestic Product (GDP)","158414001946.952"
"Former Czechoslovakia","1977","Gross Domestic Product (GDP)","152197941619.684"
"Former Czechoslovakia","1976","Gross Domestic Product (GDP)","145836230503.309"
"Former Czechoslovakia","1975","Gross Domestic Product (GDP)","140553556194.685"
"Former Czechoslovakia","1974","Gross Domestic Product (GDP)","132093038161.499"
"Former Czechoslovakia","1973","Gross Domestic Product (GDP)","124610051654.164"
"Former Czechoslovakia","1972","Gross Domestic Product (GDP)","118968166272.518"
"Former Czechoslovakia","1971","Gross Domestic Product (GDP)","112977079987.627"
"Former Czechoslovakia","1970","Gross Domestic Product (GDP)","107552338276.826"

