"Country or Area","Year","Item","Value"
"Djibouti","2016","Gross Domestic Product (GDP)","1472331434.23855"
"Djibouti","2015","Gross Domestic Product (GDP)","1385071904.26966"
"Djibouti","2014","Gross Domestic Product (GDP)","1300536999.3134"
"Djibouti","2013","Gross Domestic Product (GDP)","1226921697.47066"
"Djibouti","2012","Gross Domestic Product (GDP)","1168496854.73326"
"Djibouti","2011","Gross Domestic Product (GDP)","1114977914.81738"
"Djibouti","2010","Gross Domestic Product (GDP)","1066964511.79095"
"Djibouti","2009","Gross Domestic Product (GDP)","1030883586.26639"
"Djibouti","2008","Gross Domestic Product (GDP)","981793891.687585"
"Djibouti","2007","Gross Domestic Product (GDP)","931493255.868063"
"Djibouti","2006","Gross Domestic Product (GDP)","887136434.160768"
"Djibouti","2005","Gross Domestic Product (GDP)","787166312.477725"
"Djibouti","2004","Gross Domestic Product (GDP)","762979851.195056"
"Djibouti","2003","Gross Domestic Product (GDP)","740757137.079691"
"Djibouti","2002","Gross Domestic Product (GDP)","717787923.529772"
"Djibouti","2001","Gross Domestic Product (GDP)","699598366.012104"
"Djibouti","2000","Gross Domestic Product (GDP)","685880750.993279"
"Djibouti","1999","Gross Domestic Product (GDP)","677095885.428736"
"Djibouti","1998","Gross Domestic Product (GDP)","662656558.084882"
"Djibouti","1997","Gross Domestic Product (GDP)","663886266.225693"
"Djibouti","1996","Gross Domestic Product (GDP)","634667687.063736"
"Djibouti","1995","Gross Domestic Product (GDP)","668711420.901548"
"Djibouti","1994","Gross Domestic Product (GDP)","633240214.493991"
"Djibouti","1993","Gross Domestic Product (GDP)","648964717.020083"
"Djibouti","1992","Gross Domestic Product (GDP)","619010097.314351"
"Djibouti","1991","Gross Domestic Product (GDP)","584728451.381582"
"Djibouti","1990","Gross Domestic Product (GDP)","603725732.163931"
"Djibouti","1989","Gross Domestic Product (GDP)","564711436.372503"
"Djibouti","1988","Gross Domestic Product (GDP)","579785856.901768"
"Djibouti","1987","Gross Domestic Product (GDP)","572915940.89747"
"Djibouti","1986","Gross Domestic Product (GDP)","570095212.386999"
"Djibouti","1985","Gross Domestic Product (GDP)","576955336.836509"
"Djibouti","1984","Gross Domestic Product (GDP)","578115091.765822"
"Djibouti","1983","Gross Domestic Product (GDP)","574891440.892526"
"Djibouti","1982","Gross Domestic Product (GDP)","567854415.737555"
"Djibouti","1981","Gross Domestic Product (GDP)","558419330.722472"
"Djibouti","1980","Gross Domestic Product (GDP)","542684361.224024"
"Djibouti","1979","Gross Domestic Product (GDP)","518221342.320167"
"Djibouti","1978","Gross Domestic Product (GDP)","492307373.309298"
"Djibouti","1977","Gross Domestic Product (GDP)","533485337.511365"
"Djibouti","1976","Gross Domestic Product (GDP)","605278349.097787"
"Djibouti","1975","Gross Domestic Product (GDP)","557019748.342273"
"Djibouti","1974","Gross Domestic Product (GDP)","500548769.948355"
"Djibouti","1973","Gross Domestic Product (GDP)","518801722.370407"
"Djibouti","1972","Gross Domestic Product (GDP)","494135570.447107"
"Djibouti","1971","Gross Domestic Product (GDP)","478059043.200444"
"Djibouti","1970","Gross Domestic Product (GDP)","450055706.016146"

