"Country or Area","Year","Item","Value"
"Eritrea","2016","Gross Domestic Product (GDP)","2893469992.90666"
"Eritrea","2015","Gross Domestic Product (GDP)","2791113721.89329"
"Eritrea","2014","Gross Domestic Product (GDP)","2663919896.76982"
"Eritrea","2013","Gross Domestic Product (GDP)","2537381927.77541"
"Eritrea","2012","Gross Domestic Product (GDP)","2462263657.29757"
"Eritrea","2011","Gross Domestic Product (GDP)","2300751770.36164"
"Eritrea","2010","Gross Domestic Product (GDP)","2117039510.69919"
"Eritrea","2009","Gross Domestic Product (GDP)","2071585004.51678"
"Eritrea","2008","Gross Domestic Product (GDP)","1994276825.08661"
"Eritrea","2007","Gross Domestic Product (GDP)","2210534026.40056"
"Eritrea","2006","Gross Domestic Product (GDP)","2179437340.42406"
"Eritrea","2005","Gross Domestic Product (GDP)","2200767539.76377"
"Eritrea","2004","Gross Domestic Product (GDP)","2169275423.02161"
"Eritrea","2003","Gross Domestic Product (GDP)","2228452316.6599"
"Eritrea","2002","Gross Domestic Product (GDP)","2163431914.14794"
"Eritrea","2001","Gross Domestic Product (GDP)","1989263238.12646"
"Eritrea","2000","Gross Domestic Product (GDP)","2269672667.97151"
"Eritrea","1999","Gross Domestic Product (GDP)","2265440022.56355"
"Eritrea","1998","Gross Domestic Product (GDP)","2221770068.33078"
"Eritrea","1997","Gross Domestic Product (GDP)","2059101671.72019"
"Eritrea","1996","Gross Domestic Product (GDP)","1886733472.23362"
"Eritrea","1995","Gross Domestic Product (GDP)","1843871228.85573"
"Eritrea","1994","Gross Domestic Product (GDP)","1524892782.15463"
"Eritrea","1993","Gross Domestic Product (GDP)","1350872233.74513"
"Eritrea","1992","Gross Domestic Product (GDP)","1196710885.75763"
"Eritrea","1991","Gross Domestic Product (GDP)","1075206032.08926"
"Eritrea","1990","Gross Domestic Product (GDP)","962205396.507798"

