"Country or Area","Year","Item","Value"
"Liechtenstein","2016","Gross Domestic Product (GDP)","5986177655.22692"
"Liechtenstein","2015","Gross Domestic Product (GDP)","5912385324.81349"
"Liechtenstein","2014","Gross Domestic Product (GDP)","5889291131.10716"
"Liechtenstein","2013","Gross Domestic Product (GDP)","5718999814.0292"
"Liechtenstein","2012","Gross Domestic Product (GDP)","5450617044.07772"
"Liechtenstein","2011","Gross Domestic Product (GDP)","5392732840.22192"
"Liechtenstein","2010","Gross Domestic Product (GDP)","5621057217.38311"
"Liechtenstein","2009","Gross Domestic Product (GDP)","5233596370.22681"
"Liechtenstein","2008","Gross Domestic Product (GDP)","5848156261.26011"
"Liechtenstein","2007","Gross Domestic Product (GDP)","6011217027.77882"
"Liechtenstein","2006","Gross Domestic Product (GDP)","5499150797.06589"
"Liechtenstein","2005","Gross Domestic Product (GDP)","5047248416.51206"
"Liechtenstein","2004","Gross Domestic Product (GDP)","4814786822.31915"
"Liechtenstein","2003","Gross Domestic Product (GDP)","4672773218.68598"
"Liechtenstein","2002","Gross Domestic Product (GDP)","4765100110.76285"
"Liechtenstein","2001","Gross Domestic Product (GDP)","4812936813.15687"
"Liechtenstein","2000","Gross Domestic Product (GDP)","4848480619.20649"
"Liechtenstein","1999","Gross Domestic Product (GDP)","4697221159.97799"
"Liechtenstein","1998","Gross Domestic Product (GDP)","4254308369.26708"
"Liechtenstein","1997","Gross Domestic Product (GDP)","3981178888.98734"
"Liechtenstein","1996","Gross Domestic Product (GDP)","3613494674.63035"
"Liechtenstein","1995","Gross Domestic Product (GDP)","3455984504.20217"
"Liechtenstein","1994","Gross Domestic Product (GDP)","3390227591.02354"
"Liechtenstein","1993","Gross Domestic Product (GDP)","3307694219.61825"
"Liechtenstein","1992","Gross Domestic Product (GDP)","3287936920.30331"
"Liechtenstein","1991","Gross Domestic Product (GDP)","3257354449.94227"
"Liechtenstein","1990","Gross Domestic Product (GDP)","3089266869.13653"
"Liechtenstein","1989","Gross Domestic Product (GDP)","3169347573.79247"
"Liechtenstein","1988","Gross Domestic Product (GDP)","2928777834.78838"
"Liechtenstein","1987","Gross Domestic Product (GDP)","2772576350.34305"
"Liechtenstein","1986","Gross Domestic Product (GDP)","2538274123.67504"
"Liechtenstein","1985","Gross Domestic Product (GDP)","2440648195.17756"
"Liechtenstein","1984","Gross Domestic Product (GDP)","2280541673.8608"
"Liechtenstein","1983","Gross Domestic Product (GDP)","2186820783.1936"
"Liechtenstein","1982","Gross Domestic Product (GDP)","2175105671.62048"
"Liechtenstein","1981","Gross Domestic Product (GDP)","2210251006.33983"
"Liechtenstein","1980","Gross Domestic Product (GDP)","2108720040.97093"
"Liechtenstein","1979","Gross Domestic Product (GDP)","2012931181.82659"
"Liechtenstein","1978","Gross Domestic Product (GDP)","1921493541.81561"
"Liechtenstein","1977","Gross Domestic Product (GDP)","1834209468.34991"
"Liechtenstein","1976","Gross Domestic Product (GDP)","1750890284.72531"
"Liechtenstein","1975","Gross Domestic Product (GDP)","1671355884.52398"
"Liechtenstein","1974","Gross Domestic Product (GDP)","1643915253.51668"
"Liechtenstein","1973","Gross Domestic Product (GDP)","1616925148.40492"
"Liechtenstein","1972","Gross Domestic Product (GDP)","1590378171.58754"
"Liechtenstein","1971","Gross Domestic Product (GDP)","1564267048.19742"
"Liechtenstein","1970","Gross Domestic Product (GDP)","1538584622.26601"

