"Country or Area","Year","Item","Value"
"Niger","2016","Gross Domestic Product (GDP)","8085875646.32541"
"Niger","2015","Gross Domestic Product (GDP)","7698204344.61938"
"Niger","2014","Gross Domestic Product (GDP)","7405106504.80811"
"Niger","2013","Gross Domestic Product (GDP)","6886609484.9426"
"Niger","2012","Gross Domestic Product (GDP)","6541954140.96598"
"Niger","2011","Gross Domestic Product (GDP)","5848873238.08766"
"Niger","2010","Gross Domestic Product (GDP)","5718587531.09142"
"Niger","2009","Gross Domestic Product (GDP)","5276947168.51844"
"Niger","2008","Gross Domestic Product (GDP)","5314824389.88168"
"Niger","2007","Gross Domestic Product (GDP)","4849835325.46061"
"Niger","2006","Gross Domestic Product (GDP)","4701889527.36331"
"Niger","2005","Gross Domestic Product (GDP)","4445126561.04189"
"Niger","2004","Gross Domestic Product (GDP)","4138044650.0888"
"Niger","2003","Gross Domestic Product (GDP)","4172321228.59841"
"Niger","2002","Gross Domestic Product (GDP)","4035149085.64574"
"Niger","2001","Gross Domestic Product (GDP)","3832887808.80766"
"Niger","2000","Gross Domestic Product (GDP)","3564884331.06899"
"Niger","1999","Gross Domestic Product (GDP)","3659426992.14731"
"Niger","1998","Gross Domestic Product (GDP)","3623416979.48785"
"Niger","1997","Gross Domestic Product (GDP)","3214757347.87202"
"Niger","1996","Gross Domestic Product (GDP)","3198886394.09561"
"Niger","1995","Gross Domestic Product (GDP)","3043971239.85568"
"Niger","1994","Gross Domestic Product (GDP)","2947169793.02648"
"Niger","1993","Gross Domestic Product (GDP)","2870422016.7127"
"Niger","1992","Gross Domestic Product (GDP)","2843966366.83594"
"Niger","1991","Gross Domestic Product (GDP)","2838064229.71019"
"Niger","1990","Gross Domestic Product (GDP)","2827807467.02485"
"Niger","1989","Gross Domestic Product (GDP)","2849616583.47475"
"Niger","1988","Gross Domestic Product (GDP)","2870406021.76205"
"Niger","1987","Gross Domestic Product (GDP)","2705450086.34297"
"Niger","1986","Gross Domestic Product (GDP)","2743250155.61349"
"Niger","1985","Gross Domestic Product (GDP)","2794717910.98873"
"Niger","1984","Gross Domestic Product (GDP)","2594366796.67634"
"Niger","1983","Gross Domestic Product (GDP)","3119179885.16723"
"Niger","1982","Gross Domestic Product (GDP)","3274761967.26365"
"Niger","1981","Gross Domestic Product (GDP)","3222458177.50433"
"Niger","1980","Gross Domestic Product (GDP)","3202954897.13712"
"Niger","1979","Gross Domestic Product (GDP)","3276091835.4035"
"Niger","1978","Gross Domestic Product (GDP)","3057567599.37003"
"Niger","1977","Gross Domestic Product (GDP)","2694542353.8461"
"Niger","1976","Gross Domestic Product (GDP)","2500397000.40672"
"Niger","1975","Gross Domestic Product (GDP)","2483553456.33154"
"Niger","1974","Gross Domestic Product (GDP)","2554917237.06908"
"Niger","1973","Gross Domestic Product (GDP)","2348804087.02468"
"Niger","1972","Gross Domestic Product (GDP)","2831507734.33109"
"Niger","1971","Gross Domestic Product (GDP)","2985760238.76188"
"Niger","1970","Gross Domestic Product (GDP)","2825302263.95942"

