"Country or Area","Year","Item","Value"
"Puerto Rico","2016","Gross Domestic Product (GDP)","93028664084.951"
"Puerto Rico","2015","Gross Domestic Product (GDP)","95517982309.7118"
"Puerto Rico","2014","Gross Domestic Product (GDP)","96592767902.4776"
"Puerto Rico","2013","Gross Domestic Product (GDP)","97756424655.3687"
"Puerto Rico","2012","Gross Domestic Product (GDP)","98057290562.043"
"Puerto Rico","2011","Gross Domestic Product (GDP)","98028592583.2526"
"Puerto Rico","2010","Gross Domestic Product (GDP)","98381300000"
"Puerto Rico","2009","Gross Domestic Product (GDP)","98789551891.8258"
"Puerto Rico","2008","Gross Domestic Product (GDP)","100756752050.85"
"Puerto Rico","2007","Gross Domestic Product (GDP)","102649892909.77"
"Puerto Rico","2006","Gross Domestic Product (GDP)","103857412431.067"
"Puerto Rico","2005","Gross Domestic Product (GDP)","105342119082.679"
"Puerto Rico","2004","Gross Domestic Product (GDP)","107477633535.329"
"Puerto Rico","2003","Gross Domestic Product (GDP)","104311640873.328"
"Puerto Rico","2002","Gross Domestic Product (GDP)","104262782962.506"
"Puerto Rico","2001","Gross Domestic Product (GDP)","103314939481.449"
"Puerto Rico","2000","Gross Domestic Product (GDP)","97178385809.9928"
"Puerto Rico","1999","Gross Domestic Product (GDP)","94100337391.1744"
"Puerto Rico","1998","Gross Domestic Product (GDP)","89292718908.8894"
"Puerto Rico","1997","Gross Domestic Product (GDP)","84612130992.8902"
"Puerto Rico","1996","Gross Domestic Product (GDP)","80674183336.198"
"Puerto Rico","1995","Gross Domestic Product (GDP)","78846897441.8298"
"Puerto Rico","1994","Gross Domestic Product (GDP)","75417072059.5383"
"Puerto Rico","1993","Gross Domestic Product (GDP)","72387881551.542"
"Puerto Rico","1992","Gross Domestic Product (GDP)","69173030987.9763"
"Puerto Rico","1991","Gross Domestic Product (GDP)","66153612058.4414"
"Puerto Rico","1990","Gross Domestic Product (GDP)","64668331549.085"
"Puerto Rico","1989","Gross Domestic Product (GDP)","62313380223.3933"
"Puerto Rico","1988","Gross Domestic Product (GDP)","59381905537.041"
"Puerto Rico","1987","Gross Domestic Product (GDP)","55746876923.7424"
"Puerto Rico","1986","Gross Domestic Product (GDP)","53137864456.2216"
"Puerto Rico","1985","Gross Domestic Product (GDP)","49121744134.8082"
"Puerto Rico","1984","Gross Domestic Product (GDP)","48134814330.6484"
"Puerto Rico","1983","Gross Domestic Product (GDP)","44851562680.823"
"Puerto Rico","1982","Gross Domestic Product (GDP)","44646359449.816"
"Puerto Rico","1981","Gross Domestic Product (GDP)","46043695715.9898"
"Puerto Rico","1980","Gross Domestic Product (GDP)","45555116607.7693"
"Puerto Rico","1979","Gross Domestic Product (GDP)","44871105847.0033"
"Puerto Rico","1978","Gross Domestic Product (GDP)","42291408124.1242"
"Puerto Rico","1977","Gross Domestic Product (GDP)","39672624068.8846"
"Puerto Rico","1976","Gross Domestic Product (GDP)","37239500078.4716"
"Puerto Rico","1975","Gross Domestic Product (GDP)","35373127870.2577"
"Puerto Rico","1974","Gross Domestic Product (GDP)","36291656597.4151"
"Puerto Rico","1973","Gross Domestic Product (GDP)","36272113440.4922"
"Puerto Rico","1972","Gross Domestic Product (GDP)","34229852736.6556"
"Puerto Rico","1971","Gross Domestic Product (GDP)","31874901410.9638"
"Puerto Rico","1970","Gross Domestic Product (GDP)","29967345548.04"

